certificate_number,certificate_holder,status,valid_from,valid_until,standard_version,production_model,species_fed,sites,source_ids,evidence_label,confidence,demand_evidence_type,notes
ASC02821,C.P. VIETNAM CORPORATION - AQUACULTURE BUSINESS BRANCH,Certified,18-07-2025,17-07-2028,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02883,DE HEUS LLC - VINH LONG 4 BRANCH,Certified,23-10-2025,22-10-2028,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02334,FEED ONE JOINT STOCK COMPANY,Certified,16-07-2024,15-07-2027,1.2,Mass Balance,Pangasius; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02848,GREENFEED VIET NAM CORPORATION,Certified,01-08-2025,31-07-2028,1.2,Mass Balance,"Pangasius; Seabass, Seabream and Meagre; Tilapia",1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02812,"GROBEST INDUSTRIAL (VIETNAM) CO., LTD",Certified,23-06-2025,22-06-2028,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03046,MEKONG AQUAFEED COMPANY LIMITED,Certified,09-02-2026,08-02-2029,1.01,Mass Balance,Pangasius; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03156,NAM VIET AQUACULTURE FEED PROCESSING ONE MEMBER COMPANY LIMITED,Certified,05-08-2026,04-08-2029,1.2,Mass Balance,Pangasius; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03080,SAO MAI SUPER FEED COMPANY LIMITED (SAO MAI SUPER FEED),Certified,07-05-2026,06-05-2029,1.01,Mass Balance,Pangasius,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02879,"SHENG LONG BIO - TECH INTERNATIONAL CO., LTD",Certified,11-03-2026,10-03-2029,1.01,Mass Balance,Shrimp; Tropical Marine Finfish,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02811,"THUAN DAO BRANCH, NUTRECO INTERNATIONAL (VIETNAM) COMPANY LIMITED",Certified,02-07-2025,01-07-2028,1.2,Mass Balance,Freshwater Trout; Other; Pangasius; Shrimp; Tilapia; Tropical Marine Finfish,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02954,"UNI-PRESIDENT VIET NAM CO., LTD - QUANG NAM BRANCH",Certified,13-11-2025,12-11-2028,1.01,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03034,USFEED COMPANY LIMITED,Certified,23-02-2026,22-02-2029,1.01,Mass Balance,Pangasius; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02901,VIET THANG FEED JOINT STOCK COMPANY - SA DEC FACTORY,Certified,23-09-2025,22-09-2028,1.2,Mass Balance,Pangasius,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03147,VIET UC AQUA FEED COMPANY LIMITED,Certified,11-07-2026,10-07-2029,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03184,"VIETNAMESE-FRENCH CATTLE FEED JOINT STOCK COMPANY, PROCONCO CAN THO BRANCH",Certified,12-08-2026,11-08-2029,1.2,Mass Balance,Pangasius; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02850,"ARCHER DANIELS MIDLAND VN CO.,LTD",Incomplete Initial Certification Process,,,1.01,Mass Balance,Tropical Marine Finfish,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC02723,BINH DINH HAI LONG COMPANY LIMITED,Certification not awarded,,,1.01,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03214,GODACO SEAFOOD JOINT STOCK COMPANY - VINH LONG BRANCH,Initial Audit,,,1.2,Mass Balance,Pangasius,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03279,GROWMAX HIGH - TECH AQUACULTURE JOINT STOCK COMPANY,Initial Audit,,,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03215,New Hope Vinh Long Company Limited,Initial Audit,,,1.2,,Other; Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03221,THIEN BANG VIETNAM ANIMAL FEED COMPANY LIMITED,Initial Audit,,,1.2,Mass Balance,Pangasius; Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03231,"TONG WEI VIET NAM CO., LTD",Initial Audit,,,1.2,Mass Balance,Shrimp,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
ASC03242,VINH LONG HAI DAI COMPANY LIMITED,Initial Audit,,,1.2,Mass Balance,Shrimp; Tilapia,1,FBA-04,VN-direct,High,revealed,"ASC Find a Feed Mill register, queried 25 Sep 2026; dates day-month-year"
