source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
FTR-01,"National Assembly. Luật Thuế tiêu thụ đặc biệt số 66/2025/QH15, 14 Jun 2025, in force 1 Jan 2026. Text on Thư Viện Pháp Luật.",Luật Thuế tiêu thụ đặc biệt 2025 số 66/2025/QH15,National Assembly of Viet Nam,2025-06-14,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Luat-thue-tieu-thu-dac-biet-2025-so-66-2025-QH15-621225.aspx,,gov/statistics,2026-09-25,"Read via fetch tool. Art 2(1)(l): ""Nước giải khát theo Tiêu chuẩn quốc gia (TCVN) có hàm lượng đường trên 5g/100mL"". Art 8 schedule item 12: 8% from 1 Jan 2027, 10% from 1 Jan 2028. Art 8(4) delegates details to the Government. Signed by Tran Thanh Man. The law text carries no product exclusions; they come from TCVN 12828:2019."
FTR-02,"Government. Nghị định 360/2025/NĐ-CP hướng dẫn Luật Thuế tiêu thụ đặc biệt, 31 Dec 2025, in force 1 Jan 2026.",Nghị định 360/2025/NĐ-CP,Government of Viet Nam (signed by Deputy PM Ho Duc Phoc),2025-12-31,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-dinh-360-2025-ND-CP-huong-dan-Luat-Thue-tieu-thu-dac-biet-318217.aspx,,gov/statistics,2026-09-25,"Art 3(4): the taxable drink is ""Nước giải khát theo Tiêu chuẩn quốc gia của Việt Nam (TCVN 12828:2019)""; sugar content is ""đường tổng số ghi trên nhãn sản phẩm"" under MOH labelling rules; importers of unlabelled goods self-determine. No exclusions for milk, grains, beans or seeds beyond the TCVN."
FTR-03,"Ministry of Finance. Thông tư 158/2025/TT-BTC hướng dẫn Nghị định 360/2025/NĐ-CP, 31 Dec 2025.",Thông tư 158/2025/TT-BTC,Ministry of Finance,2025-12-31,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Thong-tu-158-2025-TT-BT%d0%a1-huong-dan-Nghi-dinh-360-2025-ND-CP-huong-dan-Luat-Thue-tieu-thu-dac-biet-687593.aspx,,gov/statistics,2026-09-25,"No provision on soft drinks, sugar or plant milks (clean negative). Covers dossiers for non-taxable goods, biofuel refunds, exports."
FTR-04,"Ministry of Finance. Thông tư 136/2026/TT-BTC sửa đổi khoản 2 Điều 3 Thông tư 158/2025/TT-BTC, 14 Sep 2026, in force 15 Sep 2026.",Thông tư 136/2026/TT-BTC,Ministry of Finance,2026-09-14,https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Thong-tu-136-2026-TT-BTC-sua-doi-khoan-2-Dieu-3-Thong-tu-158-2025-TT-BTC-724925.aspx,,gov/statistics,2026-09-25,Amends export dossier rules only; nothing on beverages (clean negative).
FTR-05,Tiêu chuẩn quốc gia TCVN 12828:2019 Nước giải khát (Water-based beverages). Summary page on Thư Viện Pháp Luật; scope and definition 3.1 also quoted verbatim in the tax office answer read under APR-22.,TCVN 12828:2019 Nước giải khát,Ministry of Science and Technology; drafted by TCVN/TC/F9 Đồ uống,2019,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-12828-2019-Nuoc-giai-khat-918702.aspx,,gov/statistics,2026-09-25,"Scope names flavoured drinks, energy, sports and electrolyte drinks, coffee, tea, herbal, fruit-containing and ""các loại đồ uống từ ngũ cốc"" (cereal drinks). Excludes milk and milk products; liquid foods for nutritional purposes; natural mineral and bottled water; fruit and vegetable juices and nectars; cocoa products. Definition 3.1: ready-to-drink product for refreshment, made from water, may contain sugar, additives, flavourings and ingredients of natural origin, vitamins and minerals."
FTR-06,Tiêu chuẩn quốc gia TCVN 12443:2018 Sữa đậu nành (Soybean milk). Summary page on Thư Viện Pháp Luật.,TCVN 12443:2018 Sữa đậu nành,Ministry of Science and Technology; drafted by TCVN/TC/F6 Dinh dưỡng và thức ăn kiêng,2018,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-12443-2018-Sua-dau-nanh-918354.aspx,,gov/statistics,2026-09-25,Covers soybean milk and soybean drinks for direct consumption; soybean milk at least 2.0 g protein per 100 ml; soybean drink lower. Bibliography cites Codex CXS 322R-2015. No statement that soy milk is or is not dairy. Read via fetch tool summary.
FTR-07,Tiêu chuẩn quốc gia TCVN 11216:2015 Sữa và sản phẩm sữa: Thuật ngữ và định nghĩa. Summary page on Thư Viện Pháp Luật.,"TCVN 11216:2015 Sữa và sản phẩm sữa, Thuật ngữ và định nghĩa",Ministry of Science and Technology; drafted by TCVN/TC/F12,2015,https://thuvienphapluat.vn/TCVN/Cong-nghe-Thuc-pham/TCVN-11216-2015-Sua-san-pham-sua-Thuat-ngu-dinh-nghia-915693.aspx,,gov/statistics,2026-09-25,Defines milk as the secretion obtained from the mammary glands of milking animals; milk products as products of milk processing. References Codex STAN 206-1999. Plant drinks not addressed. Read via fetch tool summary.
FTR-08,"Ministry of Health. Thông tư 35/2010/TT-BYT ban hành QCVN 6-2:2010/BYT Quy chuẩn kỹ thuật quốc gia đối với các sản phẩm đồ uống không cồn, 2 Jun 2010.",Thông tư 35/2010/TT-BYT (QCVN 6-2:2010/BYT),Ministry of Health,2010-06-02,https://thuvienphapluat.vn/van-ban/Thuong-mai/Thong-tu-35-2010-TT-BYT-Quy-chuan-ky-thuat-quoc-gia-cac-san-pham-107526.aspx,,gov/statistics,2026-09-25,"National technical regulation for non-alcoholic beverages (juices, nectars, soft drinks). Read via fetch tool summary (English version); scope detail Low."
FTR-09,"Ministry of Finance. Công văn 17380/BTC-CST về giảm thuế GTGT đối với mặt hàng nước giải khát có đường, 7 Nov 2025, replying to the Vietnam Beer Alcohol Beverage Association and a US business council (named as the US-ASEAN Business Council and as AmCham ASEAN in two readings of the page).",Công văn 17380/BTC-CST năm 2025,"Ministry of Finance, Tax Policy Department",2025-11-07,https://thuvienphapluat.vn/cong-van/Thue-Phi-Le-Phi/Cong-van-17380-BTC-CST-2025-giam-thue-gia-tri-gia-tang-mat-hang-nuoc-giai-khat-co-duong-690849.aspx,,gov/statistics,2026-09-25,Sugary drinks above 5 g per 100 ml are excise goods and so excluded from the 2% VAT cut from 1 Jan 2026 to 31 Dec 2026 (Decree 174/2025 Appendix II). No product types named.
FTR-10,"Thuế tỉnh Đồng Nai. Công văn 1751/DON-QLDN1 về chính sách thuế GTGT, 29 Jan 2026, to International Food JSC.",Công văn 1751/DON-QLDN1 năm 2026,Dong Nai Provincial Tax Office,2026-01-29,https://thuvienphapluat.vn/cong-van/Thue-Phi-Le-Phi/Cong-van-1751-DON-QLDN1-2026-chinh-sach-thue-gia-tri-gia-tang-Dong-Nai-695916.aspx,,gov/statistics,2026-09-25,"Drinks above 5 g per 100 ml do not get the 2% VAT cut in 2026. No milk, soy, nut or cereal drinks named."
