outlet,date,headline_vi,headline_gloss_en,term_used,frame,tone,vietnam_data,source_ids,evidence_label,confidence,demand_evidence_type,notes
Bao Chinh phu,2019-10-15,Thịt nhân tạo: Xu hướng gây tranh cãi,Artificial meat: a controversial trend,thịt nhân tạo (for plant-based meat),"Controversy; processing, GMO ingredients",Neutral,None,NOV-69,VN-direct,High,inferred,Shows 'thit nhan tao' is used for plant-based as well as cell-based products.
VnExpress,2022-12-10,Việt Nam nghiên cứu làm thịt nhân tạo từ tế bào gốc,Vietnam researches making artificial meat from stem cells,thịt nhân tạo,Domestic science; health uses; open question whether Vietnamese would accept it,Cautiously positive,"University of Science, VNU Ho Chi Minh City; preliminary",NOV-66,VN-direct,High,inferred,Only Vietnamese research story found.
VietnamPlus,2023-06-22,Thịt nuôi cấy từng bước vượt qua rào cản để đến tay người tiêu dùng,Cultured meat step by step overcomes barriers to reach consumers,thịt nuôi cấy,Progress; cost and scepticism as barriers,Neutral to positive,None; cites US survey,NOV-67,VN-direct,High,inferred,
Tuoi Tre,2023-12-05,Thịt nhân tạo liệu có thể thay thế được thịt truyền thống trên bàn ăn?,Can artificial meat replace traditional meat on the table?,thịt nhân tạo,Disruption of livestock; safety concerns,Neutral to positive,None; cites AP-NORC US data,NOV-68,VN-direct,High,inferred,
CafeF,2023-12-15,'Cơn ác mộng' của các công ty thịt nhân tạo ... sử dụng loại tế bào có thể gây ung thư,The 'nightmare' of artificial meat companies ... using cells that may cause cancer,thịt nhân tạo,Failure (tiny sales versus capacity) and cancer-cell scare,Negative,None; relays Bloomberg,NOV-71,VN-direct,High,inferred,Main Vietnamese financial outlet; fear frame.
VnEconomy,2024-04-10,Thịt trong phòng thí nghiệm: Phản đối hay phát triển?,Laboratory meat: oppose or develop?,thịt trong phòng thí nghiệm,Foreign bans versus approvals,Balanced,None,NOV-70,VN-direct,High,inferred,
Thanh Nien,2023-11-17,"Ý cấm sản xuất, mua bán thịt được nuôi cấy trong phòng thí nghiệm",Italy bans production and sale of lab-cultured meat,thịt nuôi cấy; thịt nhân tạo; thịt phòng thí nghiệm,Foreign ban on health grounds; also bans meat names for plant proteins,Balanced,None,NOV-81,VN-direct,High,inferred,"Three different terms used in one article, showing no settled Vietnamese name."
CafeF,2021-07-21,Vĩnh Hoàn 'bắt tay' CJ và Baemin rót vốn vào startup thịt tôm nhân tạo tại Singapore,Vinh Hoan joins CJ and Baemin to invest in an artificial shrimp meat startup in Singapore,thịt tôm nhân tạo,Business investment,Positive,Vinh Hoan investment,NOV-74,VN-direct,High,inferred,Even business press uses 'nhan tao' for cultivated seafood.
VnExpress,2024-08-19,'Tôi sợ đồ chay giả mặn vì một lạng nấm bốn thìa gia vị','I fear mock-meat vegetarian food because 100 g of mushroom takes four spoons of seasoning',đồ chay giả mặn,Additives; mock meat not truly vegetarian in spirit,Negative,Reader opinion,NOV-65,VN-direct,High,inferred,Relevant to mushroom-based meats and to the chay status of novel proteins.
Thanh Nien,2025-05-19,Chủ trang trại gà 'khóc ròng' vì tin đồn trứng giả,Chicken farm owners in tears over fake egg rumours,trứng giả,Fake food rumours on social media,Negative,Poultry Association asks police to investigate,NOV-73,VN-direct,High,inferred,Context: 'fake' food fear is active.
Thanh Nien,2026-05-11,"Công an TP.HCM triệt phá cơ sở sản xuất 65 tấn thịt bò giả, chứa hóa chất",Ho Chi Minh City police bust a facility that made 65 tonnes of fake beef containing chemicals,thịt bò giả,Food fraud: pork dyed and treated to pass as beef,Negative,65 tonnes since 2024; sold at two markets,NOV-72,VN-direct,High,inferred,Any product sold as 'like meat' risks this association.
VnExpress (sponsored by Vinasoy),2024-10-11,Lý do Veyo sữa hạt lên men tự nhiên thu hút người dùng,Why Veyo naturally fermented nut milk attracts consumers,lên men tự nhiên; non-GMO,Fermentation as digestive health,Positive,Vinasoy product,NOV-63,VN-direct,High,inferred,Sponsored content: shows how an incumbent chooses to frame fermentation.
VnExpress,2026-03-30,Dấu hiệu cảnh báo không nên ăn thực phẩm lên men,Warning signs you should not eat fermented foods,thực phẩm lên men,"Gut health benefits, then intolerance risks","Mixed, benefit-first",None,NOV-64,VN-direct,High,inferred,
Thanh Nien (sponsored by VitaDairy),2025-08-21,"Chọn sữa cho trẻ: Không chỉ cần dưỡng chất, mà còn phải không chứa chất gây hại",Choosing milk for children: not only nutrients but also free of harmful substances,biến đổi gen (as something to avoid),GMO grouped with hormones and antibiotic residues,Negative towards GMO,Moozi '10 KHONG' claims,NOV-62,VN-direct,High,inferred,Sponsored; shows GMO-free is a selling point for a lactoferrin-using company.
