record_id,new_unit,name_vi,type,admin_centre,centre_in_former_unit,former_units,n_former_units,area_km2,population,res202_clause,notes,source_ids,evidence_label,confidence
PRV-001,Tuyen Quang,Tuyên Quang,province,Minh Xuan ward (former Tuyen Quang),Tuyen Quang,Ha Giang; Tuyen Quang,2,13795.5,1865270,Art 1(1),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-002,Lao Cai,Lào Cai,province,Yen Bai ward (former Yen Bai),Yen Bai,Yen Bai; Lao Cai,2,13256.92,1778785,Art 1(2),"Name kept from one former unit but centre placed in another former unit (Yen Bai). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-003,Thai Nguyen,Thái Nguyên,province,Phan Dinh Phung ward (former Thai Nguyen),Thai Nguyen,Bac Kan; Thai Nguyen,2,8375.21,1799489,Art 1(3),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-004,Phu Tho,Phú Thọ,province,Viet Tri ward (former Phu Tho),Phu Tho,Vinh Phuc; Hoa Binh; Phu Tho,3,9361.38,4022638,Art 1(4),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-005,Bac Ninh,Bắc Ninh,province,Bac Giang ward (former Bac Giang),Bac Giang,Bac Giang; Bac Ninh,2,4718.6,3619433,Art 1(5),"Name kept from one former unit but centre placed in another former unit (Bac Giang). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-006,Hung Yen,Hưng Yên,province,Pho Hien ward (former Hung Yen),Hung Yen,Thai Binh; Hung Yen,2,2514.81,3567943,Art 1(6),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-007,Hai Phong,Hải Phòng,centrally governed city,Thuy Nguyen ward (former Hai Phong),Hai Phong,Hai Phong (city); Hai Duong,2,3194.72,4664124,Art 1(7),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-008,Ninh Binh,Ninh Bình,province,Hoa Lu ward (former Ninh Binh),Ninh Binh,Ha Nam; Nam Dinh; Ninh Binh,3,3942.62,4412264,Art 1(8),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-009,Quang Tri,Quảng Trị,province,Dong Hoi ward (former Quang Binh),Quang Binh,Quang Binh; Quang Tri,2,12700,1870845,Art 1(9),"Name kept from one former unit but centre placed in another former unit (Quang Binh). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-010,Da Nang,Đà Nẵng,centrally governed city,Hai Chau ward (former Da Nang),Da Nang,Da Nang (city); Quang Nam,2,11859.59,3065628,Art 1(10),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
