source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
AFN-01,Coefficient Giving. Request for Proposals: Alternative Protein R&D. Page updated 9 September 2026.,Request for Proposals: Alternative Protein R&D,Coefficient Giving,2026-09-09,https://coefficientgiving.org/funds/farm-animal-welfare/request-for-proposals-alternative-protein-rd/,,company,2026-09-25,"Primary funder page. Up to USD 30 million over two rounds; topics incl. fish flavours (tilapia, milkfish, carp, catfish); 'credible pathway to industry uptake'. Type is funder (listed as company for lack of a funder category)."
AFN-02,Coefficient Giving. Farm Animal Welfare fund page. Accessed 25 September 2026.,Farm Animal Welfare,Coefficient Giving,undated,https://coefficientgiving.org/funds/farm-animal-welfare/,,other,2026-09-25,Funder page. Strategy incl. movement building 'especially in emerging economies'. Page summary still gave USD 10 million for the R&D RFP; the RFP page (AFN-01) gives up to USD 30 million.
AFN-03,Coefficient Giving. Alternatives to Animal Products (focus area page). Accessed 25 September 2026.,Alternatives to Animal Products,Coefficient Giving,undated,https://coefficientgiving.org/funds/farm-animal-welfare/alternatives-to-animal-products/,,other,2026-09-25,Funder thesis page; no geographic focus stated.
AFN-04,"Conrad, C. (Nova Vista Foundation). $10M RFP for Alt Protein Policy and Market-Shaping. EA Forum, 7 August 2026. Read through the ea.greaterwrong.com mirror because the forum returned HTTP 403.",$10M RFP for Alt Protein Policy and Market-Shaping,Nova Vista Foundation (Chris Conrad),2026-08-07,https://forum.effectivealtruism.org/posts/uxodsfvcZdRpyJQES/usd10m-rfp-for-alt-protein-policy-and-market-shaping-nova,,other,2026-09-25,Funder announcement. Mirror read: https://ea.greaterwrong.com/posts/uxodsfvcZdRpyJQES/usd10m-rfp-for-alt-protein-policy-and-market-shaping-nova . No mention of the Navigation Fund.
AFN-05,"Nova Vista Foundation. RFP: Protein Innovation (published Google Doc, linked from AFN-04). Accessed 25 September 2026.",RFP: Protein Innovation,Nova Vista Foundation,2026,https://docs.google.com/document/d/e/2PACX-1vQnAZSjDOS-grPnF2MjPps7Cd5c7kugL0JycFH_Xgblj1IK0AAGPG5m5oHxFvKpoSfoGVw1wSaD5Jcc/pub,,other,2026-09-25,"Full RFP text read: funding areas, geographies, evaluation criteria (goals as outcomes), out-of-scope list."
AFN-06,The Navigation Fund. Farm animal welfare grants page. Accessed 25 September 2026.,Farm Animal Welfare grants,The Navigation Fund,undated,https://www.navigation.org/grants/farm-animal-welfare,,other,2026-09-25,Invitation-only; six priorities incl. institutional impact; no alternative-protein RFP and no region named.
AFN-07,"Winslow, J. (Humane and Sustainable Food Lab, Stanford). Research report: modern alternative proteins did not replace meat purchases in restaurants. EA Forum, 26 August 2026 (read through ea.greaterwrong.com mirror).",Research report: modern alternative proteins did not replace meat purchases in restaurants,"Jared Winslow, Stanford Humane and Sustainable Food Lab",2026-08-26,https://ea.greaterwrong.com/posts/mebo4NYBmFcfzNRDS/research-report-modern-alternative-proteins-did-not-replace,,preprint,2026-09-25,"Research report, not peer reviewed. 1.2 million transactions in 7 restaurants (US, Canada, Australia); funded by Coefficient Giving and the Food Systems Research Fund."
AFN-08,The Good Food Institute. Alternative protein research grants 2026 (Research Grant Program page). Accessed 25 September 2026.,Alternative protein research grants 2026,The Good Food Institute,undated,https://gfi.org/researchgrants/,,advocacy,2026-09-25,"Closed; USD 27 million plus, 141 grants since 2019, 26 countries; priorities organoleptic, cost, scale-up."
AFN-09,vegconomist. GFI Research Grant Program will provide up to $3.5MM for alternative protein projects in two key areas. 27 March 2025.,GFI Research Grant Program Will Provide Up to $3.5MM for Alternative Protein Projects in Two Key Areas,vegconomist,2025-03-27,https://vegconomist.com/rd/gfi-research-grant-program-requests-alternative-protein-proposals/,,press,2026-09-25,Trade press. 2025 priorities: fermentation functionality for plant-based meat; cell line development. No consumer research.
AFN-10,"The Good Food Institute. State of the Industry: plant-based meat, seafood, eggs, dairy and ingredients (resource page). Updated 5 May 2026.","State of the Industry: Plant-based meat, seafood, eggs, dairy, and ingredients",The Good Food Institute,2026-05-05,https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry/,,advocacy,2026-09-25,Global plant-based meat and seafood retail USD 6.6 billion in 2025; no Southeast Asia or Vietnam mention on the page. Same page as package EXP-03.
AFN-11,GFI APAC. GFI APAC's 2025 Report Card + 6 Things to Watch in 2026. January 2026.,GFI APAC's 2025 Report Card + 6 Things to Watch in 2026,GFI APAC,2026-01,https://gfi-apac.org/gfi-apacs-2025-report-card-6-things-to-watch-in-2026/,,advocacy,2026-09-25,"Priorities and expectations incl. enhanced meat rollouts and 'protein maximisation'; Vietnam not named. Same URL as package RGN-20, re-read for demand content."
AFN-12,GFI APAC. Team page. Accessed 25 September 2026.,Team,GFI APAC,undated,https://gfi-apac.org/team/,,advocacy,2026-09-25,No team member listed with Vietnam coverage.
AFN-13,GFI APAC. Temasek-backed firm upgrades Singapore's conventional meat with plant proteins. 4 September 2025.,Temasek-backed firm upgrades Singapore's conventional meat with plant proteins,GFI APAC,2025-09-04,https://gfi-apac.org/temasek-backed-firm-upgrades-singapores-conventional-meat-with-plant-proteins/,,advocacy,2026-09-25,"Q Protein (CREMER, Nurasa, Quality Meat): meat enhanced with soy protein, Singapore retail; no sales data."
AFN-14,vegconomist. Malnutrition data frames India roundtable on building alt-protein into state feeding schemes. 3 August 2026.,Malnutrition Data Frames India Roundtable on Building Alt-Protein Into State Feeding Schemes,vegconomist,2026-08-03,https://vegconomist.com/protein/malnutrition-data-frames-india-roundtable-building-alt-protein-state-feeding-schemes/,,press,2026-09-25,"Trade press report of an ORF and GFI India roundtable; PM-POSHAN and ICDS; FSSAI, DBT, World Bank, WFP present."
AFN-15,Bezos Earth Fund. Bezos Centre for Sustainable Protein opens at the National University of Singapore. 5 September 2024.,Bezos Centre for Sustainable Protein Opens at the National University of Singapore,Bezos Earth Fund,2024-09-05,https://www.bezosearthfund.org/news-and-insights/bezos-centre-sustainable-protein-opens-national-university-of-singapore,,other,2026-09-25,Funder release. USD 30 million; East and Southeast Asia focus; taste and price parity aim.
AFN-16,"National University of Singapore, Bezos Centre for Sustainable Protein. Research areas page. Accessed 25 September 2026.",Research Areas,NUS Bezos Centre for Sustainable Protein,undated,https://www.fst.nus.edu.sg/bezoscentre/research-areas/,,other,2026-09-25,"Platforms: nutrition science (Asian populations), safety, consumer acceptance."
AFN-17,FoodNavigator. Million-dollar sustainable protein grant aims to fast-track market entry. 19 January 2026.,Million-dollar Sustainable Protein grant aims to fast-track market entry,FoodNavigator,2026-01-19,https://www.foodnavigator.com/Article/2026/01/19/milliondollar-sustainable-protein-grant-aims-to-fasttrack-market-entry/,,press,2026-09-25,"Bezos Centre at NUS and Enterprise Singapore: up to SGD 1 million per growth-stage winner, TRL 7 to 9."
AFN-18,"Asia Research and Engagement. The Asia Protein Buyers 100 (APB 100) Report 2026 (web page, infographic and full report PDF). 19 February 2026.",The Asia Protein Buyers 100 (APB 100) Report 2026,Asia Research and Engagement,2026-02-19,https://asiareengage.com/the-asia-protein-buyers-100-apb-100-2026/,,advocacy,2026-09-25,"Full report read (PDF via site download). 100 buyers, 12 markets incl. Vietnam (5 buyers); protein diversification average 7.4%."
AFN-19,Asia Research and Engagement. Asia Protein Transition Platform page. Accessed 25 September 2026.,Asia Protein Transition Platform,Asia Research and Engagement,undated,https://asiareengage.com/protein-transition/,,advocacy,2026-09-25,"40+ listed Asian food companies; engagement in China, Thailand, India, Japan, Singapore; Vietnam not named."
AFN-20,FAIRR Initiative. Protein Diversification engagement: overview. Accessed 25 September 2026.,Protein Diversification Engagement: Overview,FAIRR Initiative,undated,https://www.fairr.org/engagements/protein-diversification/overview,,advocacy,2026-09-25,"Phase 2 ended October 2025; 73 investors, USD 11.5 trillion; 20 large (Western) manufacturers and retailers; no Asian company named."
AFN-21,FAIRR Initiative. Coller FAIRR Protein Producer Index: Vietnam Dairy Products JSC (2024 assessment). Accessed 25 September 2026.,Coller FAIRR Protein Producer Index - Vietnam Dairy Products JSC,FAIRR Initiative,2024,https://www.fairr.org/resources/companies-assessed/vietnam-dairy-products-jsc/protein-producer-index,,database,2026-09-25,Vinamilk: rank 34 of 60; alternative proteins score 45 of 100; plant-based 1.30% of product range; no timebound target.
AFN-22,Humane World for Animals. Viet Nam programme page. Accessed 25 September 2026.,Humane World for Animals in Viet Nam,Humane World for Animals,undated,https://www.humaneworld.org/viet-nam/en,,advocacy,2026-09-25,"Programmes: dog and cat meat, wildlife, farmed animals (cage-free), disasters. No plant-based programme listed. Same URL as package CHY-63."
AFN-23,"Block, K. and Amundson, S. Giving thanks for progress for farmed animals all over the world. Humane World for Animals blog, 26 November 2025.",Giving thanks for progress for farmed animals all over the world,Humane World for Animals,2025-11-26,https://www.humaneworld.org/en/blog/2025-farmed-animals-progress,,advocacy,2026-09-25,States 2025 training of 370+ chefs and 570+ nutritionists across seven countries incl. Viet Nam; 2.3 million meals a year transitioned (all countries).
AFN-24,Humane World for Animals. How Forward Food is shifting menus toward plants. 27 March 2026.,How Forward Food is shifting menus toward plants,Humane World for Animals,2026-03-27,https://www.humaneworld.org/en/all-animals/global-plant-based-menus,,advocacy,2026-09-25,Forward Food metrics (US 8 million plant-based meals offered daily; Brazil ~40 million meals); Viet Nam not listed as a Forward Food location.
AFN-25,Animal Charity Evaluators. Recommended charities (2025 list). Accessed 25 September 2026.,Recommended Charities,Animal Charity Evaluators,2025,https://animalcharityevaluators.org/donation-advice/recommended-charities/,,advocacy,2026-09-25,Ten recommended charities; Asian diet-change work only in China (Good Food Fund) and Indonesia and Thailand (Sinergia Animal).
AFN-26,Animal Charity Evaluators. Sinergia Animal charity review (2025).,Sinergia Animal review,Animal Charity Evaluators,2025,https://animalcharityevaluators.org/charity-review/sinergia-animal/,,advocacy,2026-09-25,"Institutional meat reduction (Argentina, Colombia, Indonesia in 2023): 998,000 meals replaced; 3.4 meals replaced per USD (ACE estimate)."
AFN-27,Animal Charity Evaluators. Good Food Fund charity review (2025).,Good Food Fund review,Animal Charity Evaluators,2025,https://animalcharityevaluators.org/charity-review/good-food-fund/,,advocacy,2026-09-25,China: Mama's Kitchen certification of institutions at least 60% plant-based; aligns with Chinese Dietary Guidelines.
AFN-28,Animal Charity Evaluators. Announcing our latest Movement Grants disbursement. July 2025.,Announcing Our Latest Movement Grants Disbursement,Animal Charity Evaluators,2025-07,https://animalcharityevaluators.org/blog/announcing-our-latest-movement-grants-disbursement/,,advocacy,2026-09-25,"USD 835,479 across 24 grants; no Vietnamese grantee."
AFN-29,Animal Alliance Asia. ReRoot Asia Fund page (2026 round). Accessed 25 September 2026.,ReRoot Asia Fund,Animal Alliance Asia,2026,https://www.animalallianceasia.org/rerootasia,,advocacy,2026-09-25,Regranting supported by Stray Dog Institute; diet change incl. institutional menus; eligible countries exclude Vietnam; 2026 round closed.
AFN-30,Giving Green. Top climate change nonprofit recommendations (2025 to 2026). Accessed 25 September 2026.,Top climate nonprofits,Giving Green,2025,https://www.givinggreen.earth/top-climate-change-nonprofit-donations-recommendations,,advocacy,2026-09-25,Recommends the Good Food Institute among five top climate nonprofits.
AFN-31,Founders Pledge. Climate Fund impact page. Accessed 25 September 2026.,Climate Fund impact,Founders Pledge,undated,https://www.founderspledge.com/programs/climate-fund-impact,,other,2026-09-25,Grant spotlights are energy policy; no food or alternative-protein grant found (clean negative).
AFN-32,The Rockefeller Foundation. School Meals initiative page. Accessed 25 September 2026.,School Meals,The Rockefeller Foundation,undated,https://www.rockefellerfoundation.org/initiatives/school-meals/,,other,2026-09-25,"USD 100 million pledge (March 2025); staff in Nairobi, Bangkok, Bogota; Vietnam not mentioned."
AFN-33,School Meals Coalition. Members page. Accessed 25 September 2026.,Members,School Meals Coalition,undated,https://schoolmealscoalition.org/about/members,,intergovernmental,2026-09-25,"Vietnam not listed; Cambodia, China, Indonesia, Japan, Lao PDR, Philippines, Korea, Thailand, Timor-Leste listed."
AFN-34,WWF. Planet-Based Diets Retailer Methodology. November 2025 (PDF created 6 November 2025).,WWF Planet-Based Diets Retailer Methodology,"WWF (Johannes Kraft, WWF-Germany, among authors)",2025-11,https://wwfint.awsassets.panda.org/downloads/wwf-planet-based-diets-retailer-methodology.pdf,,advocacy,2026-09-25,"Measures sales in tonnes, not protein; plant protein-rich foods include legumes, tofu, tempeh, seitan, meat alternatives; 60% plant target."
AFN-35,WWF-Viet Nam. Home page. Accessed 25 September 2026.,WWF-Viet Nam,WWF-Viet Nam,undated,https://vietnam.panda.org/en/,,advocacy,2026-09-25,"No diets, protein or food-service work visible (clean negative, home page only)."
AFN-36,Dharma Voices for Animals. Vietnam Project page. Accessed 25 September 2026.,Vietnam Project,Dharma Voices for Animals,undated,https://www.dharmavoicesforanimals.org/vietnam-project,,advocacy,2026-09-25,"Pagoda-based plant-based cooking, films and talks with Phap Van Pagoda, Hanoi; no dates or outcome data."
AFN-37,Vietnam Animal Welfare Watch. Home page. Accessed 25 September 2026.,Vietnam Animal Welfare Watch,Vietnam Animal Welfare Watch,undated,https://vaww.org/,,advocacy,2026-09-25,Monitors corporate cage-free commitments in Vietnam; no plant-based programme.
