name,vn_name,type,city_province_current,relevant_units,capabilities,relevant_topics,example_outputs,public_contact_url,source_ids,evidence_label,confidence,notes
Hanoi University of Science and Technology (HUST) - biotechnology and food technology units,Đại học Bách khoa Hà Nội - Viện/Trường Công nghệ Sinh học và Công nghệ Thực phẩm (SBFT),university,Hanoi,"Food technology, biotechnology, fermentation technology groups (e.g. groups publishing on rice DDG protein, spent brewer's yeast, okara, VHG ethanol)","Protein extraction and characterisation (SDS-PAGE, DSC, in vitro digestibility reported); enzymatic hydrolysis; yeast fermentation; ethanol process development. Pilot-scale fermenters or extruders NOT verified","Side-stream protein (rice DDG, spent brewer's yeast, okara); yeast protein and RNA reduction; traditional fermentation; consumer study on alt protein",10.1002/apj.70043; 10.21203/rs.3.rs-3171967/v1; 10.51316/jst.178.etsd.2024.34.5.4; 10.15625/2525-2518/55/5a/12192; 10.3389/fmicb.2018.02278,https://hust.edu.vn,RD-01; RD-22; RD-23; RD-31; RD-32; RD-56,VN-direct,Medium,Strongest VN group on food-grade side-stream protein found. HUST unit names changed in recent restructuring (reported merger of SBFT into a School of Chemistry and Life Sciences); verify current unit name. sbft.hust.edu.vn failed TLS on 2026-09-23. URL not re-verified
"VNU Hanoi - University of Science (HUS), Faculty of Biology (fungal molecular biology group)","Đại học Quốc gia Hà Nội - Trường Đại học Khoa học Tự nhiên, Khoa Sinh học",university,Hanoi,"Fungal genetics group (Van-Tuan Tran and co-authors); Key Laboratory of Enzyme and Protein Technology (name from agent knowledge, verify)","Agrobacterium-mediated transformation, auxotrophic markers (pyrG), homologous recombination in Aspergillus oryzae, Penicillium, Cordyceps militaris",Koji chassis engineering; food-grade fungal expression; recombinant enzymes,10.1007/s11274-021-03060-z; 10.1007/s11274-017-2275-9; 10.47371/mycosci.2024.10.003; 10.1007/s10529-023-03374-y,https://hus.vnu.edu.vn,RD-01; RD-33; RD-34,VN-direct,Medium,"Affiliation inferred from author group, not read from paper headers. Only VN group with published A. oryzae genetic toolkit found; natural partner for koji/mycoprotein strain work"
VNU Hanoi - Institute of Microbiology and Biotechnology (IMBT) and Vietnam Type Culture Collection (VTCC),"Viện Vi sinh vật và Công nghệ Sinh học, ĐHQGHN; Bảo tàng Giống chuẩn Vi sinh vật (VTCC)",institute,Hanoi,VTCC culture collection; environmental microbiology (methanotroph SCP work),"Culture collection supplying strains used in VN papers (e.g. A. oryzae VTCC-F187, A. niger VTCC-F017, L. brevis VTCC-B397); isolation of methane-oxidising bacteria",Indigenous strains; bacterial SCP from methane,10.15625/1811-4989/14/3/9876; 10.1155/2021/8840038,https://vnu.edu.vn (parent; unit URL not verified),RD-01; RD-28,VN-direct,Medium,VTCC strain codes appear in several VN papers; host institution from agent knowledge. Methanotroph SCP (2016) had no follow-up found. URL not re-verified
VNU-HCM University of Science (HCMUS) - Faculty of Biology and Biotechnology; molecular biotechnology groups,Đại học Quốc gia TP.HCM - Trường Đại học Khoa học Tự nhiên,university,Ho Chi Minh City,Groups expressing recombinant proteins in Pichia pastoris (Nguyen Hieu and co-authors); CRISPR yeast engineering,"Pichia expression incl. multi-copy strains and fed-batch strategies; growth factors FGF-2, KGF/FGF7, PDGF-BB; bacteriocins; phytase for aquafeed; CRISPR S. cerevisiae",Precision fermentation; recombinant growth factors for cell culture media; feed enzymes,10.15625/vjbt-21940; 10.32508/stdj.v23i2.1746; 10.32508/stdjns.v4i3.900; 10.32508/stdjet.v4i3.858; 10.1007/s42770-024-01388-w; 10.1021/acs.jafc.5c00550,https://hcmus.edu.vn,RD-01; RD-35; RD-36; RD-37; RD-38,VN-direct,Medium,Growth-factor expression in Pichia is directly relevant to cultivated-meat media cost; no food-protein (e.g. dairy/egg protein) expression found. Affiliations inferred. URL not re-verified
"Stem Cell Institute, VNU-HCM University of Science","Viện Tế bào gốc, Trường ĐH Khoa học Tự nhiên, ĐHQG-HCM",institute,Ho Chi Minh City,"Stem cell and tissue engineering laboratory (Phan Van Phuc, Vu Bich Ngoc and co-authors)","MSC isolation and expansion, clinical-grade production, spheroids, PCL and fibrin scaffolds, engineered cartilage",Cell culture scale-up and scaffolds (transferable to cultivated meat),10.15419/psc.v3i02.123; 10.15419/bmrat.v7i12.652; 10.15419/bmrat.v5i02.414,https://hcmus.edu.vn (parent; institute URL not verified),RD-01; RD-41,VN-direct,Medium,"Human biomedical focus; no food or animal-cell (livestock/fish) work found. URL from agent knowledge, not re-verified"
VNU-HCM International University (IU) - School of Biotechnology,"Trường Đại học Quốc tế, ĐHQG-HCM - Khoa Công nghệ Sinh học",university,Ho Chi Minh City,Cereal and legume processing group (Pham Van Hung); animal reproduction and stem cells (Nguyen Van Thuan),Germination/starch/protein chemistry; porcine germline stem cell isolation and differentiation,Legume/cereal ingredients; livestock stem cells,10.1262/jrd.2019-050; 10.1111/ijfs.15473; 10.1111/ijfs.14883,https://hcmiu.edu.vn,RD-01; RD-42,VN-direct,Low,"Affiliations from agent knowledge of author groups, not read from headers. Porcine stem-cell work is the only livestock stem-cell output found in VN"
"Ho Chi Minh City University of Technology (HCMUT), VNU-HCM - Faculty of Chemical Engineering (food technology and biotechnology)","Trường Đại học Bách khoa, ĐHQG-HCM",university,Ho Chi Minh City,Food technology group (Lai Quoc Dat and co-authors),Membrane separation (ultrafiltration) for rice protein; GABA fermentation of defatted rice bran; microencapsulation,Rice protein recovery; rice bran valorisation,10.1016/j.ifset.2021.102692; 10.1111/ijfs.16101,https://hcmut.edu.vn,RD-01; RD-24,VN-direct,Medium,Affiliation inferred from author group. URL not re-verified
"Institute of Biotechnology (IBT), Vietnam Academy of Science and Technology","Viện Công nghệ Sinh học, Viện Hàn lâm KH&CN Việt Nam",institute,Hanoi,Algal biotechnology (Dang Diem Hong and co-authors); enzyme and recombinant protein groups (Do Thi Tuyen); National Key Laboratory of Gene Technology (from agent knowledge),"Microalgae strain collection and cultivation (Spirulina, Schizochytrium); transcriptomics; Pichia and A. niger expression; rice bran protein isolate",Microalgae protein and DHA feedstock; recombinant enzymes for agro-waste; rice bran protein,10.3390/su151511906; 10.15625/0866-7160/v37n4.7091; 10.15625/1811-4989/17659; 10.1111/jpy.12757,https://ibt.ac.vn,RD-01; RD-21; RD-25,VN-direct,Medium,Homepage fetched 2026-09-23 but did not list departments. Any 2025 VAST restructuring not verified
"Institute of Tropical Biology (ITB), VAST",Viện Sinh học Nhiệt đới,institute,Ho Chi Minh City,Plant and microbial biotechnology; freshwater algae ecology (from agent knowledge),Not verified in this wave,Microalgae; tropical biodiversity,none linked with confidence,https://itb.ac.vn,RD-01,VN-direct,Low,Named in brief; no output confidently attributed in this search. Verify
Vietnam National University of Agriculture (VNUA),Học viện Nông nghiệp Việt Nam,university,Hanoi,"Faculty of Biotechnology (Arthrospira review; mushroom research group: Ngo Xuan Nghien, Nguyen Thi Bich Thuy, Le Van Ve); Faculty of Food Science and Technology; Faculty of Fisheries (tilapia nutrition); animal science (BSF feeding trials)",Mushroom strain and cultivation research; Spirulina production knowledge; feeding trials in fish and poultry,Mushrooms and mycelium; microalgae; insect benchmark; feed,10.1016/j.biteb.2021.100803; 10.31817/vjas.2018.1.2.01; 10.3390/aquacj5010007; 10.13057/biodiv/d241235,https://vnua.edu.vn,RD-01; RD-20; RD-54,VN-direct,High,Affiliation confirmed by Scite affiliation filter (880 records). Publishes Vietnam Journal of Agricultural Sciences (vjas)
