record_id,study,country,product,format,extender,levels_tested,level_with_no_loss,result,source_ids,evidence_label,confidence,demand_evidence_type,notes
HXS-01,Pham et al. 2021,Vietnam,cha lua (Vietnamese sausage),fine emulsion gel,"none (lean, lard and starch ratios)","lean 70 to 90%, lard 10 to 30%, starch 0 to 10%",not applicable,"Best liked 70% meat, 25% lard, 5% starch; 90% lean least liked; grainy and heterogeneous texture and air holes cut liking; chewy, firm, elastic raise it. 68 consumers aged 18 to 26.",HXE-01,VN-direct,Medium,tested,"Implication (our inference): textured granules that make a paste grainy are a poor fit for gio and cha; a fine isolate, concentrate or paste is needed."
HXS-02,Nguyen et al. 2018,Vietnam,emulsion-type sausage,fine emulsion,soy protein concentrate against peanut protein concentrate; 7 commercial sausages containing soy protein,binder level (not stated in abstract),not stated,"Commercial Vietnamese emulsion sausages tested all contained soy protein (7 samples); the same share of consumers were satisfied with the soy control, the peanut versions and two commercial soy sausages.",HXE-02,VN-direct,Medium,tested; revealed,Abstract only. Confirms soy protein is normal in Vietnamese sausages; says nothing about replacement levels.
HXS-03,Le et al. 2024,Vietnam,gio lua,fine emulsion gel,"modified starch, chitofood, soy germ powder as borax replacers","0, 0.5, 1, 1.5%",1% of each,Finished gio lua had 19.1 to 19.4 g protein per 100 g; the paper states that more than 90% of market pork gio lua contained borax or chemical additives (cited claim).,HXE-03,VN-direct,Low,tested; stated,The borax claim is a secondary citation we did not verify; it signals a trust problem around what goes into gio.
HXS-04,Yeung and Huang 2017,Taiwan,kung-wan (emulsified pork meatball),fine emulsion gel,"soy protein, caseinate, whey, egg albumen, skim milk as binders",binder level,whey best,"Soy protein lowered sensory acceptance; whey scored highest; egg albumen, caseinate and whey raised chewiness.",HXE-08,VN-adjacent,Medium,tested,Abstract only. Closest published format to gio lua. Fits Vissan pairing soy with milk protein in gio lua.
HXS-05,Rentfrow et al. 2004,United States,"frankfurter, smoked sausage, fresh pork sausage, ground beef",fine and coarse,non-solvent extracted textured soy replacing lean,"15, 30, 45% of lean",15% (smoked sausage); up to 30% for texture and off-flavour in frankfurters,45% gave mushy texture and off-flavour; soy raised off-flavour in all but frankfurters; frankfurter juiciness fell at any level; authors: practical lean replacement below 30%.,HXE-04,general,Medium,tested,Abstract only (trained panel).
HXS-06,Moazzam et al. 2025,Pakistan,beef patty,coarse mince,soy protein concentrate hydrated 1:2,"10, 15, 20, 25%",25%,"25% improved juiciness, tenderness and cooking yield (83.07%); lower redness.",HXE-05,general,Medium,tested,
HXS-07,Li et al. 2025,China,Harbin red sausage (pork),coarse to medium,Fusarium venenatum mycoprotein replacing lean pork,several levels (5 groups),25%,25% mycoprotein preferred to the traditional sausage in a ranking test; higher levels lowered preference.,HXE-06,VN-adjacent,Medium,tested,The only fungal biomass in a pork sausage we found.
HXS-08,Fu et al. 2023,China,emulsion-type sausage (chicken),fine emulsion,whole Agaricus bisporus mushroom replacing chicken breast,"10, 30, 50, 70%",10%,"Protein fell from 16.2 to 13.0 g per 100 g, cooking loss rose from 21.4 to 36.1%, texture and sensory scores fell with level; only 10% kept quality.",HXE-07,VN-adjacent,Medium,tested,"Whole mushroom (low protein, high water) is not fungal biomass; shows why a mushroom label cannot rest on whole mushrooms at high levels."
HXS-09,Baune et al. 2023,Germany,"meatballs and other hybrids at 70% meat, 30% plant",coarse mince,"soy, pumpkin, pea as textured protein or high-moisture extrudate",30%,"30% pea textured protein ""can still attract consumers""",About 50% of consumers would still rather not buy the tasted hybrid; cites UK hybrids above 30% substitution often failing in market.,HXE-09,general,Medium,tested,Market-failure claim is a citation of Grasso and Jaworska 2020 (HXE-12).
HXS-10,Caputo et al. 2023,United States,burger,coarse mince,70% beef and 30% mushroom blend,30%,blind only,Blend preferred to plant burgers blind; demand fell when consumers were told the ingredients.,GLB-30,general,Medium,tested,Already in the package (ch24.4).
HXS-11,A*STAR and GFI APAC 2025,Singapore,chicken mince and 19 other blends,coarse mince,plant protein,various,30 to 50% in one chicken mince,Chicken mince with 30 to 50% plant protein beat 100% chicken; most tasters preferred about 75% animal.,NOV-37; NOV-40,VN-adjacent,Medium,tested,Already in the package; press release level.
HXS-12,Search for Vietnamese detection or complaint evidence,Vietnam,"gio, cha, xuc xich",all,soy or other plant protein,,,"We found no Vietnamese study measuring whether consumers detect or object to soy or plant protein in gio, cha or sausages (OpenAlex and Scite, 25 Sep 2026). We could not search the press.",,VN-direct,Medium,not applicable (search result),Clean negative for the academic record only.
