question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AIB-Q01,AIB-A01,manufacturers,"At what price, specification and documentation would Vinamilk trial a Vietnamese rice or mung bean isolate instead of imported pea protein in its high-protein nut milk, and how long would supplier qualification take?",Whether Vinamilk would switch or add a local isolate; whether a startup builds TPP-05 for this buyer,partly,ch26.3; ch26.4; ch26.7; TPP-05; OQ-234; OQ-236,weak,yes,High,Price band inferred from 2025 shipments; spec from product page; no buyer interview. Vinamilk AR 2025 gives supplier criteria only in general terms (AIB-01).
AIB-Q02,AIB-A01,manufacturers,"Is Vinamilk's high-protein nut milk a growth platform or a niche beside its dairy high-protein lines, given that it promotes milk protein as more absorbable than plant protein?",How much isolate volume the named first buyer can take; whether to pitch on function and supply security rather than protein quality,not answered,ch26.3 notes the product only,none,yes,High,New: AIB-03 (Green Farm Cao Đạm) and AIB-01 (plant milk as health solution).
AIB-Q03,AIB-A01; AIB-A02; AIB-A03,manufacturers,"Which plant-milk sub-categories (soy, nut, oat) and protein levels are growing, by volume and value, and in which channels?",Which isolate to develop and which buyer to target first,partly,ch22.3; ch23; launches_exits.csv LE-20 to LE-24; OQ-184,moderate,maybe,Medium,QNS 2025 figures now add revealed growth by sub-line (AIB-05); no category panel data.
AIB-Q04,AIB-A02,manufacturers,"Is Vinasoy a buyer, a partner or a competitor for a domestic protein ingredient, given its own non-GMO soybean breeding, whole-bean process and three plants?","Whom a T10 or T1 startup approaches, and whether as supplier, co-developer or licensee",not answered,ch26.7 lists Vinasoy as a plausible isolate buyer (inferred),weak,yes,Medium,AIB-06 shows vertical integration into soybean breeding.
AIB-Q05,AIB-A02; AIB-A01,manufacturers,"Would a paid school soy-milk or plant-milk programme follow the December 2025 school-meal guidance, given Vinasoy's donations (1 million boxes in 2026 to 2027)?",Whether plant milk becomes a public-meal protein route,not answered,ch25.3 says the school-milk precedent points to animal protein,none,maybe,Medium,AIB-08; AIB-39. Successor to the 2016 school milk programme not checked.
AIB-Q06,AIB-A04; AIB-A01,manufacturers,"What clinical and regulatory dossier, and how much time, does a medical or specialised nutrition maker need to add a new protein source (plant isolate or precision-fermented)?",Timing and cost of first revenue for T7 and for medical-grade plant isolates,partly,ch24.2; ch26.3; TPP-07; OQ-233; OQ-240,weak,yes,Medium,
AIB-Q07,AIB-A05; AIB-A07; AIB-A10,manufacturers,"Would an integrated meat processor pilot a declared 20 to 30% plant or fungal extender in a value line, given 2026 strategies of vertical integration and branded meat, and what would it need to see first?",Whether TPP-03 and play T9 have a first buyer,partly,ch24.4; ch26.6; TPP-03; OQ-203; OQ-232,weak,yes,High,2026 AGM material states no interest (AIB-12; AIB-14; AIB-15).
AIB-Q08,AIB-A05; AIB-A07,manufacturers,"At what live-hog or lean-pork price does an extender save a processor money, and how often has pork crossed that price since 2019?",Price target for TPP-03; timing of processor pilots,partly,ch21.5; ch24.4; OQ-164,weak,yes,Medium,"Vissan Q1 2026 hog price VND 71,000 to 74,000 per kg (AIB-15)."
AIB-Q09,AIB-A17; AIB-A06; AIB-A16,manufacturers,"Would a retailer private-label programme (Co.op 2,500+ SKUs; WinCommerce 25 to 50 house brands) list a higher-protein chay or blended SKU from a co-packer, and at what specification, margin and minimum volume?",Route to shelf for TPP-02 and TPP-03 without building a brand,not answered,"ch25.6 and AD.6 omit private label; private label appears only for export (TPP-08, ch27)",none,yes,High,AIB-28; AIB-29; AIB-30; AIB-12.
AIB-Q10,AIB-A06; AIB-A05,manufacturers,Does WinCommerce's link with Masan MEATLife (about 61% of its protein category) close the chain to third-party protein products or offer a fast in-house test route?,"Whether an independent maker can list at WinCommerce, or must partner with MML",not answered,ch25.1; AE.3,none,maybe,Medium,
AIB-Q11,AIB-A06; AIB-A16; AIB-A17; AIB-A18,manufacturers,"What listing fees, trade margins, promotion contributions and payment terms do the chains charge for frozen chay and processed meat?",Retail pricing and viability of any consumer product,not answered,ch25.5; OQ-213,none,yes,Medium,Deeper version of a known Part VI gap.
