indicator,value,unit,year,source,type,source_ids,evidence_label,confidence,notes
"Population, UN WPP 2024 medium variant",101.6,million people,2025,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
"Population, UN WPP 2024 medium variant",104.25,million people,2030,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
"Population, UN WPP 2024 medium variant",106.53,million people,2035,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
"Population, UN WPP 2024 medium variant",108.44,million people,2040,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
"Population, UN WPP 2024 medium variant",110.01,million people,2050,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
"Population peak, UN WPP 2024 medium variant",110.02,million people,2049,UN WPP 2024 via OWID,projected,GT-12,VN-direct,Medium,Growth 2025-2035 about 4.9 M people (+4.9%); growth nearly flat after 2040
Population growth 2025-2035 (arithmetic),4.9,%,2025-2035,Derived from UN WPP 2024,derived,GT-12,VN-direct,Medium,"Demand growth to 2035 comes mostly from income and diet change, not headcount"
Aged society threshold,reached by 2035,qualitative,2035,Wikipedia Demographics of Vietnam (citing GSO),projected,GT-13,VN-direct,Low,Secondary summary; TFR 1.91 (2024) per same page
Meat output implied by per-capita target x UN population,6.05-6.46,million t,2030,Decision 1520 target 58-62 kg/person x UN WPP 2030,derived,GT-12;REG-54;MAC-23,VN-direct,Medium,"Matches the 6.0-6.5 Mt carcass target in Decision 1520, so the two targets are internally consistent"
Industrial feed output target,30-32,million t,2030,Decision 1520/QD-TTg,target,REG-54,VN-direct,High,"Versus about 21.5 Mt in 2024 (USDA, prior lead, unverified here): implies about 5.7-6.9%/yr growth, which is above recent trend"
Implied feed growth 2024-2030 to hit target,5.7-6.9,%/yr,2024-2030,Arithmetic,derived,REG-54,VN-direct,Low,Base 21.5 Mt unverified (prior lead); treat as a check on target realism
"Maize price, actual",191,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Maize price, actual",203,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Maize price, forecast",211,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
"Maize price, forecast",214,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
"Soybean meal price, actual",442,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybean meal price, actual",366,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybean meal price, forecast",359,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
"Soybean meal price, forecast",363,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
"Soybeans price, actual",462,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybeans price, actual",414,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybeans price, forecast",441,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
"Soybeans price, forecast",446,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
"Soybean oil price, actual",1022,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybean oil price, actual",1140,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
"Soybean oil price, forecast",1233,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
"Soybean oil price, forecast",1236,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
