fact,part_vi_claim_affected,where,effect,source_ids,evidence_label,confidence,demand_evidence_type
"Ministry of Health Decision 3958/QĐ-BYT (25 Dec 2025) sets school-meal guidance: protein 13 to 20% of energy; lunch 30 to 40% of daily energy; animal-source protein at least 4 to 5 days a week alternating with plant protein (beans, tofu) at least twice a week; no animal share of protein.",School meals are 'guided by an animal-protein target' (Decision 1340/2016) and a plant protein pitched as replacing animal protein 'runs against the stated target'; DMV-17 asks to move guidance off an animal share,ch25 summary; ch25.3; ch29.4 DMV-17; demand_moves.csv DMV-17,contradicts,AIB-39,VN-direct,High,revealed
"Plant-protein days are already built into national school-menu guidance (at least twice a week), so a new ingredient sold into those days replaces tofu and beans, not meat.",Route R4 counts canteen and school protein-dish switches as meat displaced,ch28.2 and ch28.3 (R4); app-ah,updates,AIB-39,VN-direct,Medium,inferred
"Ho Chi Minh City's education department (Document 9632/SGDĐT-HSSV, Sep 2026) requires schools to publish daily the caterer, ingredients, purchase invoices, menus and photos of actual meal trays, and bars a supplier from serving more schools than its capacity.",Dispatch 64 requires traceable suppliers; Part VI proposes publishing the supplier documents needed,ch25.3; DMV-17,adds,AIB-42; AIB-41,VN-direct,High,revealed
"A 2025 public hospital patient-meal tender (Hospital for Tropical Diseases, about 81,800 rice and 20,500 porridge meals a year) requires 1,800 kcal and 60 g of protein a day and per meal at least 60 g of meat, fish or poultry or at least 120 g of tofu as a full replacement for animal protein.","'We found no retrievable data on patient meal budgets ... These are price-set, centrally specified channels like schools'",ch25.3; AD.4; OQ-220,adds,AIB-44,VN-direct,Medium,revealed
"The army's basic infantry food allowance is VND 72,000 (USD 2.77) per person per day under Circular 96/2025/TT-BQP (issued 25 Aug 2025), up from VND 65,000 under Circular 168/2021.",'We found no retrievable data on ... military rations or military food procurement',ch25.3; AD.4; OQ-220,adds,AIB-45,VN-direct,Medium,revealed
"The trade union's shift-meal floor is VND 25,000 when a caterer is hired and VND 20,000 when the firm cooks itself (regions I and II; VND 22,000 and 18,000 in regions III and IV), under VGCL Conclusion 03 (18 Jan 2022); each meal must include a protein food group.","'against a union floor of VND 20,000'",ch25.3; AD.4,updates,AIB-43,VN-direct,Medium,revealed
"Haseca reports more than 200,000 meals a day from more than 120 kitchens for more than 90 multinational clients, in five tiers of VND 18,000 to 45,000, with ISO 22000 and RBA compliance (company claim, Feb 2025).","'the largest caterers serve 30,000 to 120,000 meals a day'",ch25.3; TPP-04,updates,AIB-36,VN-direct,Low,stated
"No incumbent read (Vinamilk AR 2025, QNS 2026 AGM board report, Masan and Vissan 2026 AGM releases, Acecook 2025 strategy, CPF One Report 2025 for Vietnam) states a plant-based, alternative-protein or protein-diversification target for Vietnam.","'We found no Vietnamese food company piloting mycoprotein, precision-fermented dairy protein or a novel-protein hybrid'",ch26.6; AE.3,strengthens,AIB-01; AIB-05; AIB-11; AIB-12; AIB-14; AIB-18; AIB-19,VN-direct,High,stated
"Incumbents' protein diversification is into animal protein: Vinamilk's Vinabeef chilled-beef plant (10,000 t a year, 51% Vinamilk) and beef farm are operating; Vissan is building a 32,000-head pig farm (VND 230 billion); Masan MEATLife moves into marinated and processed branded meat (about 2% of the meat market).",Integrated meat groups are 'the natural makers of hybrid products'; incumbents framed as buyers,ch25.1; ch25.6; ch26.3,adds,AIB-01; AIB-04; AIB-12; AIB-15,VN-direct,High,revealed
Vissan's 2026 AGM set no chay target; its only chay news is two Vu Lan dumpling SKUs launched 27 Aug 2026 through its own shops and online.,OQ-181: 'Did Vissan set any chay-specific target for 2026?',OQ-181; ch22.3,strengthens,AIB-14; AIB-15; AIB-16,VN-direct,Medium,stated
