source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
ORG-01,"European Union and Socialist Republic of Viet Nam. Free Trade Agreement between the European Union and the Socialist Republic of Viet Nam. Official Journal L 186, 12 June 2020. Protocol 1 (origin): Articles 1 and 5; Annex I introductory notes 3.3, 3.5 and 4.2; Annex II rules for chapters 11, 12, 16, 19, 20, 21 and 23. Full text read from the Publications Office repository because EUR-Lex declined to display a 25.4 MB document. Accessed 25 Sep 2026.","EU-Viet Nam Free Trade Agreement, Protocol 1 and Annexes I and II",European Union; Socialist Republic of Viet Nam,2020-06-12,http://publications.europa.eu/resource/cellar/696cf988-ac72-11ea-bb7a-01aa75ed71a1.0006.03/DOC_1,,intergovernmental,2026-09-25,CELEX 22020A0612(01). Article 5(3)(a): tolerance of 10% of the weight of the product or ex-works price for chapters 2 and 4 to 24; Article 5(4): tolerance cannot exceed Annex II caps; Note 4.2: weight limits apply only to non-originating materials.
ORG-02,"European Commission, DG Trade. Access2Markets tariff service (api/tariffs/get), origin Viet Nam, destination Germany, codes 19022010, 19022030, 1902209120, 1902209190, 1902209920, 1902209990, 1902301020, 1902309020, 1905902010, 2004909810, 2004909860, 2004909880, 2106102020, 2106102090, 2106909815, 2106909860, 1602499000, 1602323090, 1602501090, 1604209090. Accessed 25 Sep 2026.",Access2Markets: EU import duties for goods from Viet Nam,"European Commission, DG Trade",2026-09-25,https://trade.ec.europa.eu/access-to-markets/api/tariffs/get/1902209190/VN/DE?lang=EN,,gov/statistics,2026-09-25,"Third-country duty and Viet Nam tariff preference with start dates. Complements EXP-23 (TARIC) for lines EXP-23 did not cover. A non-preferential tariff quota measure (orders 09.0086, 09.0087, 09.0088) also appears; not examined."
ORG-03,"UK Department for Business and Trade and HMRC. UK Trade Tariff API v2, commodities 1902201099, 1902203099, 1902209190, 1902209990, 1902309020, 1905902010, 2004909880, 2106102090, 2106909830, 2106909869, 1602495000, 1602499000, and geographical area 2051 (CPTPP All Members). Accessed 25 Sep 2026.",UK Trade Tariff: commodity measures incl. UK-Vietnam and CPTPP preferences,UK Department for Business and Trade; HMRC,2026-09-25,https://www.trade-tariff.service.gov.uk/api/v2/commodities/1902209990,,gov/statistics,2026-09-25,Adds CPTPP preference rates and codes not in EXP-24. Area 2051 includes VN.
ORG-04,"UK Department for Business and Trade and HMRC. UK Trade Tariff API v2, rules_of_origin_schemes for 190590, 200490, 160249 and 190230, country VN: UK-Viet Nam Origin Reference Document v1.1 (28 Dec 2021) Article 5 and Annex II; CPTPP Origin Reference Document v1.1 (30 Sep 2024). Accessed 25 Sep 2026.","UK Trade Tariff rules of origin, Viet Nam and CPTPP, additional lines",UK Department for Business and Trade; HMRC,2026-09-25,https://www.trade-tariff.service.gov.uk/api/v2/rules_of_origin_schemes/190590/VN,,gov/statistics,2026-09-25,"Extends XBA-30 (190220, 210690, 210610, 110100) to further lines; CPTPP product-specific rules are the CPTPP Annex 3-D rules as applied by the UK."
ORG-05,"Japan Customs. Japan's Tariff Schedule (Statistical Code for Import) as of April 1, 2026, chapter 19. Accessed 25 Sep 2026.","Japan's Tariff Schedule as of April 1, 2026, chapter 19","Japan Customs, Ministry of Finance",2026-04-01,https://www.customs.go.jp/english/tariff/2026_04_01/data/e_19.htm,,gov/statistics,2026-09-25,"Parsed with an HTML table parser; columns General, WTO, EPA columns incl. Viet Nam, ASEAN, CPTPP, RCEP (China). Chapter 21 lines are cited to EXP-41."
ORG-06,"RCEP Secretariat. RCEP Product-Specific Rules in HS 2022 (1 January 2023), document R01. Accessed 25 Sep 2026.",RCEP Product-Specific Rules in HS 2022,RCEP Secretariat,2023-01-01,https://rcepsec.org/wp-content/uploads/2026/06/R01-RCEP-PSR-in-HS-2022-1-Jan-2023.pdf,,intergovernmental,2026-09-25,1101 CC; 1602 CC; 1902 CC; 1905 CTH or RVC40; 2106.10 CC or RVC40; 2106.90 CTH or RVC40.
ORG-07,"Canada Border Services Agency. Customs Tariff 2026, chapters 19 and 21 (HTML). Accessed 25 Sep 2026.","Customs Tariff 2026, chapters 19 and 21",Canada Border Services Agency,2026,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2026/html/00/ch19-eng.html,,gov/statistics,2026-09-25,"1902.20.00 MFN 11%, CPTPT Free; 2106.90.99 MFN 10.5%, CPTPT Free."
ORG-08,"World Bank. World Integrated Trade Solution (WITS) TRAINS API, reported MFN applied tariffs, HS 190220, 190230, 190590, 210610, 210690, 200490, 160249, reporters Japan, Korea, Canada, Australia, United Kingdom, Viet Nam, year 2023. Accessed 25 Sep 2026.","WITS TRAINS reported MFN tariffs, 2023",World Bank,2026-09-25,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/410/partner/000/product/190220/year/2023/datatype/reported,,database,2026-09-25,"Six-digit simple averages of national lines; used only where no national schedule was read (Korea, Australia)."
ORG-09,"United States International Trade Commission. Harmonized Tariff Schedule REST search, 1902.20.00. Accessed 25 Sep 2026.",HTS 1902.20.00,US International Trade Commission,2026-09-25,https://hts.usitc.gov/reststop/search?keyword=1902.20,,gov/statistics,2026-09-25,General rate 6.4%; no special rate for Viet Nam.
ORG-10,"European Commission. Commission Implementing Regulation (EU) 2021/404 laying down the lists of third countries authorised for the entry into the Union of animals, germinal products and products of animal origin, Annex XV (meat products from ungulates, poultry and game birds), text as adopted (24 March 2021). Accessed 25 Sep 2026.","Implementing Regulation (EU) 2021/404, Annex XV",European Commission,2021-03-24,http://publications.europa.eu/resource/cellar/99fca4b4-91c8-11eb-b85c-01aa75ed71a1.0006.03/DOC_1,,gov/statistics,2026-09-25,"Viet Nam absent from the Annex XV list (China, Thailand, Malaysia, Singapore, Korea, Japan present). Later amendments not checked."
ORG-11,"European Commission. Commission Implementing Regulation (EU) 2021/405 laying down the lists of third countries authorised for the entry into the Union of certain products of animal origin, Annexes VIII and IX, text as adopted (24 March 2021). Accessed 25 Sep 2026.","Implementing Regulation (EU) 2021/405, Annexes VIII and IX",European Commission,2021-03-24,http://publications.europa.eu/resource/cellar/51b22c68-91c8-11eb-b85c-01aa75ed71a1.0006.03/DOC_1,,gov/statistics,2026-09-25,Viet Nam listed for fishery products and for frozen or processed bivalve molluscs.
ORG-12,"Open Food Facts. Product records (API v2) 00885584 (Marks and Spencer prawn and mangetout gyoza), 7613269260028 and 7613269260035 (Migros Anna's Best dim sum), 9349673004030 (Mr Chen's gluten free vegetable gyoza), and search-service queries for Viet Nam origin or GS1 prefix 893 with dumpling, gyoza, wonton and spring roll terms. Accessed 25 Sep 2026.","Open Food Facts product records, Viet Nam-origin wrapped foods",Open Food Facts (crowd-sourced),2026-09-25,https://world.openfoodfacts.org/api/v2/product/00885584.json,,database,2026-09-25,Crowd-sourced; ingredient percentages only where printed on the pack. The main search API returned HTTP 503.
ORG-13,"Cholimex Food JSC. He thong quan tri chat luong (Quality management system), company page. Accessed 25 Sep 2026.",Cholimex Food quality management system,Cholimex Food JSC,2026-09-25,https://cholimexfood.com.vn/gioi-thieu-chung/he-thong-quan-tri-chat-luong/,,company,2026-09-25,"Lists ISO 9001:2015, ISO 22000, BRC (v8), HACCP, halal, kosher; EU codes DL 62 and TS 1265 (frozen foods) and NM 556 (fish sauce). Makes cha gio (spring rolls)."
ORG-14,GN Foods JSC. Home page (accreditations). Accessed 25 Sep 2026.,GN Foods home page,GN Foods JSC,2026-09-25,https://gnfoods.com.vn/,,company,2026-09-25,"Lists BRCGS for Food Safety 9, ISO 22000:2018, HACCP, halal, FDA, ASC, Sedex, BAP; export frozen foods since 2009. The site also hosts unrelated gambling posts, so treat as Low."
ORG-15,"European Central Bank. Euro foreign exchange reference rates (EXR), daily USD, GBP and JPY against EUR, 24 Sep 2026. Accessed 25 Sep 2026.",ECB euro reference rates,European Central Bank,2026-09-24,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY.EUR.SP00.A?lastNObservations=1&format=csvdata,,gov/statistics,2026-09-25,"USD 1.1367 per EUR; GBP 0.85986 per EUR (USD 1.3220 per GBP, our calculation)."
ORG-16,IFS Management GmbH. IFS home page and certificate database entry point. Accessed 25 Sep 2026.,IFS certificate database,IFS Management GmbH,2026-09-25,https://www.ifs-certification.com/en/,,other,2026-09-25,Database reached only through a login portal; no country listing queried. Recorded to document the gap (BRCGS Directory is XBA-35).
