part_vi_item,field,current_text,what_rules_already_say,status,proposed_revision,rule_ids,source_ids,evidence_label,confidence,demand_evidence_type,notes
TPP-02,label_and_claims,Numeric protein claim (giàu đạm),Allowed without registration or advertising approval; conditions in TCVN 14429:2025 (voluntary): high at 10 g per 100 g or 5 g per 100 kcal; protein must be in the nutrition panel since 1 Jan 2026,not blocked; guidance exists,Specify 10 g or more per 100 g and print the number on the front; do not rely on the word alone because the per 100 kcal route lets watery foods claim high protein at 4 to 5 g per 100 g,LR-01; LR-02; LR-03; LR-06,LBL-02; LBL-03; LBL-04; REG-02; FORM-01,VN-direct,High,revealed,
TPP-02,label_and_claims,Traceable origin and verified meat-free status,"State chay inspections check hygiene, origin papers and labels; no reported meat-DNA testing",still needed (private verification or DMV-07),Keep; point to DMV-07 and third-party testing against TCVN 13625 vegan criteria,LR-12; LR-18,LBL-23; LBL-24; LBL-26; CHY-61,VN-direct,Medium,revealed,
TPP-03,label_and_claims; avoid,"Honest percentage labelling; 20 to 30% replacement in giò lụa, chả, xúc xích",No national standard sets a minimum meat content; the named meat must be quantified when the name names it; Vissan prints it on 28 of 29 meat-named formulations,not blocked; the product keeps its meat name,Add the rule and the Vissan range (27 to 65% named lean in 21 processed-meat formulations),LR-05; LR-08; LR-09; LR-10,LBL-06; LBL-09; LBL-11; LBL-12; LBL-13; BUY-05,VN-direct,High,revealed,
TPP-05,protein_target; label_and_claims,Drinks with 5 g or more per 100 ml,Vinamilk already uses Cao Đạm at 5.0 g per 100 ml; sữa đậu nành needs 2.0 g per 100 ml under TCVN 12443:2018; no rule reserves sữa for dairy,not blocked,Note the naming floor for soy and that no dairy-term restriction exists,LR-13; LR-14; LR-15; LR-02,FORM-01; FTR-06; FTR-07; FTR-19; LBL-16,VN-direct,Medium,revealed,
DMV-13,move,"Define chay, thuần chay and suitable-for-vegetarians claims by reference to TCVN 13625 and make meat-free claims enforceable","TCVN 13625:2023 already defines both claims but counts egg, milk and honey as vegetarian and ignores alliums; false claims are already unlawful under the goods-label rules",partly done; mis-specified as written,"Make TCVN 13625 vegan criteria the test for an unqualified chay or thuần chay claim, require a qualifier where egg or milk is used, leave allium-free voluntary, and fund testing (DMV-07)",LR-05; LR-12; LR-18,LBL-06; LBL-09; LBL-15; CHY-52; FORM-01,VN-direct,Medium,revealed,
DMV-14,move,Require honest percentage labelling of blended (hybrid) meat products,Already required whenever the meat or the extender is named in the product name,largely done,"Narrow to generic names (giò lụa, xúc xích, hotdog) through a voluntary industry code or a guidance note",LR-05,LBL-06; LBL-09; BUY-05,VN-direct,High,revealed,
DMV-15,move,Neutral naming guidance for new foods that avoids nhân tạo,"No rule reserves thịt, sữa or phô mai; names must only not mislead; market practice uses meat words with chay; a national standard is titled Sữa đậu nành; the only state use found is thịt nhân tạo for cultivated meat in a provincial biotech scheme","still needed, but reframed",Defend the permissive regime in the new law's decree and aim vocabulary guidance at state documents and media,LR-05; LR-13; LR-14; LR-15; LR-20,LBL-06; LBL-09; LBL-16; LBL-20; LBL-21; FTR-06; FTR-07; BUY-05,VN-direct,Medium,revealed,
DMV-16,move,Clarify whether purified precision-fermented proteins need a GMO declaration,GM label only above 5% of ingredients and not when neither gene nor gene product is detectable; lactoferrin is used at about 0.08% of a formula,narrowed,"Ask only whether a recombinant protein identical to a native protein is a detectable product of the modified gene, and whether non-GMO claims remain lawful",LR-06; LR-07,REG-02; LBL-10; LBL-25,VN-direct,Medium,revealed,
PO-024,policy option (app-g),Short rule on names for plant-based and fermentation analogues (qualifier required),"Practice already uses qualifiers; a new rule would codify, and risks restriction",low value,Drop the naming half or recast as guidance; keep the allergen half,LR-05,LBL-06; LBL-09; BUY-05,VN-direct,Medium,revealed,
ch24.2,finding,GMO collision with buyers' non-GMO promise,Mandatory label bites only above 5% inclusion,narrowed,Limit the collision to high-inclusion uses and voluntary non-GMO claims,LR-06; LR-07,REG-02; LBL-10; LBL-25; NOV-62,VN-direct,Medium,inferred,
OQ-171,open question,Protein in chay foods: labels sparse and unverified,Protein on every non-exempt pre-packaged label since 1 Jan 2026,cheaper to close,Label audit for packaged products; lab tests for exempt market products,LR-01,LBL-01; LBL-02,VN-direct,High,revealed,
OQ-201; OQ-240,open question,GMO label for precision-fermented proteins,5% threshold and detectability exemption found,narrowed,Rewrite as the detectability question,LR-06; LR-07,REG-02; LBL-10,VN-direct,Medium,revealed,
