record_id,record_type,subject,metric,value,unit,year,scope,source_ids,evidence_label,confidence,demand_evidence_type,notes
FSV-001,market,foodservice,value_sales,26.6,USD billion,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,Euromonitor; up 7%
FSV-002,market,foodservice,outlets,323000,outlets,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,Euromonitor
FSV-003,market,full_service_restaurants,value_sales,18.3,USD billion,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,"69% of sales; over 121,800 outlets"
FSV-004,market,full_service_restaurants,outlets,121800,outlets,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,
FSV-005,market,cafes_and_bars,share_of_sales,18,percent,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,"over 38,000 outlets"
FSV-006,market,street_stalls_and_kiosks,share_of_sales,10,percent,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,"nearly 152,000 outlets"
FSV-007,market,street_stalls_and_kiosks,outlets,152000,outlets,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,
FSV-008,market,limited_service_restaurants,share_of_sales,3,percent,2024,Vietnam,CHN-03,VN-direct,Medium,revealed,"about 11,000 outlets"
FSV-009,market,street_stalls_and_kiosks,sales_per_outlet,17500,USD per outlet per year,2024,Vietnam,CHN-03,VN-direct,Low,inferred,"our calculation: 10% of USD 26.6 bn / 152,000"
FSV-010,market,full_service_restaurants,sales_per_outlet,150000,USD per outlet per year,2024,Vietnam,CHN-03,VN-direct,Low,inferred,our calculation
FSV-011,market,accommodation_and_catering_gso,revenue,733920,VND billion,2024,Vietnam,CHN-06,VN-direct,Medium,revealed,GSO via Q&Me; up 12.9%; includes accommodation
FSV-012,market,accommodation_and_catering_nso,revenue,843100,VND billion,2025,Vietnam,CHN-43,VN-direct,High,revealed,NSO via VietnamPlus; up 14.6%; about USD 32 bn
FSV-013,market,foodservice_operators,closures_h1,50000,"operators, lower bound",2025,Vietnam,CHN-03,VN-direct,Low,revealed,iPOS and Nestle Professional; down 7.1% year on year
FSV-014,market,foodservice_operators,count_mid_2024,304700,operators,2024,Vietnam,CHN-04,VN-direct,Low,revealed,"iPOS; after over 30,000 closures in H1 2024"
FSV-015,market,food_delivery,spending,1.4,USD billion,2023,Vietnam,CHN-04,VN-direct,Low,revealed,Momentum Works
FSV-016,chain_outlets,Lotteria,outlets,222,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,direct meat importer (CHN-03)
FSV-017,chain_outlets,Jollibee,outlets,213,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,200 at end-2024; sales up 35% Q2 2025 (CHN-03)
FSV-018,chain_outlets,KFC,outlets,172,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,GAIN 2024 says over 200 (CHN-04); disagreement
FSV-019,chain_outlets,Pizza Hut,outlets,118,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-020,chain_outlets,The Pizza Company,outlets,74,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-021,chain_outlets,Domino's Pizza,outlets,59,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-022,chain_outlets,Popeyes,outlets,59,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-023,chain_outlets,Texas Chicken,outlets,42,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-024,chain_outlets,McDonald's,outlets,37,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,closed stores in 2024 (CHN-04)
FSV-025,chain_outlets,Burger King,outlets,11,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,closed stores in 2024 (CHN-04)
FSV-026,chain_outlets,fast_food_total_enumerated,outlets,1022,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-027,chain_outlets,Highlands Coffee,outlets,855,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,up 11%
FSV-028,chain_outlets,Phuc Long,outlets,237,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,up 50%; Masan
