sku_id,date,city,store,channel_type,product_name,brand_raw,brand,origin_raw,category_raw,format_raw,product_type,as_sold_form,formulation_archetype,primary_protein_source,secondary_protein_sources,non_vegan_flag,key_ingredients,protein_g_per_100,protein_unit,protein_value_basis,energy_kcal_per_100,fat_g_per_100,carbs_g_per_100,sodium_mg_per_100,price_vnd,pack_size,pack_unit,price_per_100g_vnd,price_per_100g_protein_vnd,price_confidence,conv_equiv_price_per_100g_vnd,chay_vs_conv_price_diff_pct,likely_imported_protein_ingredient,brand_owner,ownership_country,manufacturer,plant_location,product_group,data_confidence,source_ids,evidence_label,confidence,notes,field_notes_original
P001,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Cơm Chiên Chay Gạo Lứt (brown-rice vegetarian fried rice),SG Food,SG Food,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Ready-meal / fried rice,ready meal,ready-to-eat,A15,none (brown rice 60%),"vegan fish ball 2.8%, vegan sausage 2% (composition not stated); mushroom",,"Brown rice 60% (brown rice, water), vegetable oil, mixed vegetables, king oyster mushroom, vegan fish ball 2.8%, vegan pork sausage 2%, vegetarian seasoning, leek, shiitake, sugar, flavour enhancer E621, iodized salt, sesame oil and pepper",,per 100 g,field log (label or collector OSINT),,,,,31900.0,200.0,g,15950.0,,High,,,N,"Saigon Food JSC (Công ty CP Sài Gòn Food), tax code 0302994301",Vietnam (shareholders not verified),Saigon Food JSC,"Ho Chi Minh City, Vĩnh Lộc Industrial Park, Vĩnh Lộc commune (former Bình Chánh district)",SGF-comchien,Medium,FORM-01; FORM-31; FORM-32,[VN-direct],Medium,,"Frozen ready-meal format, not a meat analog per se. Brand confirmed via OSINT: Sài Gòn Food (est. 2003, major frozen-food/prepared-meal producer, ~2,000 staff, supplies 7-Eleven VN's fresh-food line). No published ingredients/nutrition found for this specific SKU. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://aeoneshop.com/product/24978/sai-gon-food-com-chien-chay-gao-lut-200g."
P002,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Lẩu Thái Chay (vegan Thai hotpot kit),SG Food,SG Food,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Hotpot kit,ready meal,ready-to-cook,A3,"soy protein/TVP (analog pieces, inferred)","fried tofu; analog pieces 50% (bò lát chay, chả lụa chay, bò viên chay; composition not stated)",,"Thực phẩm chay (50%): bóng cá chay, bò lát chay, chả lụa chay, đậu hủ chiên, bò viên chay. Gói nước dùng lẩu (29%): nước, me, đường, hạt nêm chay, sả, dầu thực vật, hành, ớt, muối i-ốt, củ riềng, bắp, thơm, cà rốt.",,per 100 g,field log (label or collector OSINT),,,,,72900.0,500.0,g,14580.0,,Low,12300.0,18.5,Y,"Saigon Food JSC (Công ty CP Sài Gòn Food), tax code 0302994301",Vietnam (shareholders not verified),Saigon Food JSC,"Ho Chi Minh City, Vĩnh Lộc Industrial Park, Vĩnh Lộc commune (former Bình Chánh district)",SGF-lauthai,Medium,FORM-01; FORM-31; FORM-02; FORM-03; FORM-05; FORM-07,[VN-direct],Medium,Protein source inferred: analog pieces 50% of kit; composition not on label.,"OSINT flag: Lotte Mart's own e-commerce listing prices this exact SKU at 62,900đ, ~16% below the 72,900đ read off the shelf tag — verify against the photo. Conv. equivalent = SG Food's own seafood ""Lẩu Thái Chua Cay Deli"" 500g, 61,500đ (Lotte Mart online). No numeric nutrition table found for the chay version."
P003,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Quế Chay (vegetarian cinnamon-roll sausage),P.G.P,P.G.P,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Sausage/cured-meat analog,frozen meat/seafood analog,ready-to-eat,A0,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,75900.0,500.0,g,15180.0,,High,,,unknown,Not identified,Vietnam (per log),Not verified,Not verified,PGP-chaque,Low,FORM-01,[VN-direct],Low,Brand not identified; no ingredients.,"OSINT: could not identify ""P.G.P"" as a registered brand online — no ingredients or nutrition found as a result."
P004,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Cá Chay (vegetarian fish-cake analog),P.G.P,P.G.P,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Fish-cake analog,frozen meat/seafood analog,ready-to-eat,A0,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,75900.0,500.0,g,15180.0,,High,,,unknown,Not identified,Vietnam (per log),Not verified,Not verified,PGP-chaca,Low,FORM-01,[VN-direct],Low,Brand not identified; no ingredients.,Same brand-identification caveat as the row above.
P005,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Lụa Chay (vegetarian Vietnamese ham/pâté),brand tag not fully legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Ham/pâté analog,frozen meat/seafood analog,ready-to-eat,A0,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,52900.0,500.0,g,10580.0,,Low,21980.0,-51.9,unknown,n/a,n/a,Not verified,Not verified,UNB-chalua-LM,Low,FORM-01,[VN-direct],Low,Brand illegible; no ingredients.,"VERIFY: brand name partly cut off in photo — no ingredients/nutrition found without a confirmed brand. Conv. equivalent = Vissan Giò Lụa (conventional pork) 500g, 109,900đ (Lotte Mart online)."
P006,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Giò Thủ Chay (vegetarian head-cheese roll),brand not legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Cured-meat roll analog,frozen meat/seafood analog,ready-to-eat,A0,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,45900.0,500.0,g,9180.0,,Low,17380.0,-47.2,unknown,n/a,n/a,Not verified,Not verified,UNB-giothu-LM,Low,FORM-01,[VN-direct],Low,Brand illegible; no ingredients.,"VERIFY: price tag was in a cluster of similar items; package size assumed 500g. Conv. equivalent = Vissan Giò Thủ (conventional) 500g, 86,900đ (Lotte Mart online)."
P007,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Giò Chay (vegetarian spring rolls),Choice L (Lotte Mart private label),Choice L,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,46900.0,400.0,g,11725.0,,Low,,,unknown,"Lotte Mart Vietnam (Lotte Group, South Korea) private label",South Korea,Not disclosed,Not disclosed,CHL-chagio,Low,FORM-01,[VN-direct],Low,Private label; ingredients not published. Archetype assumed from category.,VERIFY: two Choice L pack sizes on this shelf (400g/500g) with two price points. No published ingredients/nutrition found for Choice L's chả giò chay specifically.
P008,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,"Chả Giò Chay (vegetarian spring rolls, larger pack)",Choice L (Lotte Mart private label),Choice L,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,53900.0,500.0,g,10780.0,,Low,,,unknown,"Lotte Mart Vietnam (Lotte Group, South Korea) private label",South Korea,Not disclosed,Not disclosed,CHL-chagio,Low,FORM-01,[VN-direct],Low,Private label; ingredients not published. Archetype assumed from category.,VERIFY: see note on row above.
P009,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Hà Cảo Chay (vegetarian dumplings/gyoza),Choice L (Lotte Mart private label),Choice L,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,53900.0,500.0,g,10780.0,,High,,,unknown,"Lotte Mart Vietnam (Lotte Group, South Korea) private label",South Korea,Not disclosed,Not disclosed,CHL-hacao,Low,FORM-01,[VN-direct],Low,Private label; ingredients not published.,"""Chỉ Có Tại Lotte Mart"" badge displayed on this shelf. No published ingredients/nutrition found."
P010,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Giò Xốp Chay (crispy vegetarian spring rolls),Cầu Tre (CJ Cầu Tre) — reasonably confident,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Crispy spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,none,,"Bánh tráng, củ sắn, khoai môn, đậu xanh, bún tàu, nấm mèo, đường, muối, chất điều vị, tiêu (Cầu Tre's standard chả giò chay line — brand ID on this exact shelf SKU still a best guess).",,per 100 g,field log (label or collector OSINT),,,,,51900.0,500.0,g,10380.0,,Low,10800.0,-3.9,N,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-std,Medium,FORM-01,[VN-direct],Medium,Brand best guess (Cầu Tre); ingredients are the brand standard line.,"VERIFY exact price: sat in a 39,900-65,900đ cluster; used the mid-point. Lotte Mart's own online listing for ""Chả Giò Chay CJ Cầu Tre 500G"" prices it at 44,900đ — likely closer to true. Conv. equivalent = Chả Giò Thịt Cầu Tre 500g, 54,000đ (Lotte Mart online). No numeric nutrition table published."
