record_id,platform,item_id,search_query,category,subcategory,plant_or_animal,product_name_vi,product_name_en,brand,seller_name,seller_type,official_or_mall_badge,qty_per_sold_unit_l_or_kg,listed_price_vnd,vnd_per_l_or_kg,units_sold_counter,counter_precision,rating,review_count,protein_claim,protein_g_per_100,protein_basis,vnd_per_20g_protein,volume_sold_l_or_kg,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
MKT-L01,Lazada,1832901640,sữa hạt,plant milk,"nut and seed milk, standard",plant,Thùng 24 hộp Sữa hạt 9 loại hạt Vinamilk ít đường - hộp 180ml,"Vinamilk 9-nut milk, reduced sugar, 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,4.32,285768,66150,88800,"rounded to nearest 100 above 1,000 (displayed 88.8K)",5.0,26795,no,1.5,"1.5 g in the nutrition panel on the Tiki product page; basis not printed, read as per 100 ml (energy 71.5 kcal fits per 100 ml)",88200,383616.0,https://www.lazada.vn/products/pdp-i1832901640.html,MKT-03; MKT-06,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest plant-milk counter read.
MKT-L02,Lazada,1893855150,sữa hạt,plant milk,"nut and seed milk, standard",plant,Combo 2 Thùng Sữa 9 loại hạt Vinamilk 180ml 24 hộp/thùng,"Vinamilk 9-nut milk, two cases of 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,571536,66150,20300,"rounded to nearest 100 above 1,000 (displayed 20.3K)",5.0,6881,no,1.5,"1.5 g in the nutrition panel on the Tiki product page; basis not printed, read as per 100 ml (energy 71.5 kcal fits per 100 ml)",88200,175392.0,https://www.lazada.vn/products/pdp-i1893855150.html,MKT-03; MKT-06,VN-direct,Low,revealed,Cumulative counter; start date not shown. Sugar level not in the name.
MKT-L03,Lazada,2896758517,sữa hạt,plant milk,"nut and seed milk, standard",plant,Thùng 24 hộp 180ml Sữa 9 loại hạt Không Đường Vinamilk,"Vinamilk 9-nut milk, unsweetened, 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,4.32,285768,66150,4200,"rounded to nearest 100 above 1,000 (displayed 4.2K)",5.0,1073,no,1.5,"1.5 g in the nutrition panel on the Tiki product page; basis not printed, read as per 100 ml (energy 71.5 kcal fits per 100 ml)",88200,18144.0,https://www.lazada.vn/products/pdp-i2896758517.html,MKT-03; MKT-06,VN-direct,Low,revealed,Cumulative counter; start date not shown. Protein of the unsweetened version assumed equal to the reduced-sugar panel.
MKT-L04,Lazada,2656628019,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp sữa hạt Cao Đạm ít đường Vinamilk - hộp 180ml,"Vinamilk high-protein nut milk, reduced sugar, 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,4.32,354352,82026,12300,"rounded to nearest 100 above 1,000 (displayed 12.3K)",5.0,4165,yes: Cao Dam in name; 9 g protein per 180 ml on page,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,32810,53136.0,https://www.lazada.vn/products/pdp-i2656628019.html,MKT-03; MKT-04; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Protein mainly from pea (Tiki description, MKT-06); no soy, no lactose."
MKT-L05,Lazada,3032304321,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp sữa hạt Cao Đạm không đường Vinamilk - hộp 180ml,"Vinamilk high-protein nut milk, unsweetened, 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,4.32,354352,82026,3400,"rounded to nearest 100 above 1,000 (displayed 3.4K)",4.9,745,yes: Cao Dam in name,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,32810,14688.0,https://www.lazada.vn/products/pdp-i3032304321.html,MKT-03; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L06,Lazada,2841617062,sữa hạt cao đạm,plant milk,"nut and seed milk, high protein",plant,Thùng 24 hộp sữa hạt Cao Đạm ít đường Vinamilk - hộp 240ml,"Vinamilk high-protein nut milk, reduced sugar, 24 x 240 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,5.76,499141,86656,429,exact as displayed,4.9,130,yes: Cao Dam in name,5.0,9 g per 180 ml on the Lazada product page (MKT-04); same as BUY-16 and FORM-01,34663,2471.0,https://www.lazada.vn/products/pdp-i2841617062.html,MKT-03; MKT-04; BUY-16; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L07,Lazada,1483327243,sữa hạt,plant milk,"nut and seed milk, standard",plant,Sữa Hạt Óc Chó Hạnh Nhân Đậu Đen Hàn Quốc - Sữa sahmyook 24 Hộp,"Sahmyook walnut, almond and black bean milk (Korea), 24 boxes",Sahmyook Foods,VITAMIN_SHOP,third-party shop,no,,244838,,4600,"rounded to nearest 100 above 1,000 (displayed 4.6K)",4.9,1119,no,,,,,https://www.lazada.vn/products/pdp-i1483327243.html,MKT-03,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Box size not in the name, so no litres."
MKT-L08,Lazada,371920151,sữa hạt,plant milk,"nut and seed milk, standard",plant,Thùng 24 Hộp Sữa Hạt Óc Chó Hạnh Nhân Đậu Đen Hiệu SAHMYOOK Korea,"Sahmyook walnut, almond and black bean milk (Korea), 24 boxes",Sahmyook Foods,SUAHANQUOC,third-party shop,no,,239280,,3500,"rounded to nearest 100 above 1,000 (displayed 3.5K)",4.9,804,no,,,,,https://www.lazada.vn/products/pdp-i371920151.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Box size not in the name.
MKT-L09,Lazada,2843570444,sữa đậu nành giàu đạm,plant milk,"nut and seed milk, standard",plant,Sữa Hạnh Nhân 137 Degrees 1L Nguyên Chất Có Vị,137 Degrees almond milk (Thailand) 1 L,137 Degrees,Sữa Hạt 137 Degrees,brand official store (LazMall badge),yes,1.0,149000,149000,708,exact as displayed,5.0,71,no,,,,708.0,https://www.lazada.vn/products/pdp-i2843570444.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L10,Lazada,2891350339,sữa yến mạch,plant milk,oat milk,plant,Sữa yến mạch OATSIDE vị nguyên bản Barista Blend 1L x 6,"Oatside Barista Blend oat milk, 6 x 1 L",OATSIDE,OATSIDE,brand official store (LazMall badge),yes,6.0,269000,44833,2600,"rounded to nearest 100 above 1,000 (displayed 2.6K)",5.0,724,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,81515 to 128095,15600.0,https://www.lazada.vn/products/pdp-i2891350339.html,MKT-03; FORM-01,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Barista (coffee) version is the oat best seller, as in the kitchen channel (ECR-06)."
