where,current,proposed,evidence_source_ids,strength,type
ch21.2 second paragraph; key-numbers.json kn-stunting,"Stunting 19.6% (2020), above 30% in the worst upland provinces; ""too little high-quality protein at very low cost in poor upland districts""","Stunting 18% (2023), 32% among ethnic minority children; for school-age children the gap is zinc and iron more than protein (lunches carry about 31.8 g against 32 to 49 g a day; zinc deficiency 53.3% of 6 to 59 month olds in 2020; the zinc requirement doubles from 5.6 to 11.2 mg at age 6 to 7 with little animal protein); stunting is largely set before age two",APR-27; APR-42; PMR-26; NQR-01; APR-04; NQR-28; NQR-29,strong,corrects
ch21.8 Nutrition bullet,"""For children in stunting hotspots, the need is cheap, high-quality protein through institutional meals""","School-age: cheap zinc and iron in familiar dishes; a plant dish replacing meat must be zinc-fortified and low in sodium. Under two: young-child DIAAS pattern, fortification, registration for foods for children under 36 months, competition with fortified cereal and milk products",APR-04; NQR-05; NQR-04; NQR-22; NQR-28; NQR-31,strong,corrects
ch21.8 For each reader: research bodies,Measure protein per serving; publish a current food composition table,"Add phytate, zinc and DIAAS (both patterns) of tofu, textured soy and blended minced dishes; add textured soy to the table menu software uses",NQR-05; NQR-19; APR-04; DIE-12,moderate,adds
ch21.8 For each reader: policy makers,Align label claims and school-meal guidance with the 2026 recommendations,State zinc and iron per lunch by absorption band and sodium per lunch in menu software; note Decree 09/2016 reaches no soy product,APR-04; NQR-02; NQR-01,moderate,adds
"ch21.8 For each reader: international organisations; brief-international ""Separate two protein problems""","Separate urban ""too much meat"" from upland ""too little quality protein""","Within the upland problem, separate school-age children (zinc and iron; fund a 4 to 5 month trial of a zinc-fortified soy or blended school dish on NIN 2009 design) from children under two (complementary-food standards; plant products face the young-child pattern, registration and evidence favouring milk or fortified blends)",NQR-22; NQR-23; NQR-24; NQR-26; NQR-28; NQR-30; NQR-31; APR-27,moderate,corrects
ch29.2 TPP-04 row; target_product_profiles.csv TPP-04,"About 20 g of protein per dish; avoid ""School meals first""",Add a school variant: 10 to 15 g protein per child serving; DIAAS at least 75 (young-child pattern) or a meat blend; at most 300 mg sodium per serving; 3 to 5 mg added zinc if replacing meat or fish; no children or health claims,NQR-01; PMR-26; APR-04; FORM-01; NQR-04,moderate,updates
target_product_profiles.csv new TPP-11; ch29.2 table,none,"Zinc-fortified soy protein dish base for public meals: buyers multi-school caterers, Decree 339 border-commune kitchens, NIN or UNICEF pilots; price below VND 2,100 per 20 g-protein serving including fortificant; spec in data_product_spec.csv; first test a 4 to 5 month school trial of serum zinc, haemoglobin and plate waste",NQR-22; APR-09; APR-04; CPC-12; COST-41,moderate,adds
target_product_profiles.csv TPP-03; hybrid text in ch24 or ch26,No nutrition assessment,A 20 to 30% soy extender keeps dish DIAAS at 97 or more (older-child pattern) and zinc 12 to 19% below all-pork; no nutrition objection to school use in minced dishes,NQR-05; NQR-07; NQR-08; APR-04,moderate,strengthens
brief-research Research questions item 1,"DIAAS dataset for mung bean, rice, spirulina, catfish side-stream isolates, spent yeast","Add tofu, textured soy and blended minced dishes on both patterns with phytate and zinc; add the question of a zinc-fortified textured-soy school dish",NQR-05; NQR-22; NQR-32,moderate,updates
ch12 PO-027; brief-international entry point 3; brief-research public goods,Amino-acid and DIAAS testing at a national reference laboratory,"Add phytate, zinc and iron analysis (phytate-to-mineral molar ratios) to the laboratory scope",NQR-16; NQR-20; APR-04,weak,updates
app-j J.3 table,"Four ingredients (soy isolate, pea, brown rice, mung bean)","Add tofu 64 to 98, soy milk 91 to 99, extruded soy 65 to 97, soy analogue 110 (in vitro), wheat-based sausage 33, pork 113 to 137, chicken 123 (in vitro), eggs above 100, milk 123 to 143, mycoprotein PDCAAS 0.996, and the blend floor",NQR-05; NQR-06; NQR-07; NQR-08; NQR-09; NQR-10; NQR-11; NQR-14,moderate,adds
demand_moves.csv DMV-17 (as revised by wave 7 L1),"Replace the software 48% animal-protein default with protein-quality, zinc and iron targets","Specify: zinc and iron per lunch by absorption band (Decision 3958 Appendices 4 and 5), sodium per lunch (2026 limits), textured soy entries with phytate data in the software food list",APR-04; NQR-01; PMR-26,moderate,adds
ch05 or app-g rules text,No fortification rule noted for protein products,"Decree 09/2016 (in force) mandates iodised salt, iron and zinc in wheat flour used in processing and vitamin A in oil; no protein food is a vehicle; fortified foods self-declare unless special-diet foods or for children up to 36 months, which register (Decree 15/2018)",NQR-02; NQR-03; NQR-04,moderate,adds
open_questions.csv OQ-160,Open,"Partly answered: border-commune lunch money VND 20,455 to 22,500 a school day for non-rice food; cost per 25 g of quality-adjusted protein and per lunch zinc share tabulated; upland menus still open",APR-09; NQR-01; APR-04,moderate,updates
ch29.5 What not to do,No nutrition item,"Do not pitch ""more protein"" to schools or claim a plant product closes the stunting gap; pitch zinc per VND in familiar dishes and low sodium",APR-04; PMR-26; NQR-26; FORM-01,moderate,adds
