line_t_per_h,utilisation,output_t_per_year,cost_case,installed_capex_usd,working_capital_usd_at_parity,price_pref0_usd_per_t,full_cost_pref0_usd_per_t,gross_margin_pref0,operating_margin_pref0,payback_years_pref0,price_mfn_usd_per_t,full_cost_mfn_usd_per_t,gross_margin_mfn,operating_margin_mfn,payback_years_mfn,operating_margin_vs_india_price,breakeven_flour_usd_per_t_for_15pct_margin_pref0,breakeven_flour_usd_per_t_for_15pct_margin_mfn,source_ids,evidence_label,confidence,demand_evidence_type,notes
0.5,0.5,2000,low,276000.0,721000.0,1289,858,0.47,0.33,1.0,1443,861,0.52,0.4,0.8,0.21,858,982,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
0.5,0.5,2000,high,1006000.0,962000.0,1289,1573,0.15,-0.22,no payback,1443,1578,0.24,-0.09,over 20,-0.46,479,597,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
0.5,0.7,2800,low,276000.0,1010000.0,1289,816,0.47,0.37,0.8,1443,819,0.52,0.43,0.7,0.24,898,1022,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
0.5,0.7,2800,high,1006000.0,1346000.0,1289,1450,0.15,-0.13,no payback,1443,1455,0.24,-0.01,8.4,-0.34,594,711,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
0.5,0.9,3600,low,276000.0,1298000.0,1289,793,0.47,0.38,0.8,1443,796,0.52,0.45,0.6,0.27,921,1045,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
0.5,0.9,3600,high,1006000.0,1731000.0,1289,1382,0.15,-0.07,over 20,1443,1387,0.24,0.04,4.9,-0.28,658,775,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.5,4000,low,316000.0,1443000.0,1289,800,0.47,0.38,0.8,1443,803,0.52,0.44,0.6,0.26,915,1038,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.5,4000,high,1380000.0,1924000.0,1289,1414,0.15,-0.1,no payback,1443,1419,0.24,0.02,6.2,-0.31,628,745,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.7,5600,low,316000.0,2020000.0,1289,774,0.47,0.4,0.7,1443,778,0.52,0.46,0.6,0.28,939,1063,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.7,5600,high,1380000.0,2693000.0,1289,1337,0.15,-0.04,17.1,1443,1342,0.24,0.07,3.8,-0.24,700,817,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.9,7200,low,316000.0,2597000.0,1289,761,0.47,0.41,0.7,1443,764,0.52,0.47,0.6,0.3,952,1076,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
1.0,0.9,7200,high,1380000.0,3462000.0,1289,1294,0.15,0.0,8.5,1443,1299,0.24,0.1,3.0,-0.2,740,857,TIC-12; BUY-02; REG2-20; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,our calculation; pre-tax; payback = (installed capex + working capital) / EBITDA; margins on full cost including capital charge and working-capital interest
