record_id,buyer,list_or_register,coverage,as_of,entries_listed,countries_found,vietnam_sites_found,asian_sites_found,plant_based_makers_named,readable,source_ids,evidence_label,confidence,demand_evidence_type,notes
SLC-01,Lidl (international purchasing),Supplier list: Food (PDF),Food suppliers with deliveries between 1 January and 31 December 2025,2025,751,Germany 374; Italy 79; Netherlands 58; Spain 38; France 37; Belgium 27; Poland 23; Denmark 19; Austria 16; UK 14; Greece 13; others European; UAE 1; Egypt 1; Turkey 1,0,0,Vivera (Holten); Hilcona (Schaan); Biovegan,yes,XBA-07,general,High,revealed,"Asian foods enter through European importers and traders on the list, e.g. Thai Union Trading Europe (Utrecht) and Kreyenhop and Kluge (Oyten; role as Asian-food importer not verified because its website did not load). Supplier (contract holder) list, not a factory list."
SLC-02,Lidl GB,"Tier one food, fruit and vegetables suppliers (PDF)",National suppliers; consenting suppliers only,2026-04-01,390,"Great Britain 370; Ireland 7; Netherlands 4; Germany 2; one each Switzerland, Belgium, South Africa, France, Canada, Jersey, Poland",0,0,none identified,yes,XBA-06,general,High,revealed,
SLC-03,Sainsbury's,"Tier 1 supplier lists for food, general merchandise and clothing on Open Supply Hub",All own-brand tier 1 sites,2025/26,"603 food suppliers; 1,103 food sites","Top five food countries by sites: UK, Spain, France, Italy, Netherlands; 61 sourcing countries overall",not determinable,not determinable,not determinable,no (Open Supply Hub requires authentication),XBA-10,general,High,revealed,Cheapest follow-up: a free Open Supply Hub account.
SLC-04,Marks and Spencer,Food tier 1 production sites on Open Supply Hub (contributor 10061),100% of first-tier food production sites,current,not read,not read,not determinable,not determinable,not determinable,no (Open Supply Hub requires authentication),XBA-16,general,High,revealed,
SLC-05,Tesco,Reporting hub lists (textile factories; palm oil and soy mapping),No food site list found,2026,n/a,n/a,not determinable,not determinable,n/a,no (content rendered by script),XBA-34,general,Low,n/a,
SLC-06,ALDI SUD group,Supply chain page,No food supplier or facility list linked,2026,n/a,n/a,not determinable,not determinable,n/a,partly,XBA-15,general,Medium,n/a,Aldi UK site returned 403.
SLC-07,Carrefour,Universal Registration Document 2025,No food factory list; certification shares only,2025,n/a,n/a,not determinable,not determinable,17 manufacturer partners in a plant-based coalition (not named),yes,XBA-11,general,High,revealed,74.8% of Carrefour-brand plants IFS or BRC certified; 7.3% audited by Carrefour.
SLC-08,Ahold Delhaize and Albert Heijn,Annual Report 2025 sustainability statements,No own-brand food production-site list found,2025,n/a,n/a,not determinable,not determinable,n/a,partly (ah.nl returned 403),XBA-01,general,Medium,n/a,
SLC-09,Coles (Australia),Country-of-origin statements on product pages (mandatory in Australia),Four products read before a bot check,2026-09-25,4,Vietnam 1 (Mr Chen's Prawn Hargow); Australia 2 (Bibigo vegetable dumplings; Vegie Delights); South Korea 1 (Bibigo kimchi dumplings),1 (seafood dumpling co-packed for an Australian brand),1,n/a,partly,XBA-25,VN-direct,High,revealed,Coles private-label vegetable gyoza and spring rolls not read.
SLC-10,Certification registers (BRCGS Directory; IFS database),Public directories of certified sites,Would show Vietnamese food sites holding BRCGS or IFS Food,2026-09-25,not read,n/a,not determinable,n/a,n/a,no (BRCGS Directory is a script application with login; IFS search page not reached),XBA-35,general,Low,n/a,Open question.
