maker,city_province,models,product_type,capacity_kg_per_h,installed_power_kw,consumed_power_kw,line_includes,listed_price_usd_low,listed_price_usd_high,price_basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
Jinan Dayi Extrusion Machinery,"Jinan, Shandong",SLG115,"dry TVP, single screw",600 to 800,160,not stated,flour mixer; single-screw extruder; cooling vibrator; recycling dryer,30000,30000,"marketplace listing, USD per set, MOQ 1, accessed 2026-09-25",TIC-05,general,Low,revealed,Company says it can make about 200 lines a month; one-year warranty; technicians for installation and training
Jinan Saibainuo Machinery,"Jinan, Shandong",SLG65; SLG85; SLG95,"dry TVP, twin screw","260; 500; 1,000",76; 178; 280,not stated,flour mixer; screw conveyor; twin-screw extruder; air conveyor; dryer; cooling conveyor; packing machine,30000,80000,"marketplace listing, USD per set, range across models",TIC-03; TIC-11,general,Low,revealed,Two-year warranty; engineers fly abroad to install; lead time 15 working days to one month; company profile lists Vietnam among export destinations (all product lines)
Jinan Sunward Machinery,"Jinan, Shandong",TSE65-S; TSE85-S; TSE90-S; TSE95-S,"dry TVP, twin screw","200 to 250; 450 to 600; 800 to 1,200; 1,000 to 1,500",105; 210; 140; 165,75; 140; 110; 120,"raw material treatment; extrusion; drying (electric, gas, oil or steam); control",11000,100000,"marketplace listing, USD per set, range across models",TIC-02,general,Low,revealed,Raw material stated as low-temperature soy flakes; one-year warranty; overseas service engineers
Shandong Joyang Machinery,Shandong,JY-65; JY-75; JY-95,"dry TVP, twin screw","200 to 260; 400 to 500; 800 to 1,000",115; 152; 193,not stated,mixer; screw conveyor; twin-screw extruder; air conveyor; dryer; cooling machine,12000,27000,"marketplace listing, USD per piece, range across models",TIC-07,general,Low,revealed,"Line lengths 15, 26 and 29 m; 1 to 2 engineers sent for installation, commissioning and training; inputs: low-temperature defatted soy flour, peanut meal, gluten, isolate, pea protein"
Shandong Joyang Machinery,Shandong,JY65-IV; JY85-III,dry TVP complete line,200 to 260; 500 to 600,105; 150,70; 110,extruder; texturising; dryer; optional packing machine,32000,85000,"marketplace listing, USD per set, range across models",TIC-10,general,Low,revealed,Line lengths 13 and 18 m; installation and training provided; lead time 15 working days to one month
Jinan Chenyang Technology,"Jinan, Shandong",SR65; SR75,"dry TVP, twin screw",150 to 200; 300 to 400,45; 75,not stated,twin-screw extruder with feeder and preconditioner; cutter; optional dryer,8000,36900,"marketplace listing, USD per set, range across models",TIC-08,general,Low,revealed,2 operators stated; installation 7 to 14 days; lead time one month; 30% deposit
Jinan Sunpring Machinery and Equipment,"Jinan, Shandong",not stated,"dry TVP and high moisture, twin screw","240 to 2,000",not stated,not stated,not itemised,8000,26000,"marketplace listing, USD per set; price negotiable",TIC-06,general,Low,revealed,"Raw material defatted soy flour; a separate high-moisture listing is USD 15,000 to 56,000 (TIC-09)"
Shandong Light M and E,"Jinan, Shandong",ETT65; ETT78; ETT98,dry TVP,120 to 150; 200 to 250; 300 to 400,not stated,not stated,mixing; extrusion; cutting; drying,42000,42000,"marketplace listing, USD per set",TIC-04,general,Low,revealed,"Gas-fired option; Siemens (China) main motor; shipped gross weight 1,500 kg"
Shandong Arrow Machinery,Shandong,AHT36; AHT50; AHT62; AHT72,high-moisture meat analogue (wet),10 to 30; 80 to 150; 200 to 300; 500 to 600,18.5; 55; 90; 110 (motor),not stated,flour preparation and dosing; twin-screw extruder; cooling die,88000,90000,"marketplace listing, USD per set",TIC-09,general,Low,revealed,"Wet product needs chilling or freezing, which Part VI does not rank as the first demand"
Twelve Shandong listings (search page),Shandong,various,dry TVP,not stated,not stated,not stated,various,7000,100000,"marketplace search results, USD per set or piece",TIC-01,general,Low,revealed,"All twelve listed makers are in Shandong, most in Jinan"
