record_id,hs_code,product,reporter,year,flow,partner,value_usd_million,net_weight_t,source_ids,evidence_label,confidence,demand_evidence_type,notes
WFT-001,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2024,import,Vietnam,12.53,1978,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-002,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2024,import,Thailand,4.49,566,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-003,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2024,import,China,18.30,6470,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-004,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2025,import,Vietnam,15.53,2548,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-005,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2025,import,Thailand,3.51,397,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-006,190220,"Stuffed pasta (dumplings, wontons and similar)",Japan,2025,import,China,19.92,7047,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-007,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2024,import,Vietnam,18.69,2588,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-008,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2024,import,Thailand,2.54,276,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-009,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2024,import,China,1.73,588,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-010,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2025,import,Vietnam,13.34,1839,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-011,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2025,import,Thailand,2.11,240,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-012,190220,"Stuffed pasta (dumplings, wontons and similar)",Korea,2025,import,China,1.83,630,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-013,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2024,import,Vietnam,12.07,1453,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-014,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2024,import,Thailand,7.16,1071,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-015,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2024,import,China,7.92,2095,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
