record_id,name,type,owner,owner_country,location_province_current,location_province_former,capacity,capacity_unit,year,relevant_capability,open_to_third_parties,source_ids,evidence_label,confidence,notes,last_verified,change_log,province_current,province_former
FAC-001,Vedan Vietnam Phuoc Thai complex (MSG / glutamic acid fermentation),fermentation,"Vedan Vietnam Enterprise Corp. (Vedan International Holdings, HKEX-listed)",Taiwan,Dong Nai,"Dong Nai (Long Thanh district, Phuoc Thai commune; province unchanged by 2025 merger)",700,m3 per fermentation tank (tank count not disclosed),2026 (website),"Large aerobic stirred-tank amino-acid fermentation (MSG, PGA broth), cassava starch and molasses feedstock, own port (10,000-12,000 DWT), co-generation, ISO/IEC 17025 lab, food application lab",unknown,IND-01; IND-02; IND-04; IND-07; VCO-03; VCO-01; VCO-02; VCO-05; VCO-04,VN-direct,Medium,"Tank size is a company claim. Current MSG capacity not published; historic nameplates: MSG refinery 36,000 t/yr (1994), GA fermentation 36,000 t/yr (1995), fermentation expansion 1998. 120 ha site; ~3,830 staff (2024). No contract fermentation offer found.; Glutamic acid nameplate 180,000 t/yr (2004; last published; not confirmed current); Tank count still not disclosed (AR 2025, interim 2026). Modelled by VERIFY-CO: about 11 to 17 tanks of 700 m3 (7,700 to 11,900 m3) for 180,000 t/yr GA; Low confidence, modelled.; On-site plants (company page): starch and glucose syrup, MSG, modified starch, chlor-alkali, lysine, co-generation, PGA, Vedagro pellet; 120 ha; more than 3,000 staff.","2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-03, Medium] notes appended: ""Glutamic acid nameplate 180,000 t/yr (2004; last published; not confirmed current)"". Wave 1 figure of 36,000 t/yr GA (1995) superseded by the later 2004 nameplate. Capacity column keeps the tank size (700 m3 per tank). || [wave 2 VERIFY-CO, VCO-01; VCO-02; VCO-03; VCO-05, Low] notes appended: ""Tank count still not disclosed (AR 2025, interim 2026). Modelled by VERIFY-CO: about 11 to 17 tanks of 700 m3 (7,700 to 11,900 m3) for 180,000 t/yr GA; Low confidence, modelled."". Modelled estimate, not disclosed. || [wave 2 VERIFY-CO, VCO-04, Medium] notes appended: ""On-site plants (company page): starch and glucose syrup, MSG, modified starch, chlor-alkali, lysine, co-generation, PGA, Vedagro pellet; 120 ha; more than 3,000 staff."". Site description confirmed.",Dong Nai,Dong Nai
FAC-002,Vedan Vietnam lysine plant,fermentation,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,15000,t/yr lysine (nameplate after phase II),1998,Aerobic amino-acid fermentation for feed-grade lysine,unknown,IND-04; IND-02,VN-direct,Medium,"Nameplate from company milestones (phase I 7,200 t/yr 1996; phase II to 15,000 t/yr 1998). Current capacity not published; may have changed.","2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-003,Vedan Vietnam glucose syrup plant,starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,140000,t/yr glucose syrup (nameplate),1995,Cassava-based glucose/maltose syrup (incl. EU-organic grade): ready carbon source for fermentation,unknown,IND-04; IND-01,VN-direct,Medium,1995 nameplate; current capacity not published. Sells glucose syrup to third parties (product listed on website).,"2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-004,Vedan Vietnam starch and modified starch lines (Phuoc Thai),starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,72000 native starch; 40000 modified starch,t/yr (nameplates),1994-2000,Native and modified tapioca starch; wet starch line 200 t/day (2004),unknown,IND-04,VN-direct,Medium,"Historic nameplates from company milestones; later starch lines (36,000 t/yr in 2000 and 2001) location not stated.","2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-005,Vedan Phuoc Long tapioca starch plant,starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Binh Phuoc (Phu Rieng),72000,"t/yr native starch (two lines, nameplate)",1998,"Cassava starch in cassava-growing zone; side streams (pulp, wastewater) at source",unknown,IND-04; IND-01; IND-05,VN-direct,Medium,"Company website now gives address as 'Phu Rieng Village, Dong Nai City'.","2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Binh Phuoc
FAC-006,Ajinomoto Vietnam Bien Hoa plant,fermentation,"Ajinomoto Vietnam Co., Ltd. (Ajinomoto Co., Inc.)",Japan,Dong Nai,Dong Nai (Bien Hoa Industrial Park 1),150000,t/yr MSG,2023,Aerobic glutamate fermentation from cassava starch and cane molasses; new fermentation technology since 2020; broth co-products sold as liquid/solid feed ingredients and fertiliser,unknown,IND-08; IND-09; IND-10,VN-direct,Medium,"Capacity from EIA consultation reported in press (Dec 2023); MSG capacity unchanged in expansion. Feed-ingredient lines: liquid 30,000 to 50,000 m3/yr, solid 5,000 to 10,000 t/yr (proposed). Rice-husk biomass boiler ~100,000 t husk/yr. Permit 379/GPMT-BTNMT (9 Oct 2023).","2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,Dong Nai,Dong Nai
FAC-007,Ajinomoto Vietnam Long Thanh plant,other,"Ajinomoto Vietnam Co., Ltd.",Japan,Dong Nai,Dong Nai (Long Thanh Industrial Park),19000 (proposed 30000),t/yr liquid seasoning,2023,"Seasoning, bone broth (about 8 t bone and pork per day), seasoning cubes; food-grade blending and packing",unknown,IND-08; IND-09,VN-direct,Medium,Capacities from 2023 EIA consultation as reported in press.,"2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,Dong Nai,Dong Nai
FAC-008,Daesang Vietnam (Miwon) Viet Tri MSG plant,fermentation,"Daesang Vietnam Co., Ltd. (Daesang Corp.)",South Korea,Phu Tho,Phu Tho (Viet Tri),35000,"t/yr fermented seasoning (MSG), approximate",2020 (report),Glutamate and nucleotide fermentation from tapioca starch and molasses,unknown,IND-11; IND-12; IND-13; IND-14,VN-direct,Low,"Capacity only from a 2020 Korean press item that mislabels plant locations (Bac Giang, Thai Nguyen); Daesang Vietnam's own site says Viet Tri (1995) and Tay Ninh starch (2005). Daesang VN also lists L-lysine, arginine, histidine, DHA biomass and Chlorella feed products; whether made in Vietnam is not stated.","2026-09-23 (wave 1, INDUSTRY)",,Phu Tho,Phu Tho
FAC-009,Daesang Vietnam Tay Ninh starch plant,starch,"Daesang Vietnam Co., Ltd.",South Korea,Tay Ninh,Tay Ninh,not published,,2005,Tapioca starch and maltose syrup,unknown,IND-11; IND-12,VN-direct,Medium,Capacity not found.,"2026-09-23 (wave 1, INDUSTRY)",,Tay Ninh,Tay Ninh
FAC-010,Daesang Vietnam Hai Duong food plant,other,"Daesang Vietnam Co., Ltd.",South Korea,Hai Phong,Hai Duong,14000,"t/yr ambient foods (sauces, tteokbokki, seaweed)",2020,"Food processing and packing; expanded by 7,500 m2 from July 2023",unknown,IND-13; IND-11,VN-direct,Low,Investment KRW 15 bn.,"2026-09-23 (wave 1, INDUSTRY)",,Hai Phong,Hai Duong
FAC-011,AB Mauri Vietnam La Nga yeast plant,fermentation,AB Mauri Vietnam (Associated British Foods); founded as JV with Sugar Corporation II,United Kingdom,Dong Nai,"Dong Nai (Dinh Quan district, La Nga commune)",6000,t/yr yeast (basis fresh or dry not stated),2019,Aerobic fed-batch baker's yeast on molasses: the closest existing analogue to yeast/fungal single-cell protein,unknown,IND-15; IND-16,VN-direct,Medium,"Raised from 5,000 to 6,000 t/yr; operations suspended June 2019 after a pollution incident and fined VND 85 m. JV set up 1995; operating since 1998. Exports to Malaysia, Thailand, Myanmar, India.","2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-012,Saf-Viet (Lesaffre) yeast plant,fermentation,Saf-Viet Venture Joint Company (Lesaffre Group with Cat Tuong),France,Tay Ninh,"Long An (Long Dinh Industrial Complex, Can Duoc)",not published,,1999,Baker's yeast and baking ingredients; Baking Center,unknown,IND-17,VN-direct,Medium,Capacity not found. Lesaffre's Phileo animal-nutrition yeast products are sold in VN; local production of those not confirmed.,"2026-09-23 (wave 1, INDUSTRY)",,Tay Ninh,Long An
FAC-013,ANABIO R&D probiotic plant,fermentation,ANABIO Research & Development JSC,Vietnam,not stated,not stated,not published,,2011,"GMP Bacillus spore probiotics (B. subtilis, B. indicus, B. clausii, B. coagulans); tech transfer from VNU University of Science enzyme and protein key lab",unknown,IND-38,VN-direct,Low,Example of spore-probiotic fermentation; 2011 press. Aquaculture/livestock probiotic makers not mapped this wave.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-014,Dung Quat bio-ethanol plant,fermentation,"BSR-BF (Binh Son Refining and Petrochemical, Petrovietnam group)",Vietnam,Quang Ngai,Quang Ngai (Dung Quat EZ),100000,m3/yr fuel ethanol (design),2025-2026,"Large anaerobic cassava-chip fermentation, distillation, dehydration; restart for E10",N,IND-19; IND-20; IND-18,VN-direct,Medium,"Restart targeted Nov 2025; CafeF (Jul 2026) says restarting Jan 2026; investment VND 2,219 bn; wastewater treatment incomplete. One source placed it in Binh Dinh: likely error.","2026-09-23 (wave 1, INDUSTRY)",,Quang Ngai,Quang Ngai
FAC-015,Tung Lam ethanol plant,fermentation,"Tung Lam Co., Ltd.",Vietnam,Dong Nai,Dong Nai,72,million L/yr (design),2024-2026,"Anaerobic fermentation of cassava chips, corn, rice bran",unknown,IND-21; IND-18; IND-20,VN-direct,Medium,"Running intermittently in 2024; operating 2026 at ~250 m3/day (7,000 m3/month), can reach 130% of design per Mar 2026 press.","2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
FAC-016,Dai Tan ethanol plant,fermentation,Quang Nam Ethanol Production JSC,Vietnam,Da Nang,Quang Nam,125,million L/yr (design),2024-2026,Anaerobic fermentation on imported corn flour (400-450 t/day in 2024),unknown,IND-21; IND-20,VN-direct,Medium,Operating 2026 with ageing equipment (CafeF).,"2026-09-23 (wave 1, INDUSTRY)",,Da Nang,Quang Nam
FAC-017,Binh Phuoc bio-ethanol plant,fermentation,not verified in this wave,not verified,Dong Nai,Binh Phuoc,100,million L/yr (design),2026,Idle anaerobic fermentation plant (about USD 84 m invested); large stranded fermentation asset,unknown,IND-20; IND-18,VN-direct,Medium,Idle more than 10 years; described as a litigation asset (Jul 2026). Owner not confirmed here.,"2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Binh Phuoc
FAC-018,Dak To ethanol plant,fermentation,Quang Ngai Agricultural Products and Foods JSC,Vietnam,Quang Ngai,Kon Tum,7000-10000,t/yr ethanol,2024,"Cassava fermentation, switched to food-grade ethanol",unknown,IND-21,VN-direct,Medium,Operating normally in 2024.,"2026-09-23 (wave 1, INDUSTRY)",,Quang Ngai,Kon Tum
FAC-019,Dai Viet ethanol plant,fermentation,"Dai Viet Co., Ltd. (assets sold to Duc Giang Chemicals, Apr 2024)",Vietnam,Lam Dong,Dak Nong,not published,,2024,"Cassava ethanol plant, ceased operation",unknown,IND-21,VN-direct,Medium,Future use under Duc Giang not known.,"2026-09-23 (wave 1, INDUSTRY)",,Lam Dong,Dak Nong
FAC-020,QNS An Khe ethanol project,fermentation,Quang Ngai Sugar JSC (QNS),Vietnam,Gia Lai,Gia Lai (An Khe),25000,"t/yr ethanol (planned); ~1,000 t molasses/day",2026,"Molasses fermentation; 30% food-grade, 70% fuel ethanol",unknown,IND-22; IND-20,VN-direct,Low,"Investment over VND 1,740 bn; in partner selection (Jul 2026). CafeF expected An Khe online Sept 2026: status not confirmed.","2026-09-23 (wave 1, INDUSTRY)",,Gia Lai,Gia Lai
