record_id,metric,value,unit,year,scope,source_ids,evidence_label,confidence,demand_evidence_type,notes
RST-001,food_retail_sales,55.5,USD billion,2024,"Vietnam, all food retail",CHN-01,VN-direct,Medium,revealed,Euromonitor via USDA GAIN; up 1% on 2023
RST-002,share_traditional_small_local_grocers,83,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Small local grocers and wet markets; Euromonitor
RST-003,share_supermarkets,9,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor
RST-004,share_hypermarkets,3,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor
RST-005,share_food_drink_specialists,3,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor; counted inside modern trade in the 2024 GAIN bar chart but not in the 2025 text
RST-006,share_convenience,1,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor
RST-007,share_food_ecommerce,1,percent of food retail value,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor; grew 29% in 2024
RST-008,growth_supermarkets,13,percent year on year,2024,Vietnam,CHN-01,VN-direct,Medium,revealed,Euromonitor
RST-009,modern_trade_share_company_view,14,percent of grocery,2025,Vietnam,CHN-15,VN-direct,Low,revealed,"WinCommerce CEO: 12% (2024) to 14% (2025); company statement, no method"
RST-010,food_retail_outlets,665000,outlets,2023,Vietnam,CHN-02,VN-direct,Medium,revealed,"Euromonitor; over 650,000 traditional"
RST-011,modern_trade_outlets,15000,outlets,2023,Vietnam,CHN-02,VN-direct,Low,revealed,"Printed as 15,0000 in source; read as 15,000"
RST-012,retail_sales_traditional,46399,USD million,2023,Vietnam,CHN-02,VN-direct,Medium,revealed,Euromonitor
RST-013,retail_sales_modern,8270,USD million,2023,Vietnam,CHN-02,VN-direct,Medium,revealed,Euromonitor; includes food and drink specialists
RST-014,retail_sales_ecommerce,316,USD million,2023,Vietnam,CHN-02,VN-direct,Medium,revealed,Euromonitor
RST-015,wet_markets_and_household_groceries_share,80,"percent of retail revenue, lower bound",2024,Vietnam,CHN-05,VN-direct,Medium,revealed,'over 80 percent'
RST-016,bach_hoa_xanh_stores,3612,stores,2026-08,Vietnam,CHN-12,VN-direct,Medium,revealed,"3,563 on 27 Aug 2026 (CHN-11)"
RST-017,bach_hoa_xanh_new_stores,789,stores opened,2025,Vietnam,CHN-10,VN-direct,Medium,revealed,plan was 600; about 50% in Central Vietnam
RST-018,bach_hoa_xanh_revenue,46900,VND billion,2025,Vietnam,CHN-10,VN-direct,Medium,revealed,"up 14%; about USD 1.8 bn at 26,000 VND per USD (our calculation)"
RST-019,bach_hoa_xanh_revenue_jan_aug,40100,VND billion,2026,Vietnam,CHN-12,VN-direct,Medium,revealed,up nearly 32%
RST-020,bach_hoa_xanh_online_revenue,2300,VND billion,2025,Vietnam,CHN-10,VN-direct,Medium,revealed,nearly 5% of BHX revenue; up 150%
RST-021,bach_hoa_xanh_fresh_share_of_sales,40,percent of sales,2024-Q3,Vietnam,CHN-13,VN-direct,Low,revealed,Vietcap via CafeF
RST-022,bach_hoa_xanh_minimart_value_share,54,percent of minimart value,2024,Vietnam,CHN-13,VN-direct,Low,revealed,Vietcap via CafeF
RST-023,wincommerce_stores,5141,stores,2026-H1,Vietnam,CHN-15,VN-direct,Medium,revealed,"WinMart, WinMart+, WiN"
RST-024,wincommerce_stores_end_2025,4592,stores,2025,Vietnam,CHN-14,VN-direct,Medium,revealed,"764 opened in 2025, about 80% rural WinMart+"
