record_id,hs_code,description,year,value_usd,quantity_t,quantity_status,reporter,partner,unit_value_usd_per_kg,source_ids,evidence_label,confidence,demand_evidence_type,notes
IMP-001,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2019,47152602,34387.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.37,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-002,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2020,57030311,40997.3,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.39,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-003,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2021,80774278,59445.8,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.36,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-004,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2022,82313135,50572.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.63,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-005,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2023,65712401,47090.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.4,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-006,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2019,4579596,1820.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,2.52,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-007,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2020,7109603,2625.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,2.71,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-008,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2021,17517216,5736.1,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,3.05,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-009,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2022,19127590,5377.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,3.56,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-010,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2023,9231443,2611.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,3.53,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-011,040811,"Egg yolks, dried",2019,1388095,246.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.62,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-012,040811,"Egg yolks, dried",2020,2043895,372.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.49,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-013,040811,"Egg yolks, dried",2021,2199772,392.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.6,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
