rule_id,instrument,issuer,date,scope,binding_status,protein_sources_named,plant_protein_rule,animal_share_rule,processed_food_rule,soy_or_meat_substitute_mention,portion_or_nutrient_norms,cost_norms,supplier_documents,menu_authority,restricts_processed_plant_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-R01,Decision 3958/QĐ-BYT school meal nutrition guidance,Ministry of Health,2025-12-25,"General schools that serve meals, boarding and semi-boarding schools; preschools excluded (follow the MOET preschool programme)",guidance (Hướng dẫn); effective on signing; no sanction,"Meat, poultry, fish, shrimp, eggs, milk named as high biological value; beans, peanuts, sesame named as plant protein; mix animal and plant","Plant protein (đậu các loại, đậu phụ: legumes, tofu) at least 2 times a week, alternating with animal protein on at least 4 to 5 days a week","None (protein 13 to 20% of energy, no animal share)","Limit processed meat, sausages, lạp xưởng and fried foods as sources of saturated and trans fat","Tofu, soybeans, soy milk, legumes, peanuts and sesame appear in the 139-item food table (Appendix 7); textured soy, gluten and meat analogues do not appear anywhere",Vegetables 80 to 120 g (primary); energy needs by age (Appendix 1); lunch 30 to 40% of daily energy; fish or seafood 2 to 3 times a week; menus not repeated within 2 weeks,None,Food Safety Law only,Schools compute menus; MOET to update menu-building software to this guidance,No explicit restriction; appendices say iron absorption rises with 30 to 90 g of meat or fish a day and zinc absorption is poor with little or no animal protein,AIB-39; APR-04,VN-direct,High,revealed,Read in full (15 pages including appendices); the body jumps from section V to VII (no section VI); no sample menus
PMR-R02,Decision 973/QĐ-TTg School Health Programme 2026 to 2035,Prime Minister,2026-06-01,All education institutions,programme decision with dated tasks,Not specified,Not specified; menus must meet the preschool programme and MOH school-meal guidance (Decision 3958),Not specified,Not specified,None,Not specified,"Funding from ministry and provincial budgets, national target programmes, international aid and enterprise contributions",Food-safety conditions; 100% of schools with meals meet them by 2030 (93.1% in 2026),MOET: circular on nutrition education and organisation of bán trú meals (2026); scale up the school meal model (ongoing); digital tools to build balanced menus (2027 to 2028). MOF: revise Circular 14/2007 on school health funding (2026),No,PMR-01; AFN-44; APR-12,VN-direct,High,revealed,"Pages 1 to 4 read as text, pages 5 to 15 read as page images; the text does not name TH Group, a menu count or daily milk"
PMR-R03,"Decision 1982/QĐ-BYT professional guidance on nutrition in disease prevention, chapter V shift meals",Ministry of Health,2026-07-01,Workers shift meals (and general population),guidance,"Diverse animal and plant protein; prioritise fish, lean meat, eggs, milk and legumes (general adult advice)",None specific to shift meals,None,Limit fried and ready-processed foods (general advice),None found,"Defers to the Ten tips (Decision 3594/QĐ-BYT), recommended intakes (Decision 116/QĐ-VDD) and NIN shift-meal guidance",None,Food Safety Law,Employer or caterer,No,APR-16,VN-direct,Medium,revealed,Chapter V read through a fetch summary of the thuvienphapluat copy; the NIN shift-meal guidance it cites was not found on the NIN policy page
PMR-R04,Decision 2195/QĐ-BGDĐT guidance on organising school meals with physical activity (preschool and primary),Ministry of Education and Training,2022-08-10,Preschool and primary schools,guidance,"Protein-rich group named as meat, fish, seafood, eggs, legumes",None,None (protein about 13 to 20% of energy),Not specified,None,At least 10 foods; at least 5 of 8 food groups; sugar at most 15 g and salt at most 4 g a day (primary),None,Milk and dairy with clear origin,Not stated in the text,No,PMR-03,VN-direct,Medium,revealed,"Menus must include fresh milk and dairy products; a Hanoi school notice cites it as dated 2025, the legal database as 2022; Hai Phong tenders require menus to follow it"
PMR-R05,Directive 33/CT-TTg on food safety in education institutions,Prime Minister,2026-08-14,All education institutions,directive,Not specified,Not specified,Not specified,No ban on processed foods or specific proteins,None,Correct menu and enough nutritional quantity to standard,Not specified,"Legal status, food-safety establishment certificate and food quality checked; provinces list and evaluate all suppliers by September 2026","Daily public disclosure of caterer, ingredients, food photos, purchase invoices, menus and tray photos; MOET to finish rules on meal organisation in Q4 2026",No,PMR-02,VN-direct,Medium,revealed,Read through a fetch summary; HCMC Document 9632 (AIB-42) and HCMC Document 7916/UBND-VX implement it
PMR-R06,Hanoi Resolution 84/2026/NQ-HĐND and ward caterer selection,Hanoi People's Council; Bo De ward People's Committee,2026-07-15,"Public primary schools in Hanoi, school year 2026 to 2027",resolution and administrative notices,Not specified,Not specified,Not specified,Not specified,None,Not specified,"Meal VND 40,000 per pupil per meal (lunch and snack): city pays VND 28,000, parents VND 12,000; care fee VND 235,000 a month","Ward evaluation council assesses dossiers and site conditions, lists capable suppliers, then assigns caterers, food, milk and water suppliers school by school","Caterer (Hoa Sua, Huong Viet Sinh and others) assigned by the ward; school principal co-signs menus",No,PMR-05; PMR-06,VN-direct,High,revealed,"Bo De ward Notice 979/TB-UBND (26 August 2026) and Ngoc Lam school Notice 04/TB-THNL (30 August 2026); the ward notice dates Resolution 84 as 9 July 2025, the school notice as 15 July 2026"
PMR-R07,"School meal quotation, Chu Van An Primary, Hai Phong (01/TM-THCVA)",School under Gia Vien ward,2026-08-21,"One primary school: about 45,100 meals a month for 2,157 pupils, 22 days a month",procurement invitation under the Bidding Law,Not specified,None,"None (lunch 35 to 40% of daily energy, 560 to 720 kcal; protein 13 to 20%)","Ready-processed foods allowed only with clear origin, compliant packaging and a visible use-by date; no additives outside the permitted list",None,"Caterer writes a 20-day monthly menu with no repeats within the week; meal is rice, main protein dish, vegetable dish, soup, dessert plus a milk or cake snack",Price at the regulated norm; bidders compete on the percentage of extra portion value they add,Business registration; food-safety certificate; revenue of at least VND 3 billion; catering contracts with at least 3 schools or industrial zones in the past year; tax compliance; contracts with certified food suppliers; product liability insurance; at least 2 staff trained in food science; three-step checks and sample retention (Decision 1246/QĐ-BYT),Caterer writes the menu; school scores technical capability,No,PMR-07,VN-direct,High,revealed,Menus must follow Decision 2195/QĐ-BGDĐT; Hai Phong fee Resolution 58/2025/NQ-HĐND not retrieved
PMR-R08,"School meal quotation request, An Phu Tay Primary, HCMC (40/THAPT)",School under Binh Chanh commune,2026-09-17,"One primary school: lunch, afternoon snack and drinking water, 2026 to 2027",request for quotations,Not specified,None,None,Not specified,None,Not specified,Quote with a price plan and economic norms,Complete capability dossier; school submits the chosen supplier to the commune People's Committee for appraisal,"School selects, commune appraises",No,PMR-08,VN-direct,High,revealed,Cites HCMC Document 7916/UBND-VX implementing Directive 33/CT-TTg; quotation window of two days
PMR-R09,VGCL Conclusion 03/KL-TLĐ on shift meals,Vietnam General Confederation of Labour,2022-01-18,Workers shift meals,"union conclusion, not law",Protein named as one of 4 food groups,None,None,None,None,4 food groups per meal; menus changed weekly; 2 menus per meal; no identical ingredients on consecutive days,"Floors of VND 20,000 (regions I and II) and VND 18,000 (regions III and IV) per meal",Clear origin of food; sample retention,"Employer or caterer, union supervises",No,AIB-43,VN-direct,Medium,revealed,"Re-read through a provincial summary; AIB-43 also reports VND 25,000 and 22,000 floors for hired caterers, which this re-read did not show"
PMR-R10,Hospital for Tropical Diseases patient-meal tender 2025,Public hospital (HCMC),2025-03-25,"About 81,842 rice meals and 20,461 porridge meals a year",request for quotations,"Meat, fish, chicken, seafood; tofu",Tofu at least 120 g accepted as a full replacement for at least 60 g of meat or fish per meal,None,None,Tofu,"At least 1,800 kcal (rice) or 1,200 kcal (porridge) a day; 60 g protein a day; rice 220 g per meal; seafood at most one third of a day's menu",Not in the page,"Sealed labelled containers; at least 3 sample menus with photos: meat, seafood and tofu versions","Hospital specifies, caterer proposes menus",No,AIB-44,VN-direct,Medium,revealed,Re-read through a fetch summary
