where,current,proposed,evidence_source_ids,strength,type
demand_moves.csv DMV-13; ch29.4 Set rules,"Define chay, thuần chay and suitable-for-vegetarians claims by reference to TCVN 13625 in the Food Safety Law's implementing rules, and make meat-free claims enforceable","TCVN 13625:2023 already defines vegetarian and vegan claims but allows egg, milk and honey in vegetarian and says nothing on alliums; false chay claims are already unlawful under the goods-label rules. Ask MOH or VFA to state that an unqualified chay or thuần chay claim means the TCVN 13625 vegan criteria, that egg or milk must be named in a qualifier, and that allium-free stays voluntary; pair with DMV-07 testing.",LBL-15; LBL-06; LBL-09; CHY-52; FORM-01,moderate,corrects
demand_moves.csv DMV-14; ch29.4 Set rules,Require honest percentage labelling of blended (hybrid) meat products,"Largely in force: any ingredient named in the product name must be quantified (Decree 43/2017 Art 13(4), carried into Decree 37/2026); Vissan prints the named meat on 28 of 29 meat-named formulations. Narrow to generic names (giò lụa, xúc xích, hotdog) through a voluntary industry code stating the meat share when a plant or fungal protein replaces 10% or more of the meat.",LBL-06; LBL-09; BUY-05,strong,corrects
target_product_profiles.csv TPP-03 label_and_claims; ch24.4; ch26.6,Honest percentage labelling; value lines first; no imitation claims,"Add: No national standard sets a minimum meat content (TCVN 7049:2020, 7050:2020, 7048:2020), so a 20 to 30% extender keeps the meat product name. The meat must be quantified if the name names it; Vissan already sells meat-named products at 27 to 65% named lean. A 55% lean sausage with 20 to 30% of lean replaced keeps 38.5 to 44% (our calculation).",LBL-11; LBL-12; LBL-13; LBL-06; BUY-05,strong,adds
target_product_profiles.csv TPP-02 label_and_claims; ch23.8,Numeric protein claim (giàu đạm),"Protein claim conditions are in TCVN 14429:2025 (voluntary, Codex): source at 5 g and high (cao) at 10 g per 100 g, or 2.5 g and 5 g per 100 kcal. Print 10 g đạm/100 g on the front because the per 100 kcal route lets watery foods claim high at 4 to 5 g per 100 g. Avoid function claims (no approval route). The claim needs no registration or advertising approval.",LBL-03; LBL-04; LBL-05; REG-02; LBL-19; FORM-01,strong,updates
ch22.7 or app-ai AI.1; ch29.1 finding 2,No chay food carries a numeric protein claim,"Add: yet 20 of 43 audited foods (47%) already meet the source-of-protein condition per 100 g and 7 (16%) the high condition; counting the per 100 kcal route, 27 of 38 and 13 of 38 (our calculation).",FORM-01; LBL-03,moderate,adds
target_product_profiles.csv TPP-05 label_and_claims,"Soy-free, non-GMO and glyphosate-free documents; complete amino-acid profile","Add: The one protein claim on the audited shelf, Vinamilk Sữa Hạt Cao Đạm, is at 5.0 g per 100 ml; sữa đậu nành requires 2.0 g per 100 ml (TCVN 12443:2018); no rule reserves sữa for dairy (TCVN 11216:2015; QCVN 28:2026/BCT).",FORM-01; FTR-06; FTR-07; FTR-19; LBL-16; LBL-17,moderate,strengthens
ch24.2 The GMO collision; ch24.6 item 2,"If purified precision-fermented proteins must be declared as products of a GMO, their most likely Vietnamese buyers face a clash with their own brand promise","The mandatory GMO label applies only when a GM ingredient exceeds 5% of total ingredients and not when neither the gene nor its product is detectable (Decree 15/2018 Art 10; Joint Circular 45/2015 Art 1). Lactoferrin is used at about 0.08% (80 mg per 100 g in a VitaDairy formula), so the clash is with voluntary non-GMO claims and with high-inclusion uses, not with lactoferrin-type ingredients.",REG-02; LBL-10; LBL-25; NOV-62,moderate,corrects
demand_moves.csv DMV-16; open_questions.csv OQ-201 and OQ-240; app-g PO-016,Clarify whether purified precision-fermented proteins need a GMO declaration on consumer products,"Narrow: ask MAE and VFA whether a recombinant protein identical to the native protein is a detectable product of the modified gene under Joint Circular 45/2015 Art 1(2)(a), and whether a product containing one below 5% may still claim non-GMO.",LBL-10; REG-02; LBL-25,moderate,updates
demand_moves.csv DMV-15; ch29.4; app-g PO-024,Give neutral naming guidance for new foods that avoids nhân tạo; PO-024 short rule on names for plant-based and fermentation-based analogues (qualifier required),"No rule reserves thịt, sữa or phô mai; names must only not mislead, and practice already qualifies meat words (Heo hầm chay). DMV-15: defend this permissive regime in the new Food Safety Law decree and aim vocabulary guidance at state and media use (a 2025 provincial scheme uses thịt nhân tạo for cultivated meat). Drop the naming half of PO-024 or recast it as guidance.",LBL-06; LBL-09; BUY-05; FTR-06; FTR-07; LBL-16; LBL-20; LBL-21,moderate,corrects
app-g G.7 Labelling; ch05; instruments.csv,Decree 43/2017/ND-CP as amended by Decree 111/2021/ND-CP requires; Circular 29/2023/TT-BYT is listed but was not read; we did not verify the text of the general rule against misleading names,"Decree 37/2026/ND-CP (23 January 2026) replaced Decree 43/2017 and 111/2021; its text keeps the name, quantitative-ingredient and GMO wording (phrase search; label chapter not read). Misleading-name rule (Art 11) and quantitative-ingredient rule (Art 13(4)) verified. Circular 29/2023 read and replaced by Circular 30/2026/TT-BYT (in force 10 July 2026). Add instrument rows for these, TCVN 14429:2025, TCVN 7088:2025, TCVN 13625:2023, TCVN 7049, 7050 and 7048:2020, QCVN 28:2026/BCT, Joint Circular 45/2015, Law 75/2025 and Decree 342/2025.",LBL-01; LBL-02; LBL-06; LBL-07; LBL-08; LBL-09; LBL-10; LBL-15; LBL-16; LBL-17; LBL-18; LBL-19,strong,corrects
ch22.4 Trust is the weakest point,Certification is voluntary: the national standard TCVN 13625:2023 defines vegetarian and vegan claims,"Add: It counts egg, milk and honey as vegetarian and has no allium rule, so its chay is broader than Buddhist chay. State chay inspections (Hanoi, September 2020: 93 facilities, 14 fined VND 55 million) checked hygiene and origin papers; we found no official report of meat-DNA testing.",LBL-15; LBL-23; LBL-24,moderate,adds
