item,element,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Producer Price (LCU/tonne),,,,,,,,46957000.000000,48158907.000000,53324957.500000,64503301.300000,66100073.700000,80774682.500000,90415898.700000,93374538.400000
Bananas,Producer Price (LCU/tonne),4954000.000000,5635000.000000,5683916.700000,6024000.000000,6781000.000000,6840000.000000,7207000.000000,7514000.000000,7415029.000000,7819139.600000,7756947.400000,8921826.700000,7224653.200000,7262579.900000,7618011.700000
"Beans, dry",Producer Price (LCU/tonne),12696000.000000,14656000.000000,16592667.000000,27683000.000000,30062000.000000,29794000.000000,31349000.000000,32663000.000000,33660114.000000,31364712.000000,32218917.000000,30224993.500000,26482520.700000,30437707.100000,31876291.100000
Cabbages,Producer Price (LCU/tonne),4617000.000000,5154000.000000,5209833.300000,5876000.000000,5141000.000000,5601000.000000,7619000.000000,7289000.000000,7271092.000000,8095067.000000,8323880.700000,7508861.300000,9640872.100000,9909672.900000,10036953.400000
"Cashew nuts, in shell",Producer Price (LCU/tonne),14466000.000000,21175000.000000,20794583.000000,20427000.000000,18716000.000000,21712000.000000,32912000.000000,35605000.000000,36376906.000000,31565510.300000,28676137.400000,28253712.900000,45940913.200000,47432016.400000,49070091.700000
"Cassava, fresh",Producer Price (LCU/tonne),2209000.000000,2560000.000000,2593000.000000,2778000.000000,2908000.000000,2903000.000000,4183000.000000,4401000.000000,4840706.000000,5180589.400000,5440003.500000,6679241.600000,5970343.500000,6392928.500000,6514869.400000
Cauliflowers and broccoli,Producer Price (LCU/tonne),7545000.000000,9981000.000000,9656333.300000,10253000.000000,9734000.000000,9764000.000000,13336000.000000,12771000.000000,12254119.000000,12673224.800000,14497857.400000,16675035.200000,17899293.300000,17437195.800000,17644074.200000
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Producer Price (LCU/tonne),,11916000.000000,14020000.000000,18062000.000000,18829000.000000,18434000.000000,20873000.000000,22570000.000000,,24252460.300000,,,,,
"Cinnamon and cinnamon-tree flowers, raw",Producer Price (LCU/tonne),13311000.000000,15184000.000000,18207416.700000,17833000.000000,21322000.000000,25218000.000000,18918000.000000,19232000.000000,33472000.000000,28331815.200000,42828946.300000,43214492.300000,30591144.100000,27545092.700000,25184313.100000
"Coconuts, in shell",Producer Price (LCU/tonne),,,,8304000.000000,8837000.000000,8573000.000000,,,,,,,,,
"Coffee, green",Producer Price (LCU/tonne),23343000.000000,34764000.000000,34714333.000000,33402000.000000,33295000.000000,32514000.000000,38343000.000000,43277000.000000,40092381.000000,35086897.600000,31704673.600000,32091983.600000,14068439.000000,15033124.000000,17753706.500000
"Cotton lint, ginned",Producer Price (LCU/tonne),12088000.000000,14103000.000000,,15613000.000000,15606000.000000,15600000.000000,12981000.000000,13137000.000000,13200640.000000,13197480.000000,13697725.600000,13908379.300000,,,
Grapes,Producer Price (LCU/tonne),22344000.000000,28843000.000000,28068500.000000,18166000.000000,25420000.000000,21277000.000000,16883000.000000,20070000.000000,21368369.000000,23829558.700000,17352255.100000,15755162.600000,31925275.300000,34294184.600000,34911323.300000
"Groundnuts, excluding shelled",Producer Price (LCU/tonne),,,,22412000.000000,22134000.000000,22791000.000000,24711000.000000,25013000.000000,24624474.000000,25429135.400000,26952852.700000,27224013.500000,28860803.700000,30218296.800000,30718187.200000
