record_id,flow,product,hs_code,year,volume_t,value_usd,main_partners,source_ids,evidence_label,confidence,notes
TF-001,import,"Peptones and other protein substances n.e.s. (includes soy protein isolate, likely pea protein)",3504,2023,"2,421 (estimated by WITS, not reported)","22,184,270",China 45% (USD 10.1M); US USD 3.4M; Spain USD 2.6M; Japan USD 1.7M; Singapore USD 1.3M,RGN-45,VN-direct,Medium,"Vietnam-reported. Every partner has the same unit value (USD 9.16/kg), so tonnage is a WITS estimate. 2024 not yet in WITS for Vietnam."
TF-002,import,Protein concentrates and textured protein substances,2106.10,2023,"5,763 (estimated by WITS)","33,981,550",US 46% (USD 15.6M); China 27% (USD 9.1M); 'Other Asia nes' (likely Taiwan) USD 5.6M; India USD 1.6M; Netherlands USD 0.8M; Malaysia USD 0.7M,RGN-46,VN-direct,Medium,Vietnam-reported; uniform unit value USD 5.90/kg means tonnage estimated. Includes textured vegetable protein used by do chay makers.
TF-003,import (mirror),HS 3504 exported by China to Vietnam,3504,2023,"10,028","16,312,600",China,RGN-48,VN-direct,Medium,"China-reported. Vietnam reported only USD 10.1M from China for 2023. Unit value USD 1.63/kg is far below soy protein isolate prices, so much of this is probably feed-grade protein substances."
TF-004,import (mirror),HS 3504 exported by China to Vietnam,3504,2024,"25,267","25,912,010",China,RGN-47,VN-direct,Medium,China-reported; Vietnam was China's 9th market for HS 3504. Unit value USD 1.03/kg.
TF-005,import (mirror),HS 2106.10 exported by China to Vietnam,2106.10,2023,"7,957","12,630,090",China,RGN-50,VN-direct,Medium,China-reported vs Vietnam-reported USD 9.1M.
TF-006,import (mirror),HS 2106.10 exported by China to Vietnam,2106.10,2024,"10,029","13,155,940",China,RGN-49,VN-direct,Medium,Unit value USD 1.31/kg.
TF-007,import,Pea protein (no separate HS code; falls within 3504 or 2106.10),3504 / 2106.10,n/a,not separable,not separable,n/a,RGN-45; RGN-46,VN-direct,Low,Needs Vietnam customs 8-digit or declaration-level data to split.
TF-008,export,Cassava (manioc) starch,1108.14,2023,"2,152,180","1,063,358,130","China 93.5% (USD 994.6M, 2.02 Mt); Taiwan USD 26.5M; Philippines USD 9.1M; Malaysia USD 6.9M",RGN-53,VN-direct,High,"Vietnam-reported, unit value USD 0.49/kg."
TF-009,export (mirror),Cassava starch imported by China from Vietnam,1108.14,2024,"1,563,150","757,267,600",China (Vietnam = 39% of China's import value; Thailand 49%; Laos 10%),RGN-51,VN-direct,High,"China-reported. Lower than 2023 VN-reported figure; different year and reporter, not averaged."
TF-010,export (mirror),Cassava chips/dried cassava imported by China from Vietnam,0714.10,2024,"411,596","104,141,800",China (Thailand supplies 82% of China's value),RGN-52,VN-direct,High,China-reported.
TF-011,export (mirror),Dextrins and modified starches imported by China from Vietnam,3505.10,2024,"179,365","114,283,370",China (Vietnam 21% of China's import value; Thailand first),RGN-54,VN-direct,High,China-reported.
TF-012,export (mirror),Glucose and glucose syrup imported by China from Vietnam,1702.30,2024,175,"156,180",China,RGN-55,VN-direct,High,"Negligible. China makes its own glucose (mostly from corn); Vietnam sells starch, not fermentation-ready sugar."
