record_id,topic,country,year,count,per_10k_country_output,query_or_oql,source_ids,notes
BTF-001,cultivated_meat,World,2015,35,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-002,cultivated_meat,World,2016,15,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-003,cultivated_meat,World,2017,21,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-004,cultivated_meat,World,2018,47,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-005,cultivated_meat,World,2019,63,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-006,cultivated_meat,World,2020,133,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-007,cultivated_meat,World,2021,159,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-008,cultivated_meat,World,2022,243,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-009,cultivated_meat,World,2023,292,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-010,cultivated_meat,World,2024,372,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-011,cultivated_meat,World,2025,508,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,
BTF-012,cultivated_meat,World,2026,409,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat"" OR ""in vitro meat"" OR ""cell-cultured meat"" OR ""cultivated seafood"" OR ""cell-based seafood"" OR ""cultured fish meat""",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-013,gas_fermentation_protein,World,2015,6,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-014,gas_fermentation_protein,World,2016,8,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-015,gas_fermentation_protein,World,2017,12,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-016,gas_fermentation_protein,World,2018,9,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-017,gas_fermentation_protein,World,2019,19,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-018,gas_fermentation_protein,World,2020,24,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-019,gas_fermentation_protein,World,2021,37,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-020,gas_fermentation_protein,World,2022,21,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-021,gas_fermentation_protein,World,2023,17,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-022,gas_fermentation_protein,World,2024,41,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-023,gas_fermentation_protein,World,2025,62,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,
BTF-024,gas_fermentation_protein,World,2026,58,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""single cell protein"" OR ""single-cell protein"" OR ""microbial protein"" OR ""bacterial protein"") AND (""hydrogen-oxidizing"" OR ""hydrogen-oxidising"" OR ""hydrogen oxidizing"" OR ""knallgas"" OR ""power-to-protein"" OR ""gas fermentation"" OR ""methanotroph"" OR ""methanotrophic"" OR ""methane-oxidizing"" OR ""Cupriavidus necator"" OR ""carbon dioxide"" OR ""CO2"")",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-025,single_cell_protein,World,2015,52,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-026,single_cell_protein,World,2016,60,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-027,single_cell_protein,World,2017,62,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-028,single_cell_protein,World,2018,75,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-029,single_cell_protein,World,2019,65,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-030,single_cell_protein,World,2020,101,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-031,single_cell_protein,World,2021,121,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-032,single_cell_protein,World,2022,165,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-033,single_cell_protein,World,2023,136,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
