hog_scenario,live_hog_vnd_per_kg,lean_price_basis,lean_multiple_of_live,lean_trim_vnd_per_kg,extender,extender_protein_share_dry,breakeven_dry_vnd_per_kg,breakeven_dry_usd_per_kg,extender_price_used_usd_per_kg,headroom_multiple,source_ids,evidence_label,confidence,demand_evidence_type,notes
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,domestic textured soy (T1 cost),0.5,191983,7.38,1.03,7.2,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,"Chinese textured soy, landed 0% duty",0.5,191983,7.38,1.365,5.4,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,"Chinese soy protein isolate, landed",0.9,345570,13.29,2.22,6.0,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,fungal biomass at soy isolate protein parity,0.45,172785,6.65,1.0,6.6,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,fungal biomass at egg white parity,0.45,172785,6.65,3.3,2.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,low,1.5,69114,fungal biomass at casein or whey parity,0.45,172785,6.65,4.25,1.6,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,domestic textured soy (T1 cost),0.5,230380,8.86,1.03,8.6,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,"Chinese textured soy, landed 0% duty",0.5,230380,8.86,1.365,6.5,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,"Chinese soy protein isolate, landed",0.9,414684,15.95,2.22,7.2,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,fungal biomass at soy isolate protein parity,0.45,207342,7.97,1.0,8.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,fungal biomass at egg white parity,0.45,207342,7.97,3.3,2.4,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,central,1.8,82937,fungal biomass at casein or whey parity,0.45,207342,7.97,4.25,1.9,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,domestic textured soy (T1 cost),0.5,281576,10.83,1.03,10.5,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,"Chinese textured soy, landed 0% duty",0.5,281576,10.83,1.365,7.9,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,"Chinese soy protein isolate, landed",0.9,506836,19.49,2.22,8.8,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,fungal biomass at soy isolate protein parity,0.45,253418,9.75,1.0,9.7,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,fungal biomass at egg white parity,0.45,253418,9.75,3.3,3.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"low (2019 annual, FAOSTAT)",46076,high,2.2,101367,fungal biomass at casein or whey parity,0.45,253418,9.75,4.25,2.3,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,domestic textured soy (T1 cost),0.5,244065,9.39,1.03,9.1,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,"Chinese textured soy, landed 0% duty",0.5,244065,9.39,1.365,6.9,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,"Chinese soy protein isolate, landed",0.9,439316,16.9,2.22,7.6,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,fungal biomass at soy isolate protein parity,0.45,219658,8.45,1.0,8.4,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
