case,pork_share,chicken_share,duck_share,beef_share,animals_per_meal_replaced,times_pork_dish,source_ids,evidence_label,confidence,demand_evidence_type,notes
pork dish only (wave 7 L3),1.0,0.0,0.0,0.0,0.0016,1.0,FUF-03; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); L3 value 0.0016"
"chicken dish only (poultry mix, wave 7 L3)",0,0.88,0.12,0,0.0554,34.3,FUF-03; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); L3 value 0.055"
"canteen caterers, all meat-led dishes",0.626,0.253,0.011,0.11,0.0149,9.2,UPL-27; UPL-28; UPL-29; UPL-30; UPL-32; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); dish-weighted"
"canteen, South caterers",0.627,0.227,0.013,0.133,0.0138,8.5,UPL-27; UPL-28; UPL-29; UPL-30; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"canteen, North caterer (Haseca)",0.625,0.375,0.0,0.0,0.0201,12.4,UPL-32; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"canteen, Hoang Kim",0.667,0.167,0.0,0.167,0.0097,6.0,UPL-27; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"canteen, Viet Dai",0.333,0.556,0.0,0.111,0.0288,17.8,UPL-28; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"canteen, Thien Phuc Hieu",0.5,0.208,0.0,0.292,0.0116,7.2,UPL-29; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"canteen, Phu My Gold",0.778,0.167,0.028,0.028,0.0122,7.6,UPL-30; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); "
"upland school main meals, lead meat",0.844,0.146,0.0,0.009,0.0088,5.4,UPL-01 to UPL-17; FUF-03; DMA-083; DMA-114,VN-adjacent,Low,inferred,"our calculation; one 20 g protein dish replaced at 0.8 net displacement; meat-led dishes only (fish, seafood, egg and tofu dishes excluded, as in wave 7 L3); lead source of each lunch and dinner"
