record_id,caterer,region,price_tier_vnd,menu,slot,dish_vi,lead_source,other_sources,plant_protein_lead,tofu_any,plant_only_dish,textured_soy_or_mock_meat,minced_or_processed_meat,source_ids,evidence_label,confidence,demand_evidence_type,notes
UPL-C001,Hoang Kim,South (Binh Duong),20000,sample tray Binh Duong,main,Thịt kho trứng,pork,egg,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C002,Hoang Kim,South (Binh Duong),20000,sample tray VSIP 1,main,Thịt kho đậu hũ,pork,tofu,no,yes,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C003,Hoang Kim,South (Binh Duong),20000,sample tray VSIP 2,main,Thịt kho tép,pork,seafood,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C004,Hoang Kim,South (Binh Duong),20000,sample tray Tan Uyen,main,Cá thu sốt cà ớt,fish,none,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-23; marketing, not a served-menu record"
UPL-C005,Hoang Kim,South (Binh Duong),25000,sample tray Dai Dang,main,Cá nục chiên giòn sốt cà,fish,none,no,no,no,no,yes,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C006,Hoang Kim,South (Binh Duong),25000,sample tray Dai Dang,main,Bò xào hành cần,beef,none,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C007,Hoang Kim,South (Binh Duong),25000,sample tray Tan Uyen,main,Thịt xào đậu que,pork,none,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C008,Hoang Kim,South (Binh Duong),25000,sample tray Tan Uyen,main,Gà kho sả ớt,chicken,none,no,no,no,no,no,UPL-27,VN-direct,Medium,stated,"caterer's published sample menu dated 2024-02-25; marketing, not a served-menu record"
UPL-C009,Viet Dai,South (Binh Duong),20000 to 30000,7-day worker menu,Mon,Thịt kho măng,pork,none,no,no,no,no,no,UPL-28,VN-direct,Medium,stated,"caterer's published sample menu dated 2023-11-03; marketing, not a served-menu record"
UPL-C010,Viet Dai,South (Binh Duong),20000 to 30000,7-day worker menu,Mon,Trứng chiên thịt,egg,pork,no,no,no,no,yes,UPL-28,VN-direct,Medium,stated,"caterer's published sample menu dated 2023-11-03; marketing, not a served-menu record"
