evidence_item,finding,reason_category,bearing_on_non_entry,source_ids,evidence_label,confidence,demand_evidence_type,notes
Domestic textured-protein extruders,"No named Vietnamese maker of extruded textured soy found in wave 1 or in this line; legal-database searches found customs classifications only, no investment approval or factory project",none (clean negative),confirms the premise,FORM-35; TIC-19,VN-direct,Medium,revealed,Absence after a limited search; company-registry search (masothue.com) returned 403 and was not pursued
Chinese lines offered in Vietnam,"A Ho Chi Minh City generalist equipment dealer offers Chinese soy vegetarian-food lines of 100 to 2,000 kg/h (mixer, extruder, dryer, vacuum packer), price on request; one Jinan extruder maker lists Vietnam among export destinations",capital,argues against capital as the barrier,FORM-34; TIC-11,VN-direct,Low,revealed,Dealer mainly sells cosmetics and pharmaceutical equipment
Line list prices,"Chinese dry TVP lines of 0.5 to 1 t/h are listed at USD 11,000 to 100,000 per set; installed capex in Vietnam USD 0.28 to 1.38 M (our calculation)",capital,argues against capital as the barrier,TIC-01; TIC-02; TIC-03; TIC-05; TIC-07; TIC-10,general,Low,inferred,"Listing prices, not quotes; working capital (USD 0.6 to 3.5 M) is the larger need"
Size of the pool a soy line can serve,"Textured-type HS 2106.10 imports from China, India and Serbia were 12,832 t in 2025; China-origin grew from 6,615 t (2019) to 10,201 t (2025), 54% or about 7.5% a year",scale,supports scale as a reason,BUY-02; TIC-12,VN-direct,Medium,revealed,The near tripling of China-reported plant-protein shipments is mostly HS 3504 at about USD 1 per kg (ch26.1)
Share of the pool one line needs,"A 1 t/h line at 90% (7,200 t) needs 56% of 2025 textured-type imports and 71% of China-origin 2106.10; a 0.5 t/h line at 70% needs 22%",scale,supports scale as a reason,BUY-02; TIC-12,VN-direct,Low,inferred,Share of 2106.10 that is textured protein rather than concentrate powder or premix is unknown
Buyer fragmentation,126 vegetarian food establishments surveyed in Hanoi alone; small firms buy 20 to 25 kg bags from distributors; distributors publish no prices,scale,supports scale and channel as reasons,FORM-37; BUY-36; BUY-37,VN-direct,Medium,revealed,"A 1 t/h line needs 26 to 131 buyers the size of Vissan soy-protein use (55 to 280 t, ch26.3 illustration)"
Chinese price to Vietnam,"China sells HS 2106.10 to Vietnam at USD 1.24 per kg (2025), its lowest price among eight Asian and US partners (Indonesia 1.34 to Japan 3.29; world average 1.95)",price,supports price as a reason,TIC-14,VN-direct,Medium,revealed,"Suggests Vietnam buys the lowest grades, probably flour-based TVP; grade mix not verified"
Cheaper second origin,"India shipped 2,372 t of HS 2106.10 to Vietnam at USD 0.98 per kg and Serbia 259 t at 0.85 in 2025; India lands at about USD 1.08 to 1.15 per kg under MFN",price,supports price as a reason,BUY-02,VN-direct,Medium,revealed,Product mix not verified; India preferential duty not checked
No domestic food-grade input,"Vietnam crushes 2.6 Mt of soybeans a year for feed meal (VAL, Phu My); no food-grade defatted flake or soy protein line found; soybean meal imports are feed grade (Argentina 3.92 Mt at USD 311 per t FOB in 2025)",input,supports input cost as a reason,FORM-10; TIC-15,VN-direct,Medium,revealed,A Vietnamese line imports 63 to 85% of its cost from the countries it competes with (our calculation)
Price of food-grade flour,Delivered food-grade defatted soy flour is anchored at USD 627 to 925 per t: China soybean meal to Vietnam USD 604 per t FOB (grade unknown) to India and Netherlands soy flour at USD 783 to 896 per t FOB,input,decides whether the line is viable,TIC-12; TIC-13,VN-direct,Low,revealed; inferred,"Breakeven for a 15% margin at Chinese parity: USD 700 to 1,076 per t at 1 t/h and 70 to 90% utilisation (our calculation)"
Founder statement,"A plant-based startup (VMEAT) imported over 90% of raw materials from the United States, Canada and Europe; domestic materials had two problems, quality and price; even domestic soybeans cost more than double imported ones",quality; price,supports quality and price as reasons,BUY-38,VN-direct,Low,stated,2021 press interview; founder later ran a chay noodle chain (AIS-41)
Non-GMO specification,An Nhien labels declare Serbian soy protein concentrate and the brand positions on non-GMO soy,quality,supports specification as a reason,FORM-01; FORM-28,VN-direct,Medium,revealed,Non-GMO flour pushes the input to the high end of the price range (inference)
Distributors hold the channel,Brenntag Vietnam imports Solae SUPRO MAX structured soy-gluten protein (2106.10.00); VMC and TDGIMEX sell Chinese gluten as bot mi can in 25 kg bags,channel,supports channel as a reason,TIC-18; BUY-36; BUY-37,VN-direct,Medium,revealed,A domestic line must sell through or against the same distributors
Craft mi can moved to imported gluten,"Distributors market Chinese vital gluten as bot mi can and describe mixing the powder with water, replacing the traditional washing of flour",price,shows a domestic craft step lost to imports,BUY-37; FORM-12,VN-direct,Medium,revealed,Inference that convenience and price drove the switch; no gluten wet-milling plant found; each t of gluten comes with several t of wheat starch that would compete with cassava starch (inference)
Tofu-skin villages survive,"My Hoa (Vinh Long) makes about 7 t of tofu skin a day in 27 households with over 200 workers, mainly from imported soybeans, which raise quality by over 20%",none (counter-example),shows domestic texturised soy exists where the product is craft and not a traded commodity,FORM-14,VN-direct,Medium,revealed,"2022 press report; about 2,500 t a year if run every day (our calculation)"
Tariff shelter,MFN duty is 5% on HS 2106.10 and 2% on food-grade defatted soy flour; preferential rates for China not verified here (W7-L2),tariff,supports weak protection as a reason,REG2-20; REG2-21,VN-direct,Medium,revealed,Net natural shelter after freight and duty on both product and input is about USD 30 to 130 per t (our calculation)
Credit,We found no evidence on credit constraints for chay makers or would-be extruders,credit,not tested,none,VN-direct,Low,inferred,"Clean negative on evidence, not on the constraint"
Research extrusion,An Industrial University of Ho Chi Minh City team published a high-moisture meat analogue study in 2026,technical,weak signal of local extrusion know-how,TIC-21,VN-direct,Low,revealed,Metadata only; location of extrusion unknown
