option,owner_agency,precedent,effort,impact,notes,source_ids,evidence_label,confidence
Insert a defined 'new food / new food ingredient' category with a proportionate pre-market notification or assessment and a public positive list into the revised Food Safety Law (October 2026 session) or its implementing decree,"MOH/VFA; National Assembly Committee for Science, Technology and Environment","Singapore FSSA 2025 novel food approval (VN-adjacent, verified); EU Reg 2015/2283, Thailand MOPH Notification 376 (2016) (not re-verified)",high,high,"One-off window; must be WTO-notified; risk of creating a slow gate, so pair with timelines and reliance",REG-01;REG-12;REG-14;REG-63,VN-direct,Medium
Define in the implementing decree what 'new-technology food not yet permitted for circulation' (Law 55/2010 Art 55(1)(c)) means and how permission is obtained,MOH/VFA,None in VN; Decree 15/2018 registration mechanics could be reused,med,high,"Removes the main enforcement-discretion risk for fungal, algal and PF foods",REG-01;REG-02,VN-direct,High
"Reliance fast-track: accept approvals from reference regulators (Singapore SFA, US FDA GRAS no-questions, EU, FSANZ) for new food ingredients",MOH/VFA,Decree 43/2026 fast-track for GMOs approved in >=5 developed OECD/G20 countries; Decree 15/2018 accepts foreign free-sale certificates,med,high,Low domestic assessment burden,REG-18;REG-23;REG-02,VN-direct,Medium
Joint MAE-MOH guidance on GMO status of purified precision-fermented proteins and enzymes (food-use certificate needed or not; 5% labelling; Art 37a closed-production certificate timelines),MAE Department of Nature Conservation and Biodiversity; MOH/VFA,Decree 43/2026 definitions; EU distinction between food produced 'with' and 'by' GMOs (not re-verified),low,high,Single most important clarification for PF investment,REG-18;REG-19,VN-direct,Medium
"Add candidate protein materials (bacterial SCP, fungal biomass, cassava-pulp microbial protein) to the livestock and aquafeed permitted lists at the next annual update, based on foreign authorisations",MAE DLPAH (livestock); DFFI (aquafeed),Circular 31/2022 added yeast types and amino-acid by-products; Circular 21/2019 Art 6 annual update,low,med,Can avoid trials for materials already authorised abroad,REG-32;REG-33;REG-40,VN-direct,High
"Publish a standard trial protocol for novel protein feed ingredients (poultry, pigs, whiteleg shrimp, pangasius) and fund public trials so results qualify under the state-research exemption","MAE (DLPAH, DFFI); MOST; research institutes",Law on Animal Husbandry Art 37(2) exemption for recognised state research results,med,high,Converts private trial cost into a public good; shortens time to list,REG-29;REG-34;REG-48,VN-direct,Medium
Provincial one-stop desk and published target timelines for feed and aquafeed procedures now decentralised,"Provincial People's Committees and Departments of Agriculture and Environment (e.g. Dong Nai, Ho Chi Minh City, Can Tho)",Decree 136/2025 and Decree 32/2026 decentralisation,low,med,Provinces compete for investment; low cost,REG-41;REG-35,VN-direct,High
"Use the Law on STI controlled-testing mechanism for supervised market pilots of novel foods (e.g. PF dairy proteins, cultivated seafood tastings)",MOST with MOH,Law 93/2025 Art 21-23; Resolution 57-NQ/TW mandate; Korea regulation-free special zones (not re-verified),med,med,Needs an implementing decree or ministerial decision naming the approving body,REG-48;REG-50,VN-direct,Medium
"Name alternative and novel protein ingredients for food and feed explicitly in biotech programmes (Resolution 189/NQ-CP tasks, Decision 429 follow-up) and the next high-tech product list update",MOST; MAE; MOH,"Decision 23/2026 already lists recombinant proteins (item 60, 92) and microbial products (item 100)",low,med,Tax certainty and programme funding eligibility,REG-47;REG-52;REG-53,VN-direct,High
Clarify high-tech certification criteria so PF and biomass fermentation plants qualify for CIT 10% for 15 years and 4+9 year holidays,MOST; MOF,CIT Law 67/2025 Art 12-14; Decision 23/2026,low,med,Decree 320/2025 criteria not yet read,REG-45;REG-47,VN-direct,Medium
Simplified ABS procedure and model material transfer and benefit-sharing contracts for public microbial culture collections,"MAE (biodiversity); VAST, VNU, FIRI collections",Decree 59/2017; Law 146/2025 Art 57 restructuring,low,med,Lowers friction for startups using Vietnamese strains,REG-60;REG-43,VN-direct,Medium
"Labelling guidance for plant-based and fermentation-based analogues (use of 'chay', 'thuc vat', 'sua hat', qualifiers)",MOST (labelling decree owner) with MOH,Decree 43/2017/111/2021 silent; foreign rules differ (EU dairy terms; Singapore qualifiers) (not re-verified),low,low,Pre-empts disputes; low priority now,REG-26,VN-direct,Low
Transition rules in the new Food Safety Law: grandfather existing self-declarations and set realistic deadlines,MOH/VFA,EuroCham submission; Decree 46/2026 disruption (port congestion),low,med,Avoids repeat of Jan-Feb 2026 disruption,REG-08;REG-13,VN-direct,Medium
Vietnam to co-lead ASEAN work on common principles and reliance for novel foods,MOH; MOST (ASEAN ACCSQ),ASEAN harmonised cosmetics regime (background); Singapore framework,high,med,ASEAN status not verified this wave,REG-63,general,Low
