line_id,question_ids,line,kind,method,closable_by_desk_now,result_that_would_change_a_conclusion,conclusion_or_recommendation_affected,priority,notes
AIS-L01,AIS-Q02; AIS-Q03; AIS-Q09; AIS-Q23,"Priced offer test: send a one-page specification and indicative price (at Chinese landed parity) for domestic textured protein, a rice or mung bean isolate and a 20 to 30% meat extender to 10 to 15 named buyers (5 chay makers, 3 processors, 3 plant-milk makers, 2 caterers); ask for a conditional trial order or letter of intent; record yes or no, price objections, minimum order, documents and qualification steps.",different-kind,"Calls and field outreach with a partner producer (a revealed commitment, not a survey)",no,Three or more conditional orders at or near Chinese parity keep T1 at market pull 5 and give investors the offtake evidence they ask for; fewer than one returns T1 to 4 and softens 'T1 and T10 are where demand evidence is strongest'.,ch29.3 T1 and T10 scores; brief-investors demand section; ch26.7 first customers,High,"Also yields qualification time and minimum orders (OQ-233), the founder's biggest unknown."
AIS-L02,AIS-Q01; AIS-Q12; AIS-Q25,"Investor-grade unit-economics card for a 1 t per hour textured-protein line and a pulse-isolate line: quoted extruder and isolate-plant capex, input prices, landed Chinese and ASEAN competitor prices including preferential duty, gross margin at parity, working capital for lunar peaks, payback.",different-kind,"Desk (supplier catalogues and quotes, customs tariff lookup for MFN, ACFTA and ATIGA, Part I ch09 cost stack) plus two vendor calls",yes,"Gross margin under about 15% at Chinese parity, or payback over 7 years, makes T1 a strategic or debt-financed incumbent project, not a venture thesis; the brief should then point founders to co-packing or chay-maker backward integration.",brief-investors theses table and short version; ch28.6 investors bullet; Part I ch11 T1,High,Closes the gap between Part VI's demand upgrade of T1 and the unverified capex in Part I.
AIS-L03,AIS-Q01; AIS-Q06; AIS-Q25,"Revealed non-entry: why has nobody built a food-grade textured-protein line in Vietnam despite about 40,000 t of food-grade plant-protein imports and Chinese extruders marketed locally? Interview 3 chay makers, 2 extruder vendors and 1 Thai or Malaysian maker (for example Growthwell's Johor plant) on make-or-buy.",different-kind,Calls plus desk tariff and supplier checks,partly,"If the reason is cost (duty-free imports below domestic cost), T1 is downgraded; if it is scale or capital for owner-managed firms, T1 stands and a co-investment structure with chay makers is the recommendation.",ch29.3 T1; ch26.8 startups and investors bullets,High,Asks why the market has not already done what Part VI recommends.
AIS-L04,AIS-Q07; AIS-Q13; AIS-Q18; AIS-Q21; AIS-Q24,"Firm-level base-rate register of alternative-protein startups that entered, tested or left Vietnam and Southeast Asia 2019 to 2026 (VMEAT, Emmay, Kashew, Ong Tempeh, INNOHAS, OmniFoods, TiNDLE, Green Rebel, Growthwell, Karana, Meatiply, Float Foods, Avant, Umami, Vow, GOOD Meat, Beyond Meat Asia): first channel, revenue mix, funding, status (active, pivot, exit) and stated reason.",different-kind,"Desk (press, company pages, registries) plus 3 to 5 founder calls",yes,"If B2B or foodservice-first firms survive or raise at clearly higher rates than brand-first firms, Part VI's 'win a first business customer before building a brand' gains revealed support; if not, it should be softened.",ch25.7; ch29.6 startups; launches_exits.csv,High,Firm outcomes rather than consumer attitudes; most inputs gathered in this wave.
AIS-L05,AIS-Q06; AIS-Q11; AIS-Q19,"Competitor price scan inside the B2B channels Part VI recommends: HoReCa platforms (Kamereo and others), ingredient distributors (VMC, TDGIMEX, Brenntag, Barentz, ACC) and imported chay (CP Meat Zero, Malaysian and Taiwanese brands); record VND per kg and per 100 g of protein.",different-kind,"Desk (platform listings, distributor catalogues) plus mystery-shopper quotes",partly,"If imported chay and yeast-protein suppliers already serve HoReCa and makers at or below domestic cost, TPP-02, TPP-04 and TPP-06 face import competition and the channel table needs a competitor price column.","ch25.6 channel table; ch26.2 price ladder; TPP-02, TPP-04, TPP-06",High,
AIS-L06,AIS-Q15; AIS-Q16; AIS-Q14,"Map each target product profile to DFI and climate-VC impact screens: meat protein displaced, CO2e per tonne, jobs, women-led SMEs (chay makers), nutrition reach; compare with ADB Ventures' 80% climate and 75% gender targets and IFC's feed rationale.",different-kind,"Desk (Part VI model outputs, published LCA factors, screen criteria)",yes,"If import substitution scores near zero on displacement and small on CO2e, DFI first-loss and concessional money should target hybrids, canteens and feed (T2), not T1.",brief-investors 'What would make this more investable'; ch28.6,High,
AIS-L07,AIS-Q04; AIS-Q19,"Acquirer appetite scan: annual reports and deal records 2020 to 2026 of Masan, Vissan, C.P. Vietnam, CJ, Vinamilk, Vinasoy, Acecook, Ajinomoto, Thai Union and Monde Nissin for acquisitions, CVC deals, write-downs and stated alternative-protein strategy.",different-kind,Desk,yes,No regional acquisition of an ingredient startup and retreating strategics would replace 'Exits are trade sales' with PE-plus-strategic joint ventures or backward integration by buyers.,brief-investors short version; Part I ch07,Medium,
AIS-L08,AIS-Q05; AIS-Q20,"Private-label interviews: Bach Hoa Xanh, WinCommerce and Saigon Co.op private-label managers, and two EU importers, on chay and protein private-label specifications, volumes, margins and approved suppliers.",different-kind,Calls,no,"If Vietnamese retailers commission chay private label at scale, OEM supply becomes a founder route and a target product profile; if not, keep brand-light B2B ingredients.",ch29.2 target product profiles; ch25.6,Medium,
AIS-L09,AIS-Q21; AIS-Q12,"Investor threshold calls with 8 to 10 named investors (Better Bite, Big Idea, AgFunder, Openspace, VinaCapital or HCM VIF, Mekong, Do Ventures, ADB Ventures, IFC): is Vietnam in mandate, what demand proof unlocks seed and Series A, ticket sizes, domicile preference.",different-kind,Calls,no,"If none will fund a Vietnam-only ingredient business before revenue, the startup brief should recommend revenue-first growth with co-packers and strategic partners, and a Singapore holding only when exporting.",brief-startups 'Money'; brief-investors 'Who else is here',Medium,
AIS-L10,AIS-Q11; AIS-Q22,"Supplier-side pilot tracking: ask ACC (Angel Yeast's partner) and two other distributors which Vietnamese makers have sampled or trialled yeast, fungal or pulse proteins since 2025, in which applications and at what price.",different-kind,Calls; desk for distributor news pages,partly,Named Vietnamese trials would replace the ch26.6 clean negative and raise T9 market pull; none keeps T9 at 2.,ch26.6; ch29.3 T9,Medium,
AIS-L11,AIS-Q17; AIS-Q12,"Monthly trade seasonality: use monthly partner or Vietnamese customs data for HS 2106.10, 3504 and 1109 to Vietnam, 2019 to 2025, to test for peaks before the 1st and 7th lunar months.",different-kind,Desk (monthly trade data),yes,"Clear pre-peak spikes give founders working-capital and launch-timing advice and indicate the food share of imports (feed has no lunar cycle), a partial answer to the food-feed split behind the 26,000 t protein pool.",ch22.2; ch26.1 food-feed caveat; ch28 R1 sizing; brief-startups,High,Cheaper than declaration-level data (DMV-02) for a first cut.
AIS-L12,AIS-Q08,"Foodservice procurement interviews with 5 chains (hotpot, com tam, banh mi, cafe, quick service) and requests for sales data on past meat-free items (Lotteria Burger Zero Meat, KFC chay).",deeper,Calls,no,Repeat sales at parity would rank foodservice above the frozen chay aisle for startups.,ch25.2; ch25.6,Medium,Extends OQ-217.
AIS-L13,AIS-Q10,"Read Vinh Hoan's 2024 and 2025 annual reports and notes for Vinh Technology, Avant and Shiok or Umami holdings (carrying value, impairment) and check Minh Phu's MOU.",deeper,Desk,yes,Written-down or silent stakes remove Vinh Hoan and Minh Phu as 'domestic strategic co-investors' in ch24.6 and T8.,ch24.1; ch24.6; T8,Low,Closes OQ-206.
AIS-L14,AIS-Q20,"Interview Emmay's UK distributor and one Asian plant-food exporter on what EU and UK buyers require from small Asian suppliers (price, certification, minimum order).",deeper,Calls,no,Shows whether TPP-08 is open to small Vietnamese makers or only to large co-packers.,TPP-08; ch27.6,Low,Complements DMV-11.
