record_id,driver,system_affected,metric,value,unit,horizon_year,scenario,foresight_type,source_ids,evidence_label,confidence,notes
CI-01,Warming,National climate,Annual mean temperature increase vs 1986-2005,1.2 to 1.7,deg C,2050 (mid-century),RCP4.5 (national 2020 scenario),projection,CLM-08,VN-direct,High,Quoted in NDC 2022; end-century 1.6 to 2.4 C.
CI-02,Warming,National climate,Annual mean temperature increase vs 1986-2005,1.7 to 2.3,deg C,2050 (mid-century),RCP8.5 (national 2020 scenario),projection,CLM-08,VN-direct,High,End-century 3.2 to 4.2 C.
CI-03,Warming,National climate,Temperature increase by end-century (preliminary 2025 scenario runs),2 to 3.7,deg C,2100,SSP3-7.0 (UK Met Office regional runs),projection,CLM-11,VN-direct,Low,Preliminary number from July 2025 consultation press report; final 2025 scenario not confirmed published.
CI-04,Sea-level rise,Coast,Mean sea-level rise along the coast,73 (49 to 103),cm,2100,"High scenario (national 2020 scenario, RCP8.5)",projection,CLM-08,VN-direct,High,2050 value not quoted in sources read.
CI-05,Sea-level rise,Global reference,Global mean sea-level rise vs 1995-2014 (likely range),0.44 to 0.76,m,2100,SSP2-4.5 (IPCC AR6),projection,CLM-28,general,High,SSP1-2.6: 0.32 to 0.62 m; SSP5-8.5: 0.63 to 1.01 m.
CI-06,Sea-level rise,Mekong Delta,Share of delta at risk of permanent flooding at 100 cm rise,47.3,%,2100 (conditional on 100 cm),100 cm rise (national 2020 scenario),projection,CLM-08,VN-direct,Medium,CCDR: almost half the delta inundated at 75 to 100 cm above 1980-99.
CI-07,Land elevation,Mekong Delta,Mean delta plain elevation above local sea level,0.8,m,2019 (measured),n/a,trend,CLM-12,VN-direct,High,Earlier global DEMs implied about 2.6 m; impact studies using them understate exposure.
CI-08,Subsidence,Mekong Delta,Average groundwater-extraction-induced subsidence rate,1.1 (over 2.5 in places),cm per year,about 2015,Best-estimate model,trend,CLM-13,VN-direct,High,About 10 times current global sea-level rise; about 18 cm cumulative over 25 years.
CI-09,Subsidence,Mekong Delta,Cumulative extraction-induced subsidence 2018 to 2100,100 (86 to 110),cm,2100,B2: groundwater extraction keeps growing,projection,CLM-14,VN-direct,High,B1 (slower growth) 68 cm.
CI-10,Subsidence,Mekong Delta,Cumulative extraction-induced subsidence 2018 to 2100,12 to 39,cm,2100,M1 to M4: mitigation pathways,projection,CLM-14,VN-direct,High,Shows groundwater policy is the main lever on delta elevation.
CI-11,Salinity,Mekong Delta,Increase in salinity-affected area from subsidence and riverbed incision,10 to 27,%,about 2050 (next three decades from 2021),Anthropogenic scenarios (M2/B2 subsidence; RB1/RB3 incision),projection,CLM-15,VN-direct,Medium,Relative to present-day.
CI-12,Salinity,Mekong Delta,Additional increase in salinity-affected area from sea-level rise,6 to 19,%,about 2050,RCP4.5 and RCP8.5,projection,CLM-15,VN-direct,Medium,Climate change alone adds 2 to 2.5 ppt salinity in coastal provinces by 2040.
CI-13,Salinity,Mekong Delta,"Area affected by salinity intrusion, 2019-2020 dry season","1,688,600 (42.5% of delta)",ha,2020 (observed),n/a,trend,CLM-37,VN-direct,Medium,"Worst event on record; 26,000 ha winter-spring rice fully lost; 8,715 ha aquaculture damaged; 96,000 households short of water."
CI-14,Salinity,Rice,Rice area at risk in 2023-2024 dry season,"1,580",ha,2024 (observed),n/a,signal,CLM-36,VN-direct,Medium,Far lower than 2020 thanks to earlier sowing and sluices; signal of adaptive capacity.
CI-15,Heat,Labour and outdoor work,Trend in annual maximum daily WBGT,0.3,deg C per decade,2050 (trend 1985 to 2100),SSP2-4.5,projection,CLM-16,VN-direct,Medium,"0.2 (SSP1-2.6), 0.4 (SSP5-8.5). Two-GCM RegCM4 ensemble."
CI-16,Heat,Mekong Delta,Extra days per year with daily max WBGT above 32 C,under 60,days per year,2030 (2021-2040),All three SSPs,projection,CLM-16,VN-direct,Medium,"Far future (2081-2100): 90 to 120 (SSP2-4.5), over 150 (SSP5-8.5)."
CI-17,Heat,Fermentation cooling,"Rise in design wet-bulb temperature, 2026 to 2050",0.5 to 1.0,deg C,2050,SSP1-2.6 to SSP5-8.5 (via WBGT trends),estimate,CLM-16; CLM-38,VN-direct,Low,Our proxy: WBGT maximum trend applied to design wet-bulb. Baseline design wet-bulb 27 to 28 C unverified.
CI-18,Heat,Fermentation cooling,Added chilled-water penalty from warmer design wet-bulb,1 to 6,USD per t dry biomass,2050,SSP1-2.6 to SSP5-8.5,estimate,CLM-16; COST-50; COST-51,VN-direct,Low,On a base penalty of USD 70 to 180 per t; assumes 2 to 4% more compressor power per K of condenser water; constant power price.
CI-19,Carbon price,Fermentation cooling,Carbon cost of the cooling electricity penalty at today's grid factor,13 to 26 (at USD 29/t); 42 to 80 (at USD 90/t),USD per t dry biomass,2030 and 2040,CCDR recommended carbon tax path; grid factor 0.66 tCO2/MWh,estimate,CLM-18; COST-08,VN-direct,Low,Falls to USD 2 to 12 per t at 0.1 tCO2/MWh (largely renewable power).
CI-20,Heat,"Livestock (all species, outdoor)",Extreme heat-stress days and share of animals affected,about 3 times SSP1-2.6 level,ratio,2050,SSP5-8.5 vs SSP1-2.6,projection,CLM-22,general,Medium,THI-based; outdoor animals; closed houses differ. Global cattle example: 8 days (2000) to 19 (SSP1-2.6) and 24 (SSP5-8.5) by 2050.
CI-21,Climate change (unspecified),Pigs,Pig headcount change,-8.2,%,not stated,not stated,projection,CLM-08,VN-direct,Low,NDC 2022 sentence gives no year or scenario.
CI-22,Climate change,Rice,Yield change,-8.8 (2030); -15.1 (2050),%,2030; 2050,not stated in quoted sentence (national assessment),projection,CLM-08,VN-direct,Medium,Conflicts in direction with GGCMI gains for parts of Asia; see disagreements.
CI-23,Climate change,Maize (domestic),Yield change,-18.7 (2030); -32.9 (2050),%,2030; 2050,not stated in quoted sentence,projection,CLM-08,VN-direct,Medium,Domestic maize already covers only about a quarter of supply.
CI-24,Flooding,Aquaculture,Farmed aquatic output at risk of flood loss each year,1.1 (USD 935 million),million t,current and future (not dated),n/a,projection,CLM-08,VN-direct,Medium,NDC 2022 adaptation section.
CI-25,Sea-level rise and salinity,Pangasius,All 2009 striped catfish farm sites face 2 m flood levels,100,% of farm sites,conditional on +50 cm SLR (after 2050 under most scenarios),SLR +50 cm,projection,CLM-20,VN-direct,Medium,"At +75 cm salinity shortens grow-out in former Soc Trang (now Can Tho), former Ben Tre (now Vinh Long) and coastal former Tien Giang (now Dong Thap)."
CI-26,Heat and drought,"Maize imports (US, Brazil, Argentina, Ukraine)",Probability of simultaneous production losses above 10% in a year,7 (2 C); 86 (4 C),%,2 C warming about 2040s; 4 C late century,Global warming levels,projection,CLM-24,general,High,Published probabilities; near zero today. No heat-tolerance breeding assumed.
CI-27,Warming,Global maize,End-century mean yield change,-6 (SSP1-2.6); -24 (SSP5-8.5),%,2100,"GGCMI phase 3, CMIP6",projection,CLM-25,general,High,Impacts emerge before 2040 in several main producing regions.
CI-28,Warming,"Soybean (US, Brazil)",Direction of yield change,"peak mid-century then decline; greatest losses in US, Brazil, Southeast Asia",qualitative,2050 to 2100,SSP1-2.6 and SSP5-8.5,projection,CLM-25,general,Medium,Wide crop-model spread; CO2 fertilisation (median +48% for soybean by 2099) is key uncertainty.
CI-29,Warming,Soybean and maize (Brazil),Production location,shift towards subtropical south; production falls in Matopiba,qualitative,2050,GLOBIOM-Brazil climate scenarios,projection,CLM-26,general,Medium,Abstract-level evidence.
CI-30,ENSO,Fishmeal (Peru anchoveta),Frequency of extreme El Nino events,about doubles (1 in 20 to 1 in 10 years),events per year,21st century,CMIP3/CMIP5 high emissions,projection,CLM-27,general,Medium,Contested for CMIP6; AR6: ENSO rainfall variability very likely amplified in 2050-2100 under SSP2-4.5 and above (CLM-28).
CI-31,Ocean warming and stratification,Fishmeal (Peru anchoveta),Small pelagic recruitment capacity,reduced,qualitative,late century (2xCO2 and 4xCO2),Idealised CO2 scenarios,projection,CLM-29,general,Low,Model study; not dated to 2050.
CI-32,Plant disease,Cassava,"Root-yield loss when infected cuttings are planted (CMD, SLCMV)",16 to 33,%,2019-2020 (observed),n/a,trend,CLM-30,VN-direct,Medium,Present in Vietnam since 2017; whitefly vector ranges projected to expand with warming (CLM-31).
CI-33,Upstream dams,Mekong Delta sediment,Sediment trapped before reaching the delta at full dam build-out,about 96,%,2040 to 2060 (full build-out),"140 dams (7 Chinese mainstem, 133 Lower Mekong)",projection,CLM-32,VN-adjacent,Medium,Figure recalled from abstract; retrieved abstract truncated.
CI-34,Climate damages,Economy,Annual economic losses from climate change,12 to 14.5,% of GDP,2050,World Bank CCDR modelled scenarios,projection,CLM-18; CLM-19,VN-direct,Medium,3.2% of GDP (USD 10 billion) lost in 2020.
