source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
BUY-01,"UN Comtrade Database, public API (comtradeapi.un.org/public/v1/preview/C/A/HS), Vietnam-reported annual imports from World (reporter 704, partner 0, motCode 0, customsCode C00) for HS 350400, 210610, 110900, 040410, 040490, 350110, 350190, 350220, 350211, 350219, 040811, 040891 and 350300, 2019 to 2025. Queried by AltProtein Vietnam on 24 Sep 2026. https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&partnerCode=0&flowCode=M","Vietnam imports of protein ingredients by HS code, 2019 to 2025 (Vietnam-reported)",United Nations Statistics Division (UN Comtrade),2019 to 2025 data; queried 2026-09-24,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&partnerCode=0&flowCode=M,,database,2026-09-24,"All quantities flagged isNetWgtEstimated=true and isReported=false by UN Comtrade, so Vietnam tonnages are estimates; values are CIF and more reliable. Vietnam had not reported 2024 or 2025 at query time. Same underlying data as supply study RGN-45, RGN-46, FORM-02, FORM-03 for 2023."
BUY-02,"UN Comtrade Database, public API, partner-reported (mirror) exports to Vietnam (all reporters, partner 704, flow X, motCode 0, customsCode C00) for the same HS codes, 2019 to 2025. Queried 24 Sep 2026. https://comtradeapi.un.org/public/v1/preview/C/A/HS?partnerCode=704&flowCode=X","Exports to Vietnam of protein ingredients by reporter, 2019 to 2025 (mirror data)",United Nations Statistics Division (UN Comtrade),2019 to 2025 data; queried 2026-09-24,https://comtradeapi.un.org/public/v1/preview/C/A/HS?partnerCode=704&flowCode=X,,database,2026-09-24,"FOB export values and mostly reported quantities. 2025 may be incomplete for some reporters. One clear data error (Malaysia HS 210610, 2025: 19,803 t for USD 0.33 million) excluded. Same underlying data as supply study RGN-47 to RGN-50, FORM-05, FORM-07 for China 2023 and 2024."
BUY-03,"World Instant Noodles Association (WINA). Demand Rankings table, unit million servings, 2021 to 2025, updated 6 Aug 2026; and Global Demand TOP 15 page (Vietnam flavour notes). https://instantnoodles.org/en/noodles/demand/table/ ; https://instantnoodles.org/en/noodles/demand/ranking/","Demand Rankings (instant noodles), 2021 to 2025",World Instant Noodles Association,6 Aug 2026,https://instantnoodles.org/en/noodles/demand/table/,,industry report,2026-09-24,"Industry association estimates; Vietnam 8,231 million servings in 2025."
BUY-04,"VISSAN (Vietnam Livestock Technology JSC). Bao cao thuong nien 2025 (Annual Report 2025), bilingual PDF, 153 pages, published 2026. https://www.vissan.com.vn/images/2026/7._cbtt_bctn_2025_website.pdf",Annual Report 2025,VISSAN,2026,https://www.vissan.com.vn/images/2026/7._cbtt_bctn_2025_website.pdf,,company,2026-09-24,"Primary company filing: 2025 revenue, processed food tonnage, 2026 plan, plant capacities. Text layer searched; image-only pages not searched."
BUY-05,"Vissanmart (VISSAN online shop). Product pages in categories Xuc xich tiet trung, Gio cac loai, Do hop and Thit nguoi (118 SKUs, 84 with published ingredient lists), read 24 Sep 2026. https://vissanmart.com/thuc-pham-che-bien.html",Vissanmart processed food product pages,VISSAN,accessed 2026-09-24,https://vissanmart.com/thuc-pham-che-bien.html,,company,2026-09-24,Label evidence of protein ingredients used by a major meat processor. Full SKU list in data_vissan_label_audit.csv. Same site as supply study ECO-31 (chay page).
BUY-06,"VISSAN. VISSAN to chuc Dai hoi dong co dong thuong nien nam 2025 (news), 2025. https://www.vissan.com.vn/tin-tuc/hoat-dong-truyen-thong/vissan-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2025.html",VISSAN to chuc Dai hoi dong co dong thuong nien nam 2025,VISSAN,2025,https://www.vissan.com.vn/tin-tuc/hoat-dong-truyen-thong/vissan-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2025.html,,company,2026-09-24,"2024 results: revenue VND 3,182 billion, processed food more than 20,000 t; 2025 plan."
BUY-07,"Volza. Soy Protein Isolate imports in Vietnam (shipment data summary and sample rows), data current to Sep 2026. https://www.volza.com/p/soy-protein-isolate/import/import-in-vietnam/",Soy Protein Isolate Imports in Vietnam,Volza (commercial trade-data vendor),accessed 2026-09-24,https://www.volza.com/p/soy-protein-isolate/import/import-in-vietnam/,,database,2026-09-24,Read via fetch tool summary only (site blocks direct download). Keyword-matched shipments include finished sports supplements; treat as indicative. Low.
BUY-08,Volza. Soy Protein Isolate buyers in Vietnam (buyer list with shipment counts). https://www.volza.com/p/soy-protein-isolate/buyers/buyers-in-vietnam/,Soy Protein Isolate buyers in Vietnam,Volza,accessed 2026-09-24,https://www.volza.com/p/soy-protein-isolate/buyers/buyers-in-vietnam/,,database,2026-09-24,Buyer names include sports-supplement importers and Brenntag Vietnam. Keyword matching is noisy. Low.
BUY-09,"Volza. Pea Protein imports in Vietnam (summary and sample shipments), data current to 1 Jan 2026. https://www.volza.com/p/pea-protein/import/import-in-vietnam/",Pea Protein Imports in Vietnam,Volza,accessed 2026-09-24,https://www.volza.com/p/pea-protein/import/import-in-vietnam/,,database,2026-09-24,Sample rows declare HS 35040000. Summary via fetch tool only. Low.
BUY-10,CafeF. Loi nhuan 2025 gap gan 25 lan: Masan MEATLife buoc vao chu ky tang truong moi. 5 Feb 2026. https://cafef.vn/loi-nhuan-2025-gap-gan-25-lan-masan-meatlife-buoc-vao-chu-ky-tang-truong-moi-188260205131444831.chn,Loi nhuan 2025 gap gan 25 lan: Masan MEATLife buoc vao chu ky tang truong moi,CafeF,5 Feb 2026,https://cafef.vn/loi-nhuan-2025-gap-gan-25-lan-masan-meatlife-buoc-vao-chu-ky-tang-truong-moi-188260205131444831.chn,,press,2026-09-24,"Company-sourced results and strategy ('nen tang dam tieu dung', consumer protein platform). Promotional tone."
