source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
XBA-01,Ahold Delhaize. Annual Report 2025: Sustainability statements (PDF). 2026.,"Annual Report 2025, sustainability statements",Ahold Delhaize,2026,https://media.aholddelhaize.com/media/wfmdnqo0/sustainability-statements-annual-report-2025.pdf,,company,2026-09-25,"European brands' consolidated target of 50% plant-based food sales by 2030; plant-based share of protein sales 45% in 2025; Albert Heijn 15-product hybrid range (2025), performance mixed; Vietnam named only as a coffee risk origin."
XBA-02,Lidl Nederland. Eiwittransitie (protein transition) web page. Accessed 25 Sep 2026.,Eiwittransitie,Lidl Nederland,undated,https://corporate.lidl.nl/duurzaamheid/klimaat-beschermen/eiwittransitie,,company,2026-09-25,"60% plant protein sales by 2030 (Eiweet method), 43.1% in 2024 and 42.7% in 2023; WWF method 25.84% (2024) against 35% by 2030; plant dairy 3.31% against 10%; 60/40 beef and pea mince; price parity on about 30 plant basics; 50% plant promotions target by end 2025 'too ambitious'."
XBA-03,Lidl Nederland. Gezondheid bevorderen web page. Accessed 25 Sep 2026.,Gezondheid bevorderen,Lidl Nederland,undated,https://corporate.lidl.nl/duurzaamheid/gezondheid-bevorderen,,company,2026-09-25,"Lidl International target: 20% more sales of plant proteins, whole grains and fruit and vegetables in 2030 than 2023, in all 31 countries."
XBA-04,"Lidl Nederland. Inkoopbeleid bewuste voeding (purchasing policy on conscious nutrition), PDF. Accessed 25 Sep 2026.",Inkoopbeleid bewuste voeding Lidl Nederland,Lidl Nederland,undated,https://corporate.lidl.nl/content/download/72179/fileupload/Inkoopbeleid%20bewuste%20voeding%20Lidl%20Nederland.pdf,,company,2026-09-25,"Suppliers certified to IFS or BRC, with annual independent certification audits."
XBA-05,Lidl GB. Healthy and sustainable diets web page. Accessed 25 Sep 2026.,Healthy and sustainable diets,Lidl GB,undated,https://corporate.lidl.co.uk/sustainability/healthy-sustainable-diets,,company,2026-09-25,"Plant-based proteins (legumes, nuts, seeds, vegan alternatives) to be 25% of total protein sales (tonnage) by 2030; plant-based foods up 20% by 2030; Vemondo Plant! range."
XBA-06,"Lidl GB. Human rights: transparency page and 'Tier one food, fruit and vegetables suppliers' list as of 1 April 2026 (PDF, consenting suppliers only). Accessed 25 Sep 2026.","Food, Fruit and Veg 2026 supplier list",Lidl GB,2026-04-01,"https://corporate.lidl.co.uk/content/download/25746/fileupload/Food,%20Fruit%20%26%20Veg%202026.pdf",,company,2026-09-25,"390 supplier entries: 370 Great Britain, 7 Ireland, 4 Netherlands, 2 Germany, one each in Switzerland, Belgium, South Africa, France, Canada, Jersey and Poland (our count). Transparency page: https://corporate.lidl.co.uk/sustainability/human-rights/transparency"
XBA-07,"Lidl. Supplier list: Food, delivery dates 1 January to 31 December 2025 (PDF, linked from the Lidl GB list as 'Lidl International's supplier list'). Accessed 25 Sep 2026.","Supplier list, Food (2025 deliveries)",Lidl (international purchasing),2026,https://info.lidl/de/pdf/show/88501,,company,2026-09-25,"751 supplier entries (our count): Germany 374, Italy 79, Netherlands 58, Spain 38, France 37, Belgium 27, Poland 23, others European plus one each in UAE, Egypt and Turkey; none in Asia. Names Kreyenhop & Kluge (Oyten), Thai Union Trading Europe (Utrecht), Vivera (Holten), Hilcona (Schaan), Biovegan. Redirects to https://info.lidl/de/pdf/show/3968"
XBA-08,"J Sainsbury plc. Plan for Better databook 2025/26 (xlsx), sheet 'Healthy and Sustainable Diets'. Accessed 25 Sep 2026.",Plan for Better databook 2025/26,J Sainsbury plc,2026,https://corporate.sainsburys.co.uk/media/gc1lbqa5/plan-for-better-databook-2025-26.xlsx,,company,2026-09-25,"Protein sales split (Eatwell protein group, WWF basket): plant-based 14% (2022/23), 13% (2023/24), 13% (2024/25), 13% (2025/26); livestock 75% to 77%; dairy alternatives 8% to 7%; plain pulses 3.8% of tonnage (2025/26); no plant-protein target."
XBA-09,J Sainsbury plc. Plan for Better Report 2025/26 (PDF). Accessed 25 Sep 2026.,Plan for Better Report 2025/26,J Sainsbury plc,2026,https://corporate.sainsburys.co.uk/media/pldfss3l/sainsburys-plan-for-better-report-2025-26.pdf,,company,2026-09-25,"2030 health ambition prioritises healthier sales, fibre, fruit and vegetables; 'diversify their protein sources (including more fish and plant-rich options)'; Keen Bean pledge on bean sales by 2028."
XBA-10,J Sainsbury plc. Modern Slavery Statement 2025/26 (PDF). Accessed 25 Sep 2026.,Modern Slavery Statement 2025/26,J Sainsbury plc,2026,https://corporate.sainsburys.co.uk/media/ddfjjcxs/sainsburys-modern-slavery-statement-2025-26.pdf,,company,2026-09-25,"Tier 1 supplier lists for food, general merchandise and clothing published on Open Supply Hub; 603 own-brand food suppliers across 1,103 sites; 61 sourcing countries; top five food supplying countries by sites: UK, Spain, France, Italy, Netherlands; all own-brand tier 1 sites on Sedex."
XBA-11,"Carrefour. 2025 Universal Registration Document (PDF, 27 March 2026). Accessed 25 Sep 2026.",Universal Registration Document 2025,Carrefour,2026-03-27,https://www.carrefour.com/sites/default/files/2026-03/CFR2025_URD_EN_PDF_MEL_270326_0.pdf,,company,2026-09-25,Plant-based alternatives sales EUR 621 million (2024) and EUR 664 million (2025); target raised from EUR 650 million by 2026 to EUR 1 billion by 2030; Carrefour Sensation range 162 vegetarian references in Europe (2025); Carrefour-brand plants IFS or BRC certified (74.8% in 2025) or audited by Carrefour (7.3%).
XBA-12,"Questionmark. Superlist Environment Europe 2026, edition 1, January 2026 (report PDF). Accessed 25 Sep 2026.",Superlist Environment Europe 2026,Questionmark Foundation,2026-01,https://www.thequestionmark.org/download/superlist-report-eu-environment-2026.en.pdf,,advocacy,2026-09-25,"27 European supermarkets. Protein splits 2024: Aldi Sud 56.4%, Lidl Germany 55.3%, Rewe 54% plant-based food in total volume (WWF); protein-rich group: Aldi Sud 13%, Lidl Germany 11%, Sainsbury's 13%, Tesco 9%; Rewe 60% by 2035; Dutch chains 60% by 2030; Tesco goal +300% meat alternatives sales."
XBA-13,"Questionmark. Superlist Environment Europe 2026: background data (xlsx), sheet 'Protein Transition'. Accessed 25 Sep 2026.",Superlist Environment Europe 2026 background data,Questionmark Foundation,2026-01,https://www.thequestionmark.org/download/superlist-environment-europe-2026-background-data-eu-2026.en.xlsx,,advocacy,2026-09-25,"Per-retailer disclosure, target and method assessments (Albert Heijn, Jumbo, Lidl NL: 60:40 by 2030; Aldi Sud and Edeka: no target; Carrefour and Tesco: sales targets only)."
XBA-14,"Questionmark. Superlist Environment the Netherlands 2025 (report PDF, December 2025). Accessed 25 Sep 2026.",Superlist Environment 2025 the Netherlands,Questionmark Foundation,2025-12,https://www.thequestionmark.org/download/superlist-report-nl-environment-2025.en.pdf,,advocacy,2026-09-25,"All six Dutch chains (Albert Heijn, Aldi, Dirk, Jumbo, Lidl, Plus) target 60% plant protein by 2030 and 50% in 2025; share 'changed little since 2023'; hybrids introduced by Albert Heijn, Dirk, Jumbo and Lidl."
XBA-15,ALDI SUD Group. Healthy nutrition focus area web page. Accessed 25 Sep 2026 through a summarising fetch tool.,Healthy nutrition,ALDI SUD Group,undated,https://sustainability.aldisuedgroup.com/focus-areas/healthy-nutrition,,company,2026-09-25,"Aldi UK: plant-based products up to 21% of high-protein sales in 2024 (17% in 2020); Aldi Sud Germany about 1,400 products with vegan labels; 56.4% plant-based. Read through summary only (Medium). Supply chain page (https://sustainability.aldisuedgroup.com/making-change/supply-chains) links no food supplier list."
XBA-16,Marks and Spencer. Interactive Supplier Map web page. Accessed 25 Sep 2026.,Interactive Supplier Map,Marks and Spencer Group,undated,https://corporate.marksandspencer.com/esg/interactive-supplier-map,,company,2026-09-25,"Discloses 100% of first-tier food production sites of M&S own-brand products on Open Supply Hub (contributor 10061); the Open Supply Hub API returned 'Authentication credentials were not provided', so sites were not read."
XBA-17,Otsuka Foods. 生産終了製品 (discontinued products) page. Accessed 25 Sep 2026.,生産終了製品,Otsuka Foods,2026,https://www.otsukafoods.co.jp/product/old/,,company,2026-09-25,Zero Meat demi-glace hamburg: production ended January 2025; Zero Meat sausage: June 2025; Zero Meat ham: July 2025. The former Zero Meat product URL redirects here.
XBA-18,Fuji Oil Holdings. Integrated Report 2025 (PDF). Accessed 25 Sep 2026.,Integrated Report 2025,Fuji Oil Holdings,2025,https://www.fujioilholdings.com/en/pdf/ir/library/integrated_report/fujioil_integrated_report2025_01_en.pdf,,company,2026-09-25,"Soy-based ingredients business: No. 1 in Japan in soy protein ingredients; invested in a textured soy protein plant in Chiba, Japan; transferred a soy protein foods plant in 2024; applications include ham and sausages, frozen and prepared foods, food service and school lunches."
XBA-19,Fuji Oil Holdings. Major group companies web page. Accessed 25 Sep 2026.,Major Group Companies,Fuji Oil Holdings,undated,https://www.fujioilholdings.com/en/about/group/,,company,2026-09-25,"Soy-based ingredient units in Japan, Singapore (Fuji Oil Asia) and China (Tianjin Fuji Protein); no Vietnamese group company listed."
XBA-20,"CJ CheilJedang. CJ제일제당 베트남 키즈나 공장 준공… K-푸드 글로벌 영토확장 전초기지 세웠다 (Vietnam Kizuna plant completed). CJ Newsroom press release, 28 Feb 2022.",CJ제일제당 베트남 키즈나 공장 준공,CJ CheilJedang,2022-02-28,https://cjnews.cj.net/cj%ec%a0%9c%ec%9d%bc%ec%a0%9c%eb%8b%b9-%eb%b2%a0%ed%8a%b8%eb%82%a8-%ed%82%a4%ec%a6%88%eb%82%98-%ea%b3%b5%ec%9e%a5-%ec%a4%80%ea%b3%b5-k-%ed%91%b8%eb%93%9c-%ea%b8%80%eb%a1%9c%eb%b2%8c-%ec%98%81/,,company,2026-09-25,"Kizuna plant, Can Giuoc (then Long An, now Tay Ninh): first 'Global to Global' export base; dumplings, processed rice, kimchi, K-sauces; exports to China, Japan, Southeast Asia, EU, Australia; FSSC 22000 and HACCP; halal line (MUI, JAKIM); automated spring roll forming; export volume to triple by 2025; KRW 30 billion invested, KRW 100 billion by 2025; uses ASEAN and CPTPP tariff benefits."
XBA-21,"CJ CheilJedang. CJ제일제당 '플랜테이블', 국내외 소비자 사로잡았다… 수출 30개국 확대 (PlanTable exports to 30 countries). CJ Newsroom, 28 Nov 2022.",플랜테이블 수출 30개국 확대,CJ CheilJedang,2022-11-28,https://cjnews.cj.net/cj%ec%a0%9c%ec%9d%bc%ec%a0%9c%eb%8b%b9-%ed%94%8c%eb%9e%9c%ed%85%8c%ec%9d%b4%eb%b8%94-%ea%b5%ad%eb%82%b4%ec%99%b8-%ec%86%8c%eb%b9%84%ec%9e%90-%ec%82%ac%eb%a1%9c%ec%9e%a1%ec%95%98/,,company,2026-09-25,About 3 million units in 10 months; exports grew from 10 to 30 countries incl. Germany and UK; V-Label; own TVP; 80% of PlanTable dumpling buyers also bought meat dumplings.
XBA-22,"CJ CheilJedang. 미국을 넘어, 이제 유럽이다!… CJ제일제당, 식품사업 유럽 영토확장 본격화 (Europe strategy). CJ Newsroom, 5 Jul 2022.","미국을 넘어, 이제 유럽이다",CJ CheilJedang,2022-07-05,https://cjnews.cj.net/%eb%af%b8%ea%b5%ad%ec%9d%84-%eb%84%98%ec%96%b4-%ec%9d%b4%ec%a0%9c-%ec%9c%a0%eb%9f%bd%ec%9d%b4%eb%8b%a4-cj%ec%a0%9c%ec%9d%bc%ec%a0%9c%eb%8b%b9-%ec%8b%9d%ed%92%88%ec%82%ac%ec%97%85/,,company,2026-09-25,Europe food sales target KRW 500 billion by 2027; supply bases Mainfrost (Germany) and the Vietnam Kizuna plant; 100% plant-based bibigo dumpling planned for Europe in Q3 2022; Southeast Asian rolls using Cau Tre capability.
