record_id,topic,year,count,complete_set,source_ids,evidence_label,confidence,notes
BT-001,T01 Plant-based meat / meat analogue,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-002,T01 Plant-based meat / meat analogue,2016,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-003,T01 Plant-based meat / meat analogue,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-004,T01 Plant-based meat / meat analogue,2018,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-005,T01 Plant-based meat / meat analogue,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-006,T01 Plant-based meat / meat analogue,2020,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-007,T01 Plant-based meat / meat analogue,2021,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-008,T01 Plant-based meat / meat analogue,2022,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-009,T01 Plant-based meat / meat analogue,2023,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-010,T01 Plant-based meat / meat analogue,2024,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-011,T01 Plant-based meat / meat analogue,2025,3,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-012,T01 Plant-based meat / meat analogue,2026,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-013,T02 Textured / extruded protein,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-014,T02 Textured / extruded protein,2016,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-015,T02 Textured / extruded protein,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-016,T02 Textured / extruded protein,2018,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-017,T02 Textured / extruded protein,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-018,T02 Textured / extruded protein,2020,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-019,T02 Textured / extruded protein,2021,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-020,T02 Textured / extruded protein,2022,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-021,T02 Textured / extruded protein,2023,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-022,T02 Textured / extruded protein,2024,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-023,T02 Textured / extruded protein,2025,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-024,T02 Textured / extruded protein,2026,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-025,T04 Rice protein,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-026,T04 Rice protein,2016,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-027,T04 Rice protein,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-028,T04 Rice protein,2018,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-029,T04 Rice protein,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-030,T04 Rice protein,2020,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-031,T04 Rice protein,2021,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-032,T04 Rice protein,2022,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-033,T04 Rice protein,2023,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-034,T04 Rice protein,2024,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-035,T04 Rice protein,2025,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-036,T04 Rice protein,2026,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-037,T05 Soy protein isolate / concentrate,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-038,T05 Soy protein isolate / concentrate,2016,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-039,T05 Soy protein isolate / concentrate,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-040,T05 Soy protein isolate / concentrate,2018,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-041,T05 Soy protein isolate / concentrate,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-042,T05 Soy protein isolate / concentrate,2020,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-043,T05 Soy protein isolate / concentrate,2021,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-044,T05 Soy protein isolate / concentrate,2022,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-045,T05 Soy protein isolate / concentrate,2023,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-046,T05 Soy protein isolate / concentrate,2024,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-047,T05 Soy protein isolate / concentrate,2025,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-048,T05 Soy protein isolate / concentrate,2026,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-049,T07 Single cell protein,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-050,T07 Single cell protein,2016,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-051,T07 Single cell protein,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-052,T07 Single cell protein,2018,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-053,T07 Single cell protein,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-054,T07 Single cell protein,2020,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-055,T07 Single cell protein,2021,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-056,T07 Single cell protein,2022,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-057,T07 Single cell protein,2023,2,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-058,T07 Single cell protein,2024,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-059,T07 Single cell protein,2025,1,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-060,T07 Single cell protein,2026,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-061,T09 Tempeh OR mycoprotein,2015,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-062,T09 Tempeh OR mycoprotein,2016,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-063,T09 Tempeh OR mycoprotein,2017,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-064,T09 Tempeh OR mycoprotein,2018,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
BT-065,T09 Tempeh OR mycoprotein,2019,0,yes (all records listed and read),BIB-01,VN-direct,Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
