record_id,date,event,actors,category,significance,source_ids,evidence_label,confidence,notes
TL-001,1976,"Site at Vinh Hao (Tuy Phong, former Binh Thuan) chosen for spirulina culture; technology transferred 1979",Prof. Nguyen Huu Thuoc; Institute of Biology; Vinh Hao,microalgae,Oldest continuous non-animal protein biomass production in VN,ECO-52,VN-direct,Low,Company history page; dates are company claims.
TL-002,1999,CJ Group enters Vietnam food market,CJ Foods Vietnam,traditional chay industrial,Korean owner of Cau Tre and bibigo chay lines,ECO-34,VN-direct,Medium,
TL-003,2005,"Thoai An founded (Tan Tao IP, HCMC); later a chay seafood-analogue specialist",Thoai An,traditional chay industrial,Example of SME industrial do chay,ECO-27,VN-direct,Medium,
TL-004,2008,Spirulina Vinh Hao JSC established,Spirulina Vinh Hao JSC,microalgae,Corporatisation of VN's pioneer spirulina site,ECO-52,VN-direct,Medium,
TL-005,2013,Vinh Hao spirulina output reported at nearly 17 t/yr,Spirulina Vinh Hao JSC,microalgae,Only published output figure for the largest VN spirulina site; now 13 years old,ECO-52,VN-direct,Low,Company page; year of figure 2013.
TL-006,2013-05,Vinasoy Bac Ninh plant phase 1 (90 m L/yr) completed,Vinasoy (QNS),plant-based dairy,Scale-up of soy milk in north VN,ECO-42,VN-direct,Medium,
TL-007,2014,"An Nhien Foods (Pham Gia Phat) founded, HCMC; Dai Viet spirulina project launched",An Nhien Foods; Dai Viet Spirulina,traditional chay industrial,,ECO-28; ECO-54,VN-direct,Medium,
TL-008,2014-12,Vinasoy soy milk market share reported at 82.7%,Vinasoy,plant-based dairy,Dominance of one firm in the largest plant-protein food category,ECO-42,VN-direct,Medium,Company-reported.
TL-009,2015-08,"Vinasoy Bac Ninh phase 2 completed; combined 180 m L/yr; over VND 1,280 bn invested",Vinasoy (QNS),plant-based dairy,Largest documented plant-protein food capex in VN,ECO-42,VN-direct,Medium,
TL-010,c.2016,"Cricket One founded (Binh Phuoc, now Dong Nai)",Cricket One,insect (benchmark),First VN insect-protein exporter,ECO-11,VN-direct,Medium,Inferred: 'established 8 years' before Oct 2024.
TL-011,2016,Yukino Foods claims to be first plant-based meat brand in VN,Yukino Foods,plant-based meat,Earliest claimed modern plant-based brand,ECO-15,VN-direct,Low,Single blog claim.
TL-012,2017,Emmay formalised as a company (HCMC); VAST transfers spirulina technology to VN Vastcom (Nghe An),Emmay; VN Vastcom; VAST,mushroom/mycelium,First mycelium-based VN brand; public-to-private algae tech transfer,ECO-13; ECO-14; ECO-53,VN-direct,Medium,
TL-013,2018,Cay De Food begins VMEAT plant-based meat R&D (VND 3 bn over 2 years),Cay De Food (VMEAT),plant-based meat,Early domestic modern plant-based venture,ECO-17; ECO-19,VN-direct,Low,
TL-014,2018-03-17,TH launches TH true NUT nut milks (with fresh cow milk and dates),TH Group,plant-based dairy,Premium hybrid nut-milk category opened,ECO-45,VN-direct,Medium,
TL-015,2019,"Entobel's first VN plant (Dong Nai, 1,000 t/yr insect meal) operational",Entobel,insect (benchmark),First industrial insect-protein plant in VN,ECO-02; ECO-03,VN-direct,High,
TL-016,2019-06,"OmniPork Asian expansion roadmap (SG, TW, TH, CN) excludes Vietnam; ASF in VN cited as opportunity",OmniFoods (Green Monday),plant-based meat,VN not a priority market for regional brands,ECO-21,VN-adjacent,Medium,
TL-017,2019-08-17,"BiaCraft introduces Beyond Burger in 3 HCMC venues, claiming first in VN",BiaCraft; Beyond Meat,plant-based meat,First documented modern imported plant-based meat in VN HoReCa,ECO-16,VN-direct,Medium,
TL-018,2019,"Dai Viet spirulina main facility completed (Lang Son, Thanh Hoa; 50,000 m2 claimed)",Dai Viet Spirulina,microalgae,Largest claimed spirulina area in VN,ECO-54,VN-direct,Low,
TL-019,2020,Kashew Cheese founded (HCMC); Is It Meat? founded; Bien Phuong enters plant-based seafood (mid-2020),Kashew; Is It Meat?; Bien Phuong,plant-based dairy,COVID-era wave of micro-startups,ECO-49; ECO-15; ECO-19,VN-direct,Medium,
TL-020,2020-11-23,Cricket One raises 7-figure USD pre-Series A (lead Corecam Capital) and launches cricket patties,Cricket One; Corecam Capital; Masik Enterprises,insect (benchmark),First disclosed VC round in VN alt protein,ECO-07,VN-direct,Medium,Amount undisclosed.
TL-021,2020-12-25,Xuan Hong (Tay Ninh) cassava starch plant (100 t/day) caught bypassing wastewater treatment,Xuan Hong Food Processing,ingredient supplier,Corrects prior lead that listed Xuan Hong as a chay maker,ECO-39,VN-direct,Medium,
TL-022,2021-01-25,"Vinh Hoan acquires Vinh Technology Pte Ltd, holder of a minority stake in Avant (cultivated fish)",Vinh Hoan; Avant,cultivated,First VN corporate investment in cultivated seafood,ECO-58; ECO-59,VN-direct,High,Amount undisclosed.
TL-023,2021 (reported 2021-08-18),Vinh Hoan joins Shiok Meats Series B (about USD 18 m round) with CJ CheilJedang and others,Vinh Hoan; Shiok Meats,cultivated,VN seafood exporter as strategic investor in cultivated shrimp,ECO-60,VN-direct,Medium,
TL-024,2022,"Entobel Series B: Mekong Capital USD 25 m, Dragon Capital USD 5 m",Entobel; Mekong Capital; Dragon Capital,insect (benchmark),Largest alt-protein financing in VN to date,ECO-02; ECO-03; ECO-04,VN-direct,High,Company cites USD 33 m Series B incl. IFC.
TL-025,2022-06/07,"Press estimates VN plant-based meat market at about VND 1,000 bn","(press, unnamed source)",plant-based meat,Only VN market-size figure found; basis unknown,ECO-17; ECO-19,VN-direct,Low,"Claimed, not measured."
TL-026,2022-07-27,Shiok Meats and Minh Phu sign MOU for joint cultivated-shrimp R&D centre and feasibility of a VN plant,Shiok Meats; Minh Phu,cultivated,Only cultivated facility ever proposed for VN,ECO-61; ECO-62; ECO-23,VN-direct,High,No later evidence of progress.
TL-027,2022-11/12,"Oatside launches in HCMC at coffee events (20,000 samples)",Oatside,plant-based dairy,Regional oat-milk entrant; made in Indonesia,ECO-47,VN-direct,Medium,
TL-028,2023-02-23,"IFC board approves USD 2.5 m for Entobel 10,000 t/yr plant (project cost USD 32.5 m)",IFC; Entobel,insect (benchmark),DFI validation of insect feed protein in VN,ECO-03,VN-direct,High,
TL-029,2023 (summer),OmniFoods runs plant-based menu items at Starbucks Vietnam,OmniFoods; Starbucks Vietnam,plant-based meat,Largest documented modern plant-based meat exposure in VN,ECO-20,VN-direct,Medium,
TL-030,2023-07,"VN Vastcom reports about 2 ha spirulina, about 5 t dry/yr; >70% of spirulina products in VN said to be imported",VN Vastcom,microalgae,Scale reference for domestic microalgae,ECO-53,VN-direct,Medium,
TL-031,2023 (Q3),"Emmay starts exports (UK, Australia, India, Netherlands) after ADB #SheExports accelerator",Emmay; ADB; We-Fi; WISE,mushroom/mycelium,First VN mycelium-food exports (claimed),ECO-13,VN-direct,Medium,
TL-032,2023-10-02,"Cricket One closes 7-figure USD Series A (Robert Alexander Stone, Cub Capital) and opens 1,000 t/yr processing plant (target 10,000 t in 5 yrs)",Cricket One,insect (benchmark),Largest cricket processing facility claimed in Asia,ECO-09,VN-direct,Medium,
TL-033,2023-10,GFI APAC state-of-industry report: Mintel GNPD logged no plant-based meat launches in Vietnam (2022 to Q2 2023),GFI APAC,other,Independent signal that modern branded plant-based meat is near-absent in VN retail,ECO-23,VN-direct,High,
TL-034,2023-11-23,"Entobel opens 10,000 t/yr BSF plant (Vung Tau, now HCMC) using HEINEKEN Vietnam by-products; 150 jobs",Entobel; HEINEKEN Vietnam,insect (benchmark),Largest alternative-protein production asset in VN,ECO-01; ECO-06,VN-direct,High,
TL-035,2023-12-20,VN aquaculture magazine reports single-cell protein as an emerging aquafeed ingredient; no VN supplier named,Tap chi Thuy san Viet Nam,feed SCP/yeast,SCP enters VN feed-trade discourse,ECO-66,VN-direct,Medium,
TL-036,2024-02-23,"Vinh Hoan agrees to buy at least 15,000 t insect protein from Entobel over 2025-2027",Vinh Hoan; Entobel,insect (benchmark),Offtake proves VN feed buyers will contract novel protein,ECO-05,VN-direct,High,"About 5,000 t/yr average."
TL-037,2024-03-01,Press cites VN plant-based market projection of USD 500 m 'within several years' (source unnamed),(press),plant-based meat,Illustrates unreliable market-size claims,ECO-18,VN-direct,Low,
TL-038,2024-03-12,UMAMI Bioworks acquires Shiok Meats' assets (stock deal),UMAMI Bioworks; Shiok Meats,cultivated,Minh Phu MOU counterparty ceases to exist as independent firm,ECO-63,VN-adjacent,High,
TL-039,2024-07-02,"VinaCapital Ventures invests in Korean plant-based startup INNOHAS, which plans VN and SE Asia products",VinaCapital Ventures; INNOHAS,plant-based meat,Only VN VC alt-protein deal found,ECO-65,VN-direct,Medium,Amount undisclosed.
TL-040,2024-10-24,"Cricket One reports about 150 t live crickets/month, 4 farms + about 20 satellite farms",Cricket One,insect (benchmark),Last evidence of activity found,ECO-11,VN-direct,Low,Company claim.
TL-041,2025-02-27,"Vinasoy 2024 soy milk revenue > VND 4,100 bn, about 80% share; VN imported 2.2 Mt soybeans in 2024",Vinasoy; QNS,plant-based dairy,Scale of largest plant-protein food business,ECO-41,VN-direct,Medium,
TL-042,2025-05-12,VN aquaculture magazine features Unibio Uniprotein (methane SCP); no VN supply or trial,Unibio,feed SCP/yeast,Western SCP still marketing-stage in VN,ECO-67,VN-adjacent,Medium,
