study,country,product,own_price_elasticity,cross_price_elasticity_with_meat,data_type,period,sample,source_ids,evidence_label,confidence,demand_evidence_type,notes
"Zhao, Wang, Hu and Zheng 2023",United States,plant-based meat alternatives in fresh meat section,-0.84 before COVID-19; -1.55 after,"PBMA demand wrt meat prices: beef -1.41, pork -0.39 (complements); chicken +2.27, turkey +0.12, fish +0.34 (substitutes)","retail scanner (Nielsen Scantrack, weekly, 40 states)",Jan 2017 to Jul 2020,store-level aggregate,GLB-16,general,High,revealed,Expenditure elasticity 0.74 rising to 1.98; PBMA 0.1% to 0.4% of fresh meat spending. Cross-price values read via fetch summary of full text (Medium)
GFI and NIQ price and promotion model 2024,United States,plant-based beef,-1.23 (regular price),53% of the elasticity comes from external competitors; conventional chicken and turkey are the top external competitor (a quarter to a third),store-level retail scanner model (NIQ),three 104-week periods to Jul 2023,at least 80% of category dollar sales,GLB-03,general,High,revealed,"Commissioned by GFI; 10% discount gave +20% units, +80% with a feature ad"
Liu and Ansink 2024,Netherlands,plant-based meat substitutes,+1.52 (positive),"complements to beef, poultry and fish","store-level supermarket scanner, QUAIDS with instrumented prices",2015 to 2018,"about 1,500 products, 884 stores",GLB-21,general,Medium,revealed,Authors attribute the positive sign to rising variety and quality; pork own-price -2.1; working paper
"Nouve, Zheng, Zhao, Kaiser and Dong 2025",United States,26 plant-based and animal meat categories,more elastic for plant-based than for animal meat (values not retrieved),mixed: plant-based beef patty substitutes for beef patty; plant-based bacon complements bacon,household scanner panel,2019 to 2021,"136,553 households",GLB-20,general,Medium,revealed,Authors conclude plant-based meat is not yet likely to displace animal meat in the short term
"Tonsor, Lusk and Schroeder 2022",United States,plant-based patties vs ground beef,estimated (values not retrieved),small cross-price elasticities between plant-based patties and ground beef,four consumer experiments (choice),about 2020 to 2021,US consumers,GLB-24,general,Medium,tested,Adding a plant-based burger to a menu cut beef choice about as much as adding a chicken wrap
"Caputo, Lusk and Blaustein-Rejto 2025",United States,plant-based meat in food away from home,"between premium meats (salmon, ribeye) and affordable meats (burgers, chicken)",mix of complements and substitutes,basket-based choice experiment plus equilibrium displacement model,about 2023,US consumers,GLB-26,general,Medium,tested,Lower plant-based prices unlikely to significantly change poultry and livestock output
"Lusk, Blaustein-Rejto, Shah and Tonsor 2022",United States,plant-based meat vs cattle,"about -2.3 implied (10% price cut raises plant-based consumption about 23%, our derivation)",10% plant-based price cut lowers US cattle production about 0.15%,calibrated equilibrium displacement model,2020s baseline,model,GLB-27,general,High,inferred,A 20% price cut gives about -0.29% cattle output
"Dogbe, Wang and Revoredo-Giha 2024",United Kingdom (Scotland),non-dairy milk; beans and pulses; peas; nuts,non-dairy milk -1.63; nuts -1.18; beans -1.00; peas -0.83,near zero (for example peas price +1% changes beef/veal demand +0.03%),household scanner (Kantar Worldpanel),2021,"1,589 households",GLB-23,general,Medium,revealed,"Traditional plant proteins, not meat analogues"
"Jähn, Guhl and Erhard 2024",United States,"plant-based burgers (analogue, semi-analogue, non-analogue) vs meat burger",price cuts raise consideration and choice of plant-based burgers,changing meat burger price had minimal effect on demand,hypothetical restaurant choice experiment,about 2023,"2,126 adults, representative",GLB-25,general,Medium,stated,Meat had higher average utility; large heterogeneity
"Carlsson, Kataria and Lampi 2021",Sweden,"veggie burger, meat-like burger, lab burger",about one third of meat-preferers would switch at two thirds of meat price or less,not estimated,stated-preference survey,about 2019 to 2020,Swedish adults,GLB-31,general,Medium,stated,Almost half would not choose a lab-grown burger even for free
Slade 2023,United States,non-dairy milk vs dairy milk,not reported,1 extra gallon of non-dairy milk associated with 0.43 to 0.60 fewer gallons of dairy milk,household panel,2004 to 2018,US households,GLB-28,general,High,revealed,"Displacement ratio, not an elasticity; explains little of the dairy decline"
"Freitas-Groff, Meyer and Woolley 2024",United States,plant-based milk; plant-based meat,not reported,"plant-based milk displaces 0.73 to 0.93 units of dairy milk; plant-based meat effect noisy and unclear, elasticities suggest complementarity for most meats",household grocery panel,2004 to 2020,US households,GLB-22,general,Medium,revealed,Working paper
