record_id,parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
DMA-001,protein_per_kg_meat_cwe,ALL,ALL,0.15,kg protein per kg carcass weight,Same value as the balance model (BLA-044),QNT-model,Low,Keeps Part III on the same protein basis as Part IV.
DMA-002,urban_share,ALL,2025,0.388,share of population,"World Bank WDI (UN WUP, national definition)",DIE-36,Medium,May change after the July 2025 administrative reorganisation.
DMA-003,urban_share_gain,ALL,ALL,0.0057,share points a year,assumption: the 2010 to 2025 average gain (30.3% to 38.8%) continues; capped at 0.60,DIE-36,Low,"Trend extrapolation, not a projection."
DMA-004,r1_food_plant_protein_ingredient_kt,ALL,2025,40,kt product a year,"our estimate: partner-reported 2025 imports of HS 2106.10 (15.3 kt), 3504 (27.0 kt) and 1109 (22.0 kt), with 90%, 40% and 70% assumed to go to food",BUY-02,Low,"Food and feed split unknown (open question); range 30 to 50 kt. Version 0.4: monthly trade evidence points to about 20% of HS 3504 going to food and a pool near 35 kt, the lower half of the range; range kept (BRD-05; BRD-06). A soy extrusion line can serve only the textured-type part, about 12,800 t in 2025 (TIC-12)."
DMA-005,r1_ingredient_protein_share,ALL,ALL,0.65,kg protein per kg product,"typical grades: TVP and concentrate 55 to 70%, gluten 75%, isolate 90%",BUY-02; BUY-07,Low,
DMA-006,r1_pool_growth,D-DRIFT,ALL,0.04,a year,assumption: slower than food processing output,MAC-31,Low,
DMA-007,r1_pool_growth,D-BENCH,ALL,0.06,a year,assumption: below food processing growth (11% in 2025),MAC-31,Low,
DMA-008,r1_pool_growth,D-STRETCH,ALL,0.08,a year,assumption,MAC-31,Low,
DMA-009,r1_domestic_share,D-DRIFT,2025,0,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-010,r1_domestic_share,D-DRIFT,2030,0.02,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
