question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"Vietnam-level cuts of the GFI APAC Decoding Demand survey that are not public: frequency if concerns resolved, health benefits sought, drivers of choice, segment age and income, and the Vietnamese-language questionnaire",It is the only large Vietnam sample on plant-based meat; the public charts omit Vietnam splits for several items and the exact Vietnamese wording (chay or thực vật) is unknown,Download the full report through the GFI APAC form and request the Vietnam tables and questionnaire,GFI APAC (Corporate Engagement team),High
"Plant-milk sales by type (soy, nut and seed, oat) and by channel, 2020 to 2025",Plant milk is the only proven modern plant-based category; product and price design depends on which sub-category is growing,Buy the Euromonitor Plant-based dairy in Vietnam report or NielsenIQ retail data; ask Vinamilk and QNS investor relations,Euromonitor; NielsenIQ Vietnam; Vinamilk IR; QNS IR,High
"Tested willingness to pay in Vietnam for protein-upgraded chay, blended meat and high-protein plant milk","No choice experiment, auction or in-store price test exists for these products in Vietnam; stated ladders overstate",Run a 400 to 800 person online choice experiment plus a 4-week in-store price test with one retailer (Co.opmart or WinMart),"AltProtein Vietnam with a university partner (NEU, VNUA, HUST) and a retailer",High
"Which label terms Vietnamese shoppers trust: chay, thuần chay, thực vật, đạm thực vật, plant-based, giàu đạm","Naming decides whether a product reads as religious food, fake meat, or healthy protein",Randomised label test in an online panel (Q&Me or Rakuten Insight) with 4 to 6 pack variants,Q&Me; Rakuten Insight; Decision Lab,High
"E-commerce sales of sữa hạt, sữa yến mạch, thịt chay and đồ chay on Shopee, Lazada, TikTok Shop",E-commerce is where niche premium products can reach urban buyers; data exist but are paywalled,Buy Metric.vn e-reports for these keywords (12 months),Metric.vn; YouNet ECI,Medium
"Current plant-based items and plant-milk upcharges at KFC, Burger King, Pizza 4P's, Highlands, The Coffee House, Phuc Long, Katinat, Starbucks Vietnam",Foodservice is where most first trials happen; menus show revealed chain demand,One-day menu check in Ho Chi Minh City and Hanoi (in person or via delivery apps),AltProtein Vietnam field team,Medium
Size of the periodic vegetarian population (eating chay on the 1st and 15th lunar days or during the 7th lunar month),This is the largest existing plant-protein eating occasion in Vietnam and the natural launch window,Add two questions to an omnibus survey; ask NIN whether its general nutrition survey records chay days,Q&Me omnibus; National Institute of Nutrition,Medium
"Vietnam plant-based or flexitarian studies by Decision Lab, Ipsos, YouGov, Kantar Worldpanel, NielsenIQ, Mintel consumer, Cimigo",Not checked in this wave because the web search quota ran out; the register may be incomplete,Search these publishers in the next wave; ask each for any 2023 to 2026 Vietnam food-trend decks,Decision Lab; Ipsos Vietnam; YouGov; Kantar Worldpanel Vietnam; NielsenIQ Vietnam; Mintel; Cimigo,Medium
Results of the GFI APAC and A*STAR Asia-focused blended meat sensory study,"Would give the first tested acceptance data for blends in Asia, the most promising entry format",Email GFI APAC; check A*STAR and Palate Insights publications,GFI APAC; A*STAR,Medium
"Whether Beyond Meat, OmniFoods, Next Meats, Heura, CP Meat Zero, Zhenmeat, Starfield or Meatless Farm are still sold in Vietnam, and at what volume",Separates temporary absence from market exit; tells investors whether the import route failed,"Ask importers and retailers (Annam Gourmet, Nam An, Classic Fine Foods, Bewina); check Shopee and Lazada listings",Annam Gourmet; Nam An Market; Classic Fine Foods Vietnam,Low
Food-safety premium in Vietnam: tested WTP for certified safe pork or chicken,Food safety is the Vietnam-specific driver; the safe-meat premium is the benchmark a safety-positioned plant protein must meet,"Literature review of choice experiments on VietGAP and safe meat (VNUA, IPSARD); read Ha et al. 2019",VNUA; IPSARD; ILRI Vietnam,Medium
"Evidence on parents and children as buyers of plant protein (school meals, children's milk)",Plant milk and soy milk are heavily bought for children; no study covers this,"Ask Vinamilk, Vinasoy and school-meal caterers; add a parent module to an omnibus",Vinamilk; Vinasoy; Ho Chi Minh City Department of Education,Low
Expatriate and tourist demand for plant-based meals,21.2 million international arrivals (2025) and expatriate districts sustain the gourmet channel where imports sit,Count vegan and vegetarian listings on travel platforms; ask hotel groups; MOLISA work-permit data for expatriate numbers,MOLISA; hotel groups; Vietnam National Authority of Tourism,Low
Vietnamese-language academic papers not retrieved (e.g. Phan and Ho 2024 on plant-based meat intention in Ho Chi Minh City),They may add samples outside students,Retrieve from Tạp chí Công Thương and university repositories,"University libraries (UEH, FTU, NEU)",Low
