record_id,brand,owner,ownership_country,manufacturer,plant_location_current_province,product_types,main_protein_inputs,n_skus_in_audit,public_scale_info,source_ids,evidence_label,confidence,notes
BR-001,Vinamilk,Vietnam Dairy Products JSC (Vinamilk),Vietnam (state holding company SCIC is the largest shareholder; not verified this wave),Vinamilk,Multiple plants; not verified per SKU,"soy milk, nut/seed milks, high-protein plant milk, plant yogurt, plant creamer","pea protein (high-protein milk, yogurt), soybean extract, oat, peanut, almond, walnut, bean extracts",17,Largest dairy company in Vietnam,FORM-01,VN-direct,Medium,"Only domestic brand in the audit using pea protein: an imported ingredient (no pea protein made in Vietnam, not verified)."
BR-002,Cầu Tre (CJ Foods Vietnam),"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified","chay spring rolls, dumplings, hotpot kit",mung bean (most SKUs); soy protein in the crispy-pastry line; tofu skin in older labels,14,Acquisition year: collector notes say 2006; analyst recollection is 2016 (unverified),FORM-01; FORM-22; FORM-23; FORM-24,VN-direct,Medium,"Most mainstream chay SKUs in the audit (with bibigo, 20 of 186 rows). Current há cảo and chả giò rế labels contain no soy protein at all."
BR-003,Co.op Select,"Saigon Co.op (Liên hiệp HTX Thương mại TP.HCM), cooperative",Vietnam,GN Foods JSC (Công ty CP Thực phẩm GN) for all five Co.op Select frozen chay dishes (Co.op Online product pages); Thai Corp Inter.VN and Vi Nguyen for Co.op Select tofu,"GN Foods: Long Hau Extended Industrial Park, Can Giuoc commune, Tây Ninh province (former Long An)","spring rolls, dumplings, buns, noodle meal, rice rolls, tofu",mung bean; wheat flour; tofu; soy protein; egg in noodles (one line),12,Private label of the largest retail co-operative,FORM-01; FORM-29; FORM-30; CPC-15,VN-direct,Medium,"Private-label chay is co-manufactured; GN Foods is a candidate co-packer for new protein ingredients. Version 0.4 (W7-L4): Co.op Online names GN Foods as the maker of all five Co.op Select frozen chay dishes, not only the noodle-gyoza meal, so a co-packer can take a protein upgrade to the retailer without a consumer brand."
BR-004,An Nhiên,"Phạm Gia Phát Trading & Import-Export Co., Ltd (Công ty TNHH TM XNK Phạm Gia Phát), tax code 0312857463",Vietnam,Not disclosed on brand site; company is registered as a trading/import-export firm,"Head office Hiệp Thành ward, Ho Chi Minh City (former District 12); plant not disclosed","dried TVP/gluten slices; frozen soy and gluten analogs (fish fillet, drumstick, fish cake, giò thủ); mushroom analog","soy protein (non-GMO), soy protein concentrate (Serbia, one label), defatted soy flour, wheat gluten/wheat protein, seaweed",12,Claims 50+ products by 2020 and exports to Europe and North America (company claim),FORM-01; FORM-15; FORM-16; FORM-17; FORM-18; FORM-19,VN-direct,Medium,Broadest modern-chay range in the audit (12 SKUs). Protein-dense dried line (53-67 g/100 g as sold). Natural first customer for a domestic TVP or gluten supplier.
BR-005,unbranded/illegible,n/a,n/a,Not verified,Not verified,various,"none (taro, mushroom); soy protein (inferred from ""Soybean"" pack wording); soy protein (inferred); soy protein/TVP (inferred); unknown; unknown (""plant protein""); wheat flour (bun)",11,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-006,137 Degrees,"Simple Foods Co., Ltd (believed Thailand; site does not state)",Thailand (log records Vietnam for Nha Trang rows),Not verified,Not verified,nut milks,"nuts; nuts (almond 94% milk, California almonds); nuts (almond); nuts (macadamia); nuts (pistachio); nuts (walnut); oat",9,,FORM-01; FORM-38,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-007,Vissan,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",chay spring rolls; canned chay stews,"mung bean, tofu skin, soy protein; canned: ""vegan beef/pork slices"" (composition not stated) and white beans",8,Large state-linked meat processor; chay is a side line,FORM-01; FORM-25,VN-direct,Medium,Chay versions priced 38% below Vissan meat version of the same spring roll (FORM-01). Ownership detail needs checking.
BR-008,Fami / Vinasoy,"Quang Ngai Sugar JSC (QNS), Vinasoy soy milk unit",Vietnam,Vinasoy (QNS),Quảng Ngãi (Vinasoy factory); other plants not verified this wave,soy milk,whole soybeans (imported beans; origin not disclosed),8,USDA GAIN: the largest packed soymilk producer plans about 10% annual output growth (not named),FORM-01; FORM-09; FORM-33,VN-direct,Medium,Soy milk labels read in HCMC show 2.5 g protein/100 ml.
BR-009,bibigo (CJ Foods Vietnam),CJ CheilJedang (South Korea),South Korea,"CJ Foods Vietnam Co., Ltd","Made in Vietnam (collector OSINT names Kizuna IP, Tây Ninh (former Long An); not verified)",vegetable mandu; mushroom rice meal,"soy protein (""đạm đậu nành""), wheat flour wrapper, lotus seed, mushrooms",6,Global CJ brand,FORM-01; FORM-24,VN-direct,Medium,"Healthy Mandu Chay seen in 5 of 11 stores; claims ""100% plant protein"" but no numeric panel published."
BR-010,Deep Blue Island,Not verified (brand domain redirects elsewhere),Vietnam (per log),Not verified,Not verified,cultured cashew cheese; coconut yogurt,cashew; coconut,5,,FORM-01,VN-direct,Low,
BR-011,iChoose,Not verified,Imported (country not captured),Imported,Not verified,mushroom jerky,mushroom,5,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-012,Thoại An,"Thoai An Trading Co., Ltd (Công ty TNHH Thương mại Thoại An), tax code 0303800622",Vietnam,Thoại An,"Ho Chi Minh City, Tân Tạo Industrial Park, Tân Tạo ward (former Bình Tân district)","frozen seafood analogs (crab stick, seafood tofu, shrimp cake); chả lụa chay","wheat gluten (35% in chả lụa), soy protein, soy milk; skim milk powder in one SKU (not vegan)",5,"Site says ""many years"" in seafood and food processing; no volumes",FORM-01; FORM-26,VN-direct,Medium,Seafood-analog specialist; gel/emulsion formulations with about 3 g protein except gluten-heavy chả lụa.
BR-013,Cholimex,Cholimex Food JSC (Công ty CP Thực phẩm Cholimex),Vietnam (foreign minority shareholding not verified),Cholimex Food JSC,"Ho Chi Minh City, Vĩnh Lộc Industrial Park, Vĩnh Lộc commune (former Bình Chánh district)","chay dumplings, buns, crispy spring rolls","mung bean; wheat flour and soy flour in bun dough; TVP (""sườn non chay""); tofu skin",4,Sauce and frozen-food maker,FORM-01; FORM-27,VN-direct,Medium,Uses TVP as a minor filling ingredient; buns are wheat-led (5.7 g protein).
BR-014,Ông Chà Và / NOSAFOOD,"NOSAFOOD (brand owner; Vietnamese spice brand owner per analyst recollection, unverified)",Vietnam brand owner (unverified); product origin disputed (China vs Vietnam),Not verified,Not verified,canned soy luncheon meat,"soy protein 25%, soy protein isolate, soybean",4,,FORM-01,VN-direct,Low,"Nha Trang OSINT says made in China; HCMC log row records Vietnam. Check ""Xuất xứ"" on the can."
BR-015,MilkLab,Noumi Ltd (believed),Australia,Imported,Not verified,barista plant milks,coconut (15% cream); nuts (almond); oat,4,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-016,Veyo (Vinasoy),Quang Ngai Sugar JSC (QNS),Vietnam,Vinasoy (QNS),Not verified,oat and nut milks,oat; nuts,4,QNS lists VEYO as its nut-milk brand,FORM-01; FORM-33,VN-direct,Medium,Field log attributes one Veyo SKU to Nutifood; corrected here.
BR-017,Kashew,Not verified,Vietnam (per log),Not verified,Not verified (sold in HCMC premium stores),cultured cashew cheese,cashew,3,,FORM-01,VN-direct,Low,"Fermented (cultured) nut product: the only fermentation technology visible in the audit, with Deep Blue Island."
BR-018,Oatly,Oatly Group AB,Sweden,Imported,Not verified,oat milk,oat,3,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-019,Oatside,Oatside,Singapore (brand),Not verified,Not verified,oat milk,oat,3,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-020,Nutifood,Nutifood Nutrition Food JSC,Vietnam,Nutifood,Not verified,"brown rice milk, corn milk, soy milk","rice, corn, soybean",3,,FORM-01,VN-direct,Low,
BR-021,Choice L,"Lotte Mart Vietnam (Lotte Group, South Korea) private label",South Korea,Not disclosed,Not disclosed,"spring rolls, dumplings",not published,3,Private label,FORM-01,VN-direct,Low,Ingredients not published for any Choice L chay SKU.
