record_id,indicator,value,unit,year,model,scenario,base_year,source_ids,evidence_label,confidence,foresight_type,notes
BLP-001,Pigmeat production,4241.2,kt carcass weight,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 3,895.6 kt. +1.4% a year 2025 to 2035."
BLP-002,Pigmeat production,4468.1,kt carcass weight,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 3,895.6 kt. +1.4% a year 2025 to 2035."
BLP-003,Pigmeat consumption,4514.1,kt carcass weight,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,053.7 kt."
BLP-004,Pigmeat consumption,4676.7,kt carcass weight,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,053.7 kt."
BLP-005,Pigmeat food use per person,31.08,kg per person,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 28.64 kg. Retail-weight basis assumed (OECD convention).
BLP-006,Pigmeat food use per person,31.51,kg per person,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 28.64 kg. Retail-weight basis assumed (OECD convention).
BLP-007,Poultry production,3434.4,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,567.1 kt, almost equal to NSO live weight (2,602 kt); basis possibly live weight. +5.7% a year."
BLP-008,Poultry production,4481.5,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,567.1 kt, almost equal to NSO live weight (2,602 kt); basis possibly live weight. +5.7% a year."
BLP-009,Poultry consumption,3750.6,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,932.7 kt."
BLP-010,Poultry consumption,4659.2,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,932.7 kt."
BLP-011,Poultry food use per person,21.23,kg per person,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 17.03 kg. Above China (12.1) and Korea (15.1) in 2035 in the same outlook.
BLP-012,Poultry food use per person,25.8,kg per person,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 17.03 kg. Above China (12.1) and Korea (15.1) in 2035 in the same outlook.
BLP-013,Beef and veal production,320.5,kt carcass weight,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 321.5 kt, about 51.5% of NSO beef plus buffalo live weight."
