line_id,question_ids,line,kind,method,closable_by_desk_now,result_that_would_change_a_conclusion,conclusion_or_recommendation_affected,priority,notes
AFN-L01,AFN-Q01; AFN-Q16; AFN-Q17; AFN-Q29,"Public-meal decision and window map: who sets what protein goes on public plates (MOET, NIN, provincial DOETs, TH Group's 400-menu model, Ajinomoto's menu project, union canteen floors, hospital nutrition departments, army logistics), with the legal hook (Decision 973/QĐ-TTg, Dispatch 64, Decision 1340), the revision calendar and the price caps.",different-kind,"Desk review of Decision 973 implementing documents and menu sets, then 4 to 6 calls (NIN, MOET, Hanoi DOET, TH School Nutrition, Ajinomoto Vietnam, one large caterer).",partly (desk part now; calls needed),"If the Decision 973 menu set or its guidance is open for revision in 2026 to 2028 and can take a protein-quality basis and a blended or chay protein dish under the price cap, the school route moves from 'not first' to a dated window, and DMV-17 becomes a concrete procurement ask a market-shaping funder can back. If menus are fixed on animal share and daily dairy, the current verdict stands and funders should look to canteens only.",ch25.3 and ch25.6 (schools 'not first'); ch29.4 DMV-17; brief-international entry points; brief-policy public meals,High,"Nova Vista's test is 'an identifiable decision-maker, a reason they might move, and a window' (AFN-05). Part VI currently answers the size question, not the decision question."
AFN-L02,AFN-Q15; AFN-Q30; AFN-Q22; AFN-Q04,"Funder-fit audit of Part VI's 19 demand moves: map each move against the scope, exclusions, geography and metrics of the ten funders most likely to pay (Nova Vista, Coefficient Giving, GFI, Bezos Centre at NUS, ACE and Movement Grants, ReRoot, Humane World, Rockefeller, ARE, FAIRR), and name who else (nutrition, development, bilateral research funders) could.",different-kind,Desk now: RFP texts and exclusions already retrieved (AFN-01 to AFN-33); add bilateral and nutrition funders.,yes,"If most moves Part VI assigns to 'funders' fall outside the scope or geography of the funders that actually fund alternative protein (for example chay-day promotion is culture change and whole-food work, both excluded by Nova Vista; ReRoot excludes Vietnam), ch29.4, ch28.6 and brief-international must name realistic payers or recast the moves (for example as a procurement or nutrition-quality ask).",ch29.4 'fund the measurement moves first'; ch28.6 'a funder whose goal is fewer animals raised should test canteen chay days'; brief-international demand-side bullets,High,
AFN-L03,AFN-Q02; AFN-Q03; AFN-Q20; AFN-Q23; AFN-Q27,"Corporate commitment inventory for Vietnam: protein-diversification, plant-based sales or menu targets and cage-free commitments of every retailer, caterer, hotel group, restaurant chain and processor operating in Vietnam, with the metric used (weight, protein, dishes) and whether global targets bind Vietnamese units.",different-kind,"Desk now: company policies and sustainability reports; APB 100 company scores (AFN-18); FAIRR producer index; hotel group policies (Accor, IHG, Marriott, Hilton, Minor); cage-free lists. Then a short email check with 5 firms.",yes,"If five or more companies with Vietnamese operations have plant-based menu or sales targets that bind in Vietnam, Part VI should add a commitments lever to ch25 and ch29 and describe hotels as a small committed buyer rather than only a showcase. If none bind, Part VI's B2B-only framing is confirmed and corporate-campaign funders should be told Vietnam lacks a hook.",ch25.4 Nha Trang verdict; ch25.7; ch29.4; ch26.8 advice to funders,High,Accor's policy covers all managed and franchised hotels (AFN-40) and it had 43 hotels in Vietnam in 2024 (AFN-41).
AFN-L04,AFN-Q25; AFN-Q24; AFN-Q12,"Re-express the demand routes in funder units: animals spared by species, tonnes of CO2e avoided, and cost per meal replaced for the canteen and school routes, using the existing demand model with a species split that follows the poultry-led growth path.",different-kind,"Desk now: extend tools/demand_model.py with published emission and carcass-yield factors; attach cost per meal replaced to DMV-05 using its USD 30,000 to 60,000 budget.",yes,"If D-BENCH displacement is mostly poultry, animals spared per tonne are many times higher than for pork, so welfare funders could rank hybrids and canteens above consumer analogues and above feed; if CO2e avoided per USD is low, climate recommenders will not fund Vietnamese food routes and the climate framing in brief-international should be dropped. Nova Vista's exclusion of shifts to smaller animals also needs checking against Vietnam's poultry growth.",ch28.6 (count two kinds of demand); brief-international motivations; ch29.4 funder advice,High,Part VI reports displacement only in tonnes of meat protein.
AFN-L05,AFN-Q18; AFN-Q16,"Nutrition-route specification: a costed protein-quality specification (quality-adjusted protein per VND) for institutional feeding in stunting hotspots, benchmarked on India's feeding-scheme work and Korea's plant-based school meals, and matched to the public programmes that buy food for upland schools (the ethnic minority and poverty national targeted programmes).",different-kind,Desk review plus protein-quality data (PO-027) and calls to NIN and the programme owners; a lab test if a candidate blend exists.,partly,"If a soy-rice or mung-bean blend delivers 20 g of quality-adjusted protein below the egg price inside a VND 20,000 to 30,000 meal, a second demand route opens with nutrition and development funders, separate from the meat-displacement case; brief-international and ch21.8 would then name it as a fundable route rather than a note.",ch21.2 and ch21.8 (two protein problems); brief-international 'separate two protein problems',Medium,India's roundtable framed school-feeding budgets under INR 10 per student per day (AFN-14); Seoul's plant-based menus carried less protein (AFN-42).
AFN-L06,AFN-Q30; AFN-Q15; AFN-Q04,"Structured calls with five funders (Nova Vista, Coefficient Giving, GFI APAC, Bezos Centre at NUS, ARE) on the specific Vietnam evidence that would move an allocation.",different-kind,Five 30-minute calls with a common script; publish an anonymised summary.,no,"If funders say the threshold is an institutional decision (a procurement window, a corporate target) rather than consumer data, the measurement moves DMV-03 to DMV-06 drop below DMV-17 and a commitment inventory in priority.",ch29.4 order of moves; brief-international,Medium,
AFN-L07,AFN-Q22; AFN-Q13; AFN-Q21,"Implementer scan: which Vietnamese or Vietnam-based organisations (Humane World Viet Nam, Dharma Voices for Animals, Vietnam Animal Welfare Watch, NIN, HUST teams, a caterers' association, the Buddhist Sangha's kitchen committees) could run a canteen trial, a menu commitment programme or a label test.",different-kind,8 to 10 calls; check registrations and past grants.,no,"If no implementer can run DMV-05 or corporate engagement, funders need a capacity grant first, and Part VI's cost estimates for the moves (tens of thousands of USD each) are too low.",ch29.4 indicative costs; brief-international,Medium,
AFN-L08,AFN-Q14; AFN-Q12; AFN-Q17,"Asian institutional precedents: Korean periodic plant-based school meal days, Chinese hotel group plant-based menu targets, Japanese school lunch blends, Indonesian and Indian public feeding programmes, Thai foodservice commitments, with protein outcomes and any evidence on compensation.",deeper,Desk now: add an Asian block to app-ag AG.4 from peer-reviewed and programme sources.,yes,"If Asian programmes sustain meal shifts while keeping protein adequate, raise the canteen and school adoption assumptions in D-BENCH; if they show protein shortfalls (as in Seoul), add a protein-density requirement for any public-meal dish to TPP-04.",app-ag AG.4 (Western cases only); ch28.2 R4 assumptions; OQ-261 ('no Asian trials were found'),Medium,
AFN-L09,AFN-Q20; AFN-Q12,"Buyer calls to hotel and caterer purchasing: F&B directors of international hotel groups in Nha Trang, Ho Chi Minh City and Hanoi and three contract caterers, on targets, current plant-protein purchases, price points and supplier requirements.",different-kind,"10 calls, combined with DMV-10's menu audit.",no,"If hotels report binding plant-based targets and would buy protein-upgraded chay or local analogues, TPP-02 and TPP-08 gain a first named B2B buyer; the tourism volume verdict stays.",ch25.4; ch29.2 TPP-02,Medium,
AFN-L10,AFN-Q21; AFN-Q14,"Chay practice trend through pagoda networks, alongside the DMV-01 probability-survey question.",deeper,Pagoda-network survey with Sangha committees; DMV-01.,no,"If chay keeping is rising among young urban lay Buddhists, the added-chay-days route in ch28 becomes a real displacement route; if not, it stays a hypothesis.",ch22.1; ch28.4; ch29.6,Low,A deeper version of DMV-01; lower priority under the lesson from earlier rounds.
