question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"Has NIN published food-group intake tables (fish, eggs, milk, soy foods, legumes in g per day) from the General Nutrition Survey 2019 to 2020, or started a newer national survey?","The only national intake numbers we found are meat, vegetables, fruit and energy from press reports; a product brief needs intake by food group and age.",Email NIN (Vien Dinh duong) for the survey report or tables; check the NIN library.,National Institute of Nutrition,High
"How many grams of meat, fish, egg or tofu sit in a typical serving of pho, bun, com tam, com binh dan and banh mi?",This sets the protein per serving a novel ingredient must deliver in each dish and the tonnage per outlet.,"Buy and weigh 20 to 30 servings per dish in Ho Chi Minh City and Hanoi (two days of fieldwork), or ask NIN whether its dish composition data are public.",AltProtein Vietnam field team; National Institute of Nutrition,High
"What share of meat, and of which meats, is eaten away from home?",Eating out is 22.5% of food spending and 29.6% in cities; foodservice may be the first channel for novel protein.,Ask NSO for VHLSS eating-out detail or run a short intercept survey at 50 eateries.,National Statistics Office of Viet Nam,High
"What are the own-price and cross-price elasticities between pork, chicken, fish, eggs and tofu in Vietnam?",They tell founders how far a price cut draws demand from pork and whether tofu gains when pork spikes.,Obtain the full text of Vu and Nguyen 2025 (DIE-33) and ask the authors for the elasticity tables.,VNU University of Economics and Business (authors of DIE-33),High
"What do school meals and institutional kitchens pay per meal and per 100 g of protein, and what protein specifications do they use, especially in mountainous provinces with stunting above 30%?","Institutional buyers could be early, price-sensitive customers for fortified plant or fermented protein.",Interview three provincial education departments and two school catering firms; read current Ministry of Education guidance on school meals.,Ministry of Education and Training; provincial education departments,High
"Why is tofu consumption flat, and why do southern households eat a third as much as northern households?","It shows whether cheap plant protein has a taste, habit, availability or quality ceiling.",Short survey of tofu buyers in Hanoi and Ho Chi Minh City markets plus interviews with 5 tofu makers.,AltProtein Vietnam field team,Medium
"Why do Vietnamese say they reduce meat, if they do?",We found no nationally representative survey; online panels exist but overstate intentions.,Check other wave 6 streams; commission 5 questions on an existing omnibus with a national frame.,"Market research firms (for example Kantar Worldpanel Vietnam, Decision Lab)",Medium
Why does FAO egg supply imply about 70 eggs per person when NSO egg counts imply about 211?,Eggs are the cheapest animal protein and a direct benchmark for fermentation-derived egg protein.,Ask FAO Statistics Division and NSO which production basis each uses.,FAO Statistics Division; National Statistics Office of Viet Nam,Medium
Is there an official monthly retail pork price series?,Needed to size the price shocks that make pork blends attractive to processors.,Request the pork sub-index of the CPI from NSO or daily market prices from the Ministry of Industry and Trade price portal.,National Statistics Office of Viet Nam; Ministry of Industry and Trade,Medium
What protein do labels of mainstream UHT milk and soy milk declare?,Our fresh milk figure uses the 2007 composition table; labels may be lower.,Photograph five labels in any supermarket.,AltProtein Vietnam field team,Low
"Is there a newer edition of the Vietnamese Food Composition Table than 2007, with dishes?",A dish-level table would answer the serving question cheaply.,Ask NIN; check the Medical Publishing House catalogue.,National Institute of Nutrition,Low
"How large is Vietnam's middle class on an agreed definition, and how fast is it growing?",We used World Bank consumption thresholds as a proxy; consulting firm figures were not retrieved.,Read World Bank Vietnam poverty and equity assessments and one consulting report directly.,World Bank Vietnam office,Low
