source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
GLB-01,"Good Food Institute (2026). U.S. retail market data for the plant-based industry (SPINS data, 52 weeks ending 30 November 2025). https://gfi.org/marketresearch/",U.S. retail market data for the plant-based industry,"Good Food Institute (data: SPINS, Circana panel)",2026,https://gfi.org/marketresearch/,,advocacy,2026-09-24,"Read in full (web page). Primary source for 2023 to 2025 US plant-based meat and milk sales, share, penetration, repeat. GFI is a nonprofit that promotes alternative proteins; the numbers are licensed SPINS data."
GLB-02,"Good Food Institute (2022, March). 2021 U.S. retail market insights: Plant-based foods. https://gfi.org/wp-content/uploads/2022/03/2021-U.S.-retail-market-insights_Plant-based-foods-GFI.pdf",2021 U.S. retail market insights: Plant-based foods,Good Food Institute (data: SPINS),2022-03,https://gfi.org/wp-content/uploads/2022/03/2021-U.S.-retail-market-insights_Plant-based-foods-GFI.pdf,,advocacy,2026-09-24,"PDF read. 2021 peak-year numbers; category definitions revised since, so compare trends within one GFI release where possible."
GLB-03,"Good Food Institute (2024, November). Plant-based meat in U.S. retail: Pricing and promotion insights and recommendations (fact sheet; NIQ price and promotion model). https://gfi.org/wp-content/uploads/2024/12/Plant-based-meat-in-U.S.-retail-Pricing-and-promotion-insights-and-recommendations.pdf",Plant-based meat in U.S. retail: Pricing and promotion insights and recommendations,Good Food Institute; NielsenIQ,2024-11,https://gfi.org/wp-content/uploads/2024/12/Plant-based-meat-in-U.S.-retail-Pricing-and-promotion-insights-and-recommendations.pdf,,advocacy,2026-09-24,"PDF read in full. Commissioned NIQ model on weekly store-level data; only the plant-based beef elasticity is given in text, other values are in a chart."
GLB-04,"Good Food Institute (2023, 11 April). 2023 outlook: The state of the plant-based meat category. https://gfi.org/blog/2023-outlook-the-state-of-the-plant-based-meat-category/",2023 outlook: The state of the plant-based meat category,Good Food Institute,2023-04-11,https://gfi.org/blog/2023-outlook-the-state-of-the-plant-based-meat-category/,,advocacy,2026-09-24,Read via fetch summary. Survey figures inside are secondary (stated).
GLB-05,Good Food Institute (2026). Analyzing plant-based meat and seafood sales. https://gfi.org/resource/analyzing-plant-based-meat-and-seafood-sales/,Analyzing plant-based meat and seafood sales,"Good Food Institute (data: Euromonitor, SPINS)",2026,https://gfi.org/resource/analyzing-plant-based-meat-and-seafood-sales/,,advocacy,2026-09-24,Read via fetch summary. Global 2025 retail value and regional split; no Asian country detail.
GLB-06,"Good Food Institute (2026). State of the Industry: Plant-based meat, seafood, eggs, dairy, and ingredients (resource page for the report covering 2025). https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry/",State of the Industry: Plant-based,Good Food Institute (data: Euromonitor),2026,https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry/,,advocacy,2026-09-24,Resource page read; full PDF behind a form and not read.
GLB-07,Green Queen (2026). Global plant-based food sales grew by 3% in 2025: GFI report. https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2025-2026-plant-based-sales/,Global plant-based food sales grew by 3% in 2025: GFI report,Green Queen Media,2026,https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2025-2026-plant-based-sales/,,press,2026-09-24,Secondary summary of GFI 2026 State of the Industry reports (Euromonitor data). Used for regional split and US foodservice figure only.
GLB-08,"GFI Europe (2026). European plant-based sales data (Circana retail data 2024 to 2025, NIQ Homescan). https://gfieurope.org/european-plant-based-sales-data/",European plant-based sales data,"GFI Europe (data: Circana, NIQ)",2026,https://gfieurope.org/european-plant-based-sales-data/,,advocacy,2026-09-24,"Read via fetch summary. 2025 volume and price changes by country; plant-based milk shares 2025 (basis, value or volume, not stated in summary)."
GLB-09,"GFI Europe (2025, June). Germany plant-based food retail market insights: 2022 to 2024. https://gfieurope.org/wp-content/uploads/2025/06/Germany-plant-based-food-retail-market-insights-2022-2024.pdf",Germany plant-based food retail market insights: 2022 to 2024,"GFI Europe (data: Circana, NIQ Homescan)",2025-06,https://gfieurope.org/wp-content/uploads/2025/06/Germany-plant-based-food-retail-market-insights-2022-2024.pdf,,advocacy,2026-09-24,"PDF read. Circana covers supermarkets over 200 m2, hypermarkets and discounters including Aldi and Lidl; NIQ panel of 20,000 households."
GLB-10,"GFI Europe (2025, June). The Netherlands plant-based food retail market insights: 2022 to 2024. https://gfieurope.org/wp-content/uploads/2025/06/Netherlands-plant-based-food-retail-market-insights-2022-2024.pdf",The Netherlands plant-based food retail market insights: 2022 to 2024,GFI Europe (data: Circana),2025-06,https://gfieurope.org/wp-content/uploads/2025/06/Netherlands-plant-based-food-retail-market-insights-2022-2024.pdf,,advocacy,2026-09-24,PDF read in part (key tables and market share pages).
