record_id,actor,home_market,actor_type,stated_target,metric_and_method,latest_reported_value,latest_year,progress_assessment,private_label_or_range,supplier_requirements,sourcing_evidence_asia_vietnam,vietnam_link,route_relevance,source_ids,evidence_label,confidence,demand_evidence_type,notes
XR-01,Albert Heijn (Ahold Delhaize European brands),Netherlands; Belgium; Central and South-East Europe,retailer,Albert Heijn: 60% plant protein in total sales volume by 2030. Ahold Delhaize European brands: at least 50% plant-based food sales by 2030,"Albert Heijn: Protein Tracker, covers about 78% of sales volume. Group: weight of plant protein in all protein-containing SKUs, own and national brands",Group European brands 45% plant-based share of protein sales,2025,Group needs about 1 point a year to 2030 (our calculation); Dutch chains' shares 'changed little since 2023',"15 hybrid products launched 2025 at or below the price of animal equivalents, combining meat or cow's milk with field bean protein, sugar beet fibre, celeriac or butter beans; performance 'mixed'",Not retrieved (ah.nl returned 403),None found. Vietnam named only as a coffee sourcing risk origin,none found,"Target met through hybrids, pulses and national-brand mix; no pull on Asian-made analogues found",XBA-01; XBA-13; XBA-14,general,Medium,stated; revealed,Two metrics with different scope; do not compare the 45% group figure with Dutch Protein Tracker shares.
XR-02,Jumbo,Netherlands,retailer,60% plant protein in total sales volume by 2030; 50% in 2025,Protein Tracker (GPA and ProVeg),2024 split disclosed (value not extracted from the retrieved text),2024,Dutch shares 'changed little since 2023',Hybrid products; plant alternatives at equal or lower prices than animal products,Not retrieved,None found,none found,As Albert Heijn,XBA-13; XBA-14,general,Medium,stated,Questionmark scores Jumbo's 60:40 target as in line with the Planetary Health Diet.
XR-03,Lidl Nederland,Netherlands,retailer (discounter),"60% plant protein sales by 2030 (Eiweet method), interim 50% by 2025; WWF method 35% plant in protein-rich foods excluding dairy by 2030; plant dairy 10% of dairy by 2030","Eiweet (all foods, fixed range); WWF retailer method",43.1% (Eiweet); 25.84% (WWF protein-rich); 3.31% (plant dairy),2024,Up 0.4 points on 2023 (42.7%); about 2.8 points a year needed to reach 60% by 2030 (our calculation: (60 minus 43.1) / 6); WWF share up 0.38 points against 1.53 a year needed; interim 50% for 2025 out of reach on 2024 data (inferred),"60/40 beef and pea-protein mince priced below beef mince; about 30 plant basics priced at or below animal equivalents, sales of discounted substitutes up 22.6% in three months; target of 50% plant promotions by end 2025 'too ambitious'","Suppliers certified to IFS or BRC, annual independent certification audits",None found,none found,Targets real but pulled through price and hybrids made in Europe,XBA-02; XBA-03; XBA-04,general,High,stated; revealed,Figures restated upward after a data improvement validated by Green Protein Alliance and ProVeg.
XR-04,Lidl GB,United Kingdom,retailer (discounter),Plant-based proteins 25% of total protein sales (tonnage) by 2030; plant-based foods up 20% by 2030,Tonnage share of plant proteins in protein sales,Not published on the page read,n/a,Not assessable,Vemondo Plant! range,Tier 1 national supplier list published (consenting suppliers),"Tier 1 list as of 1 April 2026: 390 entries, none in Asia (370 in Great Britain)",none found,Asian products reach Lidl GB through suppliers based in Europe (inferred),XBA-05; XBA-06,general,High,stated; revealed,List covers national suppliers; international purchasing uses the Lidl food list (XR-05).
XR-05,Lidl Germany and Lidl international purchasing,Germany; 31 Lidl countries,retailer (discounter),"Lidl International: 20% more sales of plant proteins, whole grains and fruit and vegetables by 2030 than 2023. Lidl Germany: 20% plant in protein-rich foods and 10% in dairy alternatives",WWF method,Lidl Germany 55.3% plant-based food in total volume; 11% protein-rich; 6% dairy alternatives,2024,"2023 all-food baseline not published, so progress cannot be assessed (Questionmark)","Vemondo (plant-based), Vitasia (Asian) own brands",Food supplier list for 2025 deliveries published,"751 food suppliers, none in Asia; European importers and traders listed, e.g. Thai Union Trading Europe (Utrecht) and Kreyenhop and Kluge (Oyten; role as Asian-food importer not verified); plant-based makers Vivera (Holten), Hilcona (Schaan), Biovegan","indirect only (via EU importers, inferred)",A Vietnamese co-packer would supply Lidl through a European importer that holds the contract,XBA-07; XBA-12; XBA-03,general,High,stated; revealed,Vivera bought The Vegetarian Butcher from Unilever in 2025 (CPC-09).
XR-06,Aldi (ALDI SUD group incl. Aldi UK; Aldi Nord),Germany; United Kingdom; Netherlands,retailer (discounter),Aldi Sud: no protein-split target. Aldi Nederland: 60% plant protein by 2030. Aldi Nord: does not acknowledge a role in the protein transition,WWF method (Aldi Sud); share of high-protein sales (Aldi UK),"Aldi Sud 56.4% plant-based food in total volume, 13% protein-rich, 5% dairy alternatives (2024); Aldi UK plant-based up to 21% of high-protein sales (2024, 17% in 2020)",2024,Aldi Sud baseline year 2024; no trend,"About 1,400 products with vegan labels (Aldi Sud Germany, 2024)",Not found on group supply-chain page; Aldi UK site returned 403,One Aldi Sud private-label dried mango with Vietnam origin (Open Food Facts); no plant-protein product,ingredient only,Low pull on imported analogues,XBA-12; XBA-13; XBA-14; XBA-15; XBA-27,general,Medium,stated; revealed,Aldi summary describes the 56.4% as range share; Questionmark as sales volume (see disagreements).
XR-07,Rewe,Germany,retailer,60% plant-based food in total purchased quantities by 2035,"WWF method, all food groups",54% plant-based food in total volume (baseline),2024,Baseline year; no trend,Rewe Bio cashew butter with Vietnamese cashew origin (Open Food Facts),Not retrieved (rewe-group.com returned 403),Vietnamese cashew as ingredient only,ingredient only,Low pull on imported analogues,XBA-12; XBA-13; XBA-27,general,Medium,stated; revealed,Questionmark scores no points because the target year is after 2030.
XR-08,Carrefour,France; Spain; group Europe,retailer,"Sales of plant-based alternatives EUR 650 million by 2026, raised to EUR 1 billion by 2030","Sales value of alternatives to animal products (meat substitutes, plant milks and yoghurts); legumes excluded",EUR 664 million (EUR 621 million in 2024),2025,2026 target met a year early; EUR 1 billion by 2030 needs about 8.5% a year (our calculation) against 6.9% in 2025,Carrefour Sensation (plant-based) 162 vegetarian references in Europe (2025); Carrefour Veggie,Carrefour-brand plants certified to IFS or BRC (74.8% in 2025) or audited by Carrefour (7.3%); top 100 suppliers to align with a 1.5 degree trajectory by 2026,None found for plant-based; Vietnamese coconut cream (Vietcoco) sold at Carrefour (Open Food Facts),ingredient and ethnic grocery only,Largest revealed plant-based private-label value found; no Asian sourcing found,XBA-11; XBA-12; XBA-27,general,High,stated; revealed,No protein-split disclosure.
XR-09,Tesco,United Kingdom,retailer,Increase sales of plant-based meat alternatives by 300% by 2025; no protein-split target,WWF method (protein-rich group),9% plant in protein-rich group; 7% dairy alternatives,2024/25,Progress against the 300% goal not retrieved,Not verified in this line,UK Soy Manifesto signatory (EXP-33); food supplier site list not found,Not determinable: tescoplc.com content not readable by our tools,not determinable,Unknown,XBA-12; XBA-34; EXP-33,general,Medium,stated; revealed,Gap: Tesco reporting hub and annual report not readable.
XR-10,Sainsbury's,United Kingdom,retailer,"No plant-protein target; 2030 health strategy on healthier sales, fibre, fruit and vegetables; Keen Bean pledge on bean sales by 2028","WWF basket, Eatwell protein group",Plant-based 13% of protein sales (14% in 2022/23); dairy alternatives 7% (8% in 2022/23),2025/26,Flat to falling for four years,"Plant Pioneers range; one Plant Pioneers product (battered fishless fillets, jackfruit) carries Vietnam origin in Open Food Facts",Tier 1 food list on Open Supply Hub; all own-brand tier 1 sites on Sedex; SMETA audits by risk,"603 own-brand food suppliers across 1,103 sites; top five food countries UK, Spain, France, Italy, Netherlands; one Vietnam-origin plant-based SKU (crowd-sourced record)",product (Low),Shows a UK private label can source a Vietnam-made vegetable-led item,XBA-08; XBA-09; XBA-10; XBA-26,general; VN-direct,High (targets); Low (Vietnam item),stated; revealed,"Open Supply Hub needs a login, so Vietnamese sites on the list could not be counted."
