product_type,route,authority,legal_basis,documented_timeline,precedent_in_VN,open_questions,source_ids,evidence_label,confidence,notes
"Plant-based food from known ingredients (tofu, textured soy, gluten, jackfruit, do chay, plant milks)",Self-declaration (tu cong bo san pham) with lab test report within 12 months; food-safe facility; labelling,Provincial authority designated by provincial People's Committee (MOH/MOIT/MAE sector split applies),Law 55/2010; Decree 15/2018 Art 4-5; Decree 43/2017 as amended by 111/2021,Sale allowed immediately after filing (no agency approval),"Many (do chay brands, soy and nut milks)",New Food Safety Law may convert some self-declaration into registration (direction shown by suspended Decree 46/2026 and Res 66.13/2026); no rule on meat/milk terms,REG-01;REG-02;REG-06;REG-07;REG-26,VN-direct,High,Lowest legal risk route
"Koji or traditional mould fermentation on a food substrate (A. oryzae, Rhizopus)",Self-declaration as processed food,Provincial designated authority,Decree 15/2018 Art 4-5,Immediate after filing,"Traditional products (tuong, nuoc tuong) exist; no alt-protein koji product verified",Strain documentation expected by inspectors; mycotoxin testing,REG-02,VN-direct,Medium,Long history of use lowers Art 5(1) risk
"Fungal biomass food (mycoprotein, mycelium)",Self-declaration is the only mechanism; no pre-approval route for the ingredient,Provincial designated authority; VFA for guidance,Decree 15/2018 Art 4-5; risk under Law 55/2010 Art 5(1) and Art 55(1)(c),Immediate after filing (legal risk remains),None found,Would an inspector treat a new strain as 'not a food-type raw material' or a 'new-technology product not yet permitted'? No procedure to obtain permission,REG-01;REG-02,VN-direct,Medium,Edible-mushroom species lower risk than novel strains (e.g. Fusarium venenatum)
"Microalgae food (spirulina, chlorella; novel species)",(a) Self-declaration as food; or (b) registration as health supplement (thuc pham bao ve suc khoe),(a) Provincial authority; (b) MOH/VFA,"Decree 15/2018 Art 4-8, 11-12",(a) immediate; (b) 21 working days at MOH plus GMP-certified plant,Spirulina products on market (prior lead: Vinh Hao; not verified this wave),Novel species face same uncertainty as fungal biomass,REG-02,VN-direct,Medium,
Precision-fermented protein food (imported ingredient),"Importer self-declares, or exempt if used only for own production; GM labelling if >5% of product; registration at VFA if used as additive not on MOH list",Provincial authority; VFA (additives); MAE (GMO status),"Decree 15/2018 Art 4(2), 6, 10; Decree 69/2010 as amended by 43/2026 (definition of product of GMO); Circular 24/2019",Self-declaration immediate; additive registration 7 working days,None found,Does a purified recombinant protein need a GMO food-use certificate (Art 32-33) in addition to labelling? Import inspection mode under new law,REG-02;REG-18;REG-19;REG-25,VN-direct,Medium,New definition covers products with 'protein from modified gene'
Precision-fermented protein food (made in Vietnam with GM microbe),MAE certificate for GMO used in closed production (new Art 37a) + food route as above + environmental permit,MAE Minister (closed production); provincial food authority; provincial environment authority,Decree 69/2010 Art 37a (added by Decree 43/2026); Decree 15/2018; Law on Environmental Protection and Decree 08/2022,Art 37a timeline not read,None found,Art 37a dossier and timeline; whether MOH must also clear the product,REG-18;REG-58,VN-direct,Medium,"Also qualifies as priority high-tech (Decision 23/2026 items 60, 92) for CIT incentives"
Cultivated meat or seafood,"No workable route; theoretically self-declaration, but Law 55/2010 Art 55(1)(c) implies 'permission' for new-technology food with no procedure; GM cell lines add GMO issues",None designated (MOH/VFA would be lead),"Law 55/2010 Art 5(1), 55(1)(c); Decree 69/2010 as amended; possible sandbox under Law 93/2025 Art 21",None documented,None,Which ministry would approve a sandbox; whether new Food Safety Law will address it,REG-01;REG-18;REG-48,VN-direct,Medium,Singapore requires pre-market approval (REG-63)
Insect meal for livestock and poultry feed,Listed raw material ('con trung'): no trial; certified feed factory; declared standard and conformity (hop quy) vs QCVN 01-190:2020; label,Provincial People's Committee chair (factory certificate); DLPAH (list),"Law on Animal Husbandry Art 32, 36, 38-39; Circular 21/2019 App VI I.1.2; QCVN 01-190:2020; Decree 136/2025; Decree 32/2026","Factory certificate: 10 working days appraisal, 20 working days assessment, 5 working days issue (Decree 13/2020 Art 10, now provincial)","Entobel (commercial plant 2019, Dat Do IZ, Ho Chi Minh City (former Ba Ria-Vung Tau))",Entobel's portal entries not checked,REG-29;REG-30;REG-32;REG-36;REG-41;REG-44,VN-direct,High,"Insects are a benchmark, not a recommended play"
Insect meal for aquafeed,Check aquafeed permitted list (Circular 16/2026 App II); if not listed: aquafeed trial then recognition,"DFFI (list); provincial chair (trial recognition, import licence)","Law on Fisheries Art 31, 35, 36; Decree 26/2019 Art 31-32; Decree 136/2025 Art 18-19; Circular 16/2026",If trial needed: 20 days dossier appraisal + trial + 10 working days recognition,Not verified,Is insect meal on the aquafeed list?,REG-37;REG-38;REG-40;REG-41,VN-direct,Medium,Gap: list raw-material section unreadable
Duckweed meal for feed,Listed raw material ('beo' among aquatic plants): no trial for livestock; conformity vs QCVN 01-190:2020; certified factory,Provincial chair; DLPAH,Circular 21/2019 App VI I.2; QCVN 01-190:2020,As for insect meal (livestock),Research only (prior lead: Can Tho 1990s); no commercial registration found,Heavy metals and pathogens if grown on effluent; aquafeed listing unknown,REG-32;REG-36,VN-direct,High,"Food use of duckweed is a separate, uncertain food route"
