record_id,instrument,target,metric,value,horizon_year,status,foresight_type,source_ids,evidence_label,confidence,notes
ET-01,"Net-zero pledge (COP26, 2021) and Decision 896/QD-TTg (2022)",National net-zero GHG emissions,Net emissions,0 MtCO2e,2050,In force (strategy); conditional on international support per CAT,projection,CLM-01; CLM-06,VN-direct,High,Emissions to peak in 2035 per Decision 896.
ET-02,"Decision 896/QD-TTg, National Climate Change Strategy to 2050",National emissions below BAU,Reduction vs BAU,43.5%,2030,In force,projection,CLM-01,VN-direct,High,Matches the conditional 2022 NDC level.
ET-03,Decision 896/QD-TTg,Agriculture sector cap,Emissions cap (reduction vs BAU),64 MtCO2e (-43.0%),2030,In force,projection,CLM-01,VN-direct,High,Our calculation: 38.8% below the 104.5 MtCO2e emitted in 2020 (CLM-08).
ET-04,Decision 896/QD-TTg,Agriculture sector cap,Emissions cap (reduction vs BAU),56 MtCO2e (-63.1%),2050,In force,projection,CLM-01,VN-direct,High,Our calculation: 46.4% below 2020.
ET-05,Decision 896/QD-TTg,Energy sector cap,Emissions cap (reduction vs BAU),457 MtCO2e (-32.6%) in 2030; 101 MtCO2e (-91.6%) in 2050,2030; 2050,In force,projection,CLM-01,VN-direct,High,Sets the pace of grid decarbonisation relevant to fermentation power.
ET-06,Decision 896/QD-TTg,Forestry and land use,Emissions and removals,-70% emissions and +20% removals (2030); -90% and +30% (2050),2030; 2050,In force,projection,CLM-01,VN-direct,High,
ET-07,Decision 896/QD-TTg,Methane,Reduction,30% by 2030; 40% by 2050,2030; 2050,In force,projection,CLM-01,VN-direct,Medium,Base year for the 2050 figure not unambiguous in our read; Decision 942 uses 2020 for 2030.
ET-08,"Decision 942/QD-TTg, methane action plan to 2030; Global Methane Pledge",National methane cap,Methane emissions,77.9 MtCO2e (at least 30% below 2020),2030,In force,projection,CLM-02,VN-direct,High,Implied 2020 methane about 111 MtCO2e (our calculation).
ET-09,Decision 942/QD-TTg,Agriculture methane cap,Methane emissions,45.9 MtCO2e,2030,In force,projection,CLM-02; CLM-33,VN-direct,High,Implied 2020 agricultural methane about 65.6 MtCO2e (our calculation).
ET-10,Decision 942/QD-TTg,Rice methane cap,Methane emissions,30.7 MtCO2e,2030,In force,projection,CLM-02,VN-direct,High,Rice was 41.9 MtCO2e BAU in 2020 per CLM-34; about 27% below.
ET-11,Decision 942/QD-TTg,Livestock methane cap,Methane emissions,15.2 MtCO2e,2030,In force,projection,CLM-02,VN-direct,High,Our estimate: about 30% below 2020 BAU livestock methane and about 40% below 2030 BAU (from CLM-34 trajectory). Implies methane per t of meat about 34 to 39% lower by 2030 at 6.0 to 6.5 Mt meat (Decision 1520). Low confidence.
ET-12,Decision 942/QD-TTg,Waste methane cap,Methane emissions,17.5 MtCO2e,2030,In force,projection,CLM-02,VN-direct,High,
ET-13,"Plan 1693/KH-BNN-KHCN (MARD, now MAE), 28 Apr 2023",Agriculture and rural development mitigation,Reduction (excluding energy),121.9 MtCO2e total; at least 42.85 MtCO2e from crops and livestock; 79.1 MtCO2e from forestry and land use,2030,In force (ministry plan),projection,CLM-33,VN-direct,Medium,"Read via a provincial department summary, not the original text."
ET-14,Updated NDC (2022),National emissions below BAU,Reduction vs BAU,"15.8% unconditional (878 MtCO2e); 43.5% conditional (629 MtCO2e), excluding LULUCF",2030,Submitted Nov 2022,projection,CLM-08; CLM-06,VN-direct,High,CAT rates both 'critically insufficient'.
ET-15,Updated NDC (2022),Agriculture contribution,Reduction vs BAU (112.1 MtCO2e BAU),12.4 MtCO2e unconditional; 50.9 MtCO2e conditional,2030,Submitted Nov 2022,projection,CLM-08,VN-direct,High,"Measures: ruminant rations, biogas, AWD rice, conversion of poor rice land to dry crops or shrimp-rice."
ET-16,NDC 3.0 (2026 to 2035),Economy-wide 2035 target,Not published,n/a,2035,Draft; PM directed approval in Q1 2026; submission not confirmed as of Sep 2026,signal,CLM-03; CLM-04; CLM-05; CLM-07; CLM-42,VN-direct,Medium,"Draft energy cap reported at 380.2 to 519.1 MtCO2e in 2035 (41.7% below energy BAU of over 897 MtCO2e); agriculture pathways for crops, livestock and fisheries to be updated."
ET-17,"Decision 300/QD-TTg (2023), food systems transformation",Food-system GHG,Reduction vs 2020,10%,2030,In force,projection,REG-55 (v0.1),VN-direct,Medium,Carried from v0.1; not re-read.
ET-18,World Bank CCDR recommendation (not policy),Carbon tax path,Carbon price,USD 29 per tCO2e (2030); USD 90 (2040),2030; 2040,Recommendation only,projection,CLM-18,VN-direct,Medium,"Would raise about USD 80 billion; domestic carbon market pilot to 2028, full operation from 2029 (REG-59, v0.1)."
ET-19,Revised Power Development Plan 8 (Apr 2025),Non-hydro renewable share of power,Share,28 to 36% (2030); 74 to 75% (2050),2030; 2050,In force,projection,GT-11 (v0.1),VN-direct,High,Carried from v0.1; drives the grid factor for fermentation power and cooling.
