record_id,programme_or_channel,people_served,people_served_unit,meals_per_year,meals_per_year_basis,price_per_meal_vnd,rules,year,source_ids,evidence_label,confidence,demand_evidence_type,notes
INS-001,Industrial park and economic zone canteens (national),4150000,workers,1245000000,our calculation: 4.15 million x 300 meal days; upper bound,20000 to 35000,"Union floor VND 20,000 (Hai Phong); employer-organised meals tax exempt; cash allowance tax-free to VND 1.2 million per month from 1 Jul 2026 (Decree 253/2026)",2023 workers; 2026 prices,CHN-37; CHN-39; CHN-40,VN-direct,Low,inferred,"Some firms pay cash instead of meals; workers outside parks not counted. Version 0.4: union shift-meal floors (VGCL Conclusion 03, 2022) are VND 25,000 when a caterer is hired and VND 20,000 when the firm cooks itself in regions I and II (VND 22,000 and 18,000 in regions III and IV); each meal must include a protein food group (AIB-43)."
INS-002,Hai Phong FDI factory canteens,643278,"union members in 3,043 firms",,,25000 to 35000,"2 to 3 main dishes, 1 vegetable dish, soup, dessert; 62% of unionised firms use kitchens, caterers, vouchers or cash",2026,CHN-39,VN-direct,Medium,revealed,"Toyota Boshoku 33,000; Toyoda Gosei 30,000; Sumiden 35,000. Version 0.4: 2026 average about VND 31,000 (east) and 27,000 (west), some firms VND 17,000; union negotiations raised firms from 20,000 to 22,000, 22,000 to 28,000 and 24,000 to 26,500 (UPL-34)."
INS-003,Northern garment firm and Ho Guom group canteens,,,,,17000 to 29000,"Union-negotiated; 2016 minimum VND 15,000; 2022 recommendation 18,000 to 20,000; proposals of 25,000 to 29,000",2026,CHN-38,VN-direct,Medium,revealed,"Duc Giang (over 1,000 workers), Hung Yen Garment (1,692 staff), Ho Guom group (about 130 meals a day; VND 17,000 in 2024, 20,000 in 2025, 25,000 in 2026)"
INS-004,Contract catering market (all segments),,,,,29000 standard; 20000 to 50000 range,"Food 60% to 80% of meal value; informal commissions VND 500 to 1,000 per meal to purchasing staff",2024,CHN-41; CHN-35,VN-direct,Low,revealed,"About USD 2 bn, 7% CAGR; Vietnam EOC 120,000 meals a day; Hoang Kim 50,000; Vinastory 38,000; Dussmann and Thao Ha about 30,000 each. Version 0.4: Haseca reports more than 200,000 meals a day from more than 120 kitchens in five tiers of VND 18,000 to 45,000 (company claim, AIB-36); caterers' published menus lead with pork 33%, fish 26% and chicken 13% of protein dishes, tofu 9%, and name no textured soy (UPL-27; UPL-32)."
INS-005,Hanoi primary school lunch subsidy (ban tru),768000,pupils,128000000,"our calculation: VND 3,063 bn / VND 20,000 to 30,000 = about 100 to 150 million pupil meals (midpoint shown)",30000 to 35000,"Subsidy VND 20,000 per day, VND 30,000 in mountainous and island areas; minimum meal VND 30,000; up to 9 months; parents pay the difference; 703 schools (90.4%) provide ban tru",2025 to 2026,CHN-29,VN-direct,High,revealed,"Budget about VND 3,063 billion; 707,727 public and 60,273 private pupils. Version 0.4: for 2026 to 2027 see INS-017 (VND 40,000 a meal, city VND 28,000)."
INS-006,Hanoi school meal ceilings (all levels),,,,,35000 current; 50000 proposed,"Lunch ceiling VND 35,000 to 50,000; breakfast 20,000 to 25,000; preschool 35,000 to 40,000; covers labour, equipment, transport, QA",2026,CHN-28,VN-direct,Medium,revealed,Proposal of 23 Sep 2026
INS-007,Public school meals nationally,25000000,"students (all levels, B&Company)",,,25000 to 40000,"Minimum VND 30,000 in major cities; international schools VND 120,000 to 140,000 a day for three meals",2024 to 2025,CHN-35,VN-direct,Low,revealed,"About 26,000 public schools; 15.5 million primary and lower secondary pupils per CHN-31"
INS-008,"School meals, national rules after 2026 pork case",,,,,,"Dispatch 64/CD-TTg: public, transparent procurement not solely on lowest price; supplier food-safety capability and traceability; age-appropriate balanced menus",2026,CHN-30; CHN-36,VN-direct,High,revealed,About 300 t ASF pork reached 26 Hanoi public schools and private kindergartens in April 2026. Version 0.4: supplier documents and daily disclosure are now set by Directive 33/CT-TTg (INS-016).
INS-009,Border commune school lunches (Decree 339/2025/ND-CP),417708,pupils (expected),82700000,"our calculation: 417,708 pupils x about 198 lunch days (9 months x 22 days)",20455 to 22500,"Lunch support for primary and lower-secondary pupils in land-border communes: VND 450,000 a month plus 8 kg of rice for up to 9 months; schools receive VND 2,369,000 a month per 45 pupils eating together; more than VND 2,000 billion and 30,000 t of rice a year",2025 to 2026,CHN-32; APR-09; UPL-22; UPL-04,VN-direct,High,revealed,"Version 0.4: amounts and pupil numbers added (price per meal is lunch money for non-rice food per school day, our calculation). An observed Decree 339 lunch at Muong Nhe spent 91 to 97% of its non-rice money on pork (107 to 179 g raw a pupil); no upland lunch in the sample was animal-free."
INS-010,School milk programme (national framework),,,,,,"Decision 1340/QD-TTg (8 Jul 2016): 100% of preschool and primary children in poor districts, 70% elsewhere by 2020; animal protein over 40% of total protein; funding from enterprises, families and local budgets",2016,CHN-33,VN-direct,High,revealed,"Precedent for state-driven protein food demand. Version 0.4: the Decision 1340 targets ended in 2020; it is not a current school-protein rule. Current guidance is Decision 3958/QĐ-BYT (INS-014), which sets no animal share. The dairy strategy (Decision 309/QĐ-TTg, 2026) emphasises school meals with fresh milk only (APR-11)."
