source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
TIC-01,Made-in-China.com. Textured Soy Protein Machine: product search results (12 listings). Accessed 25 Sep 2026.,Textured Soy Protein Machine (hot China products),Made-in-China.com (Focus Technology),2026,https://www.made-in-china.com/products-search/hot-china-products/Textured_Soy_Protein_Machine.html,,company,2026-09-25,"Marketplace list prices USD 7,000 to 100,000 per set or piece; capacities not shown on the search page; all twelve makers in Shandong. Listing prices, not quotes: Low."
TIC-02,"Jinan Sunward Machinery Co., Ltd. Turnkey twin-screw textured soy protein TSP and TVP project processing line (product listing). Accessed 25 Sep 2026.",Turnkey Twin-Screw Textured Soy Protein Tsp Tvp Project Processing Line,"Jinan Sunward Machinery Co., Ltd.",2026,https://sunward.en.made-in-china.com/product/LdRGVNHTCMYS/China-Turnkey-Twin-Screw-Optimum-Nutrition-Protein-Halal-Ingredients-Textured-Soy-Protein-Tsp-Tvp-Project-Processing-Line-Machinery-and-Equipment.html,,company,2026-09-25,"USD 11,000 to 100,000 per set; TSE65-S to TSE95-S, 200 to 1,500 kg/h, installed 105 to 210 kW, actual 75 to 140 kW; raw material low-temperature soy flakes. Low."
TIC-03,"Jinan Saibainuo Extrusion Machinery Co., Ltd. TVP TSP fiber artificial vegetable meat production plant (product listing). Accessed 25 Sep 2026.",Tvp Tsp Fiber Artificial Vegetable Meat Production Plant,"Jinan Saibainuo Extrusion Machinery Co., Ltd.",2026,https://extruderfoodmachine.en.made-in-china.com/product/hOWfmHqUOGRl/China-Tvp-Tsp-Fiber-Artificial-Vegetable-Meat-Production-Plant-Textured-Soya-Protein-Processing-Line-Soy-Chunks-Nuggets-Making-Machine.html,,company,2026-09-25,"USD 30,000 to 80,000 per set; SLG65, SLG85, SLG95 at 260, 500 and 1,000 kg/h and 76, 178 and 280 kW; line includes mixer, extruder, dryer, cooler, packing machine; two-year warranty; engineers fly abroad. Low."
TIC-04,"Shandong Light M and E Co., Ltd. Extrusion textured soy protein equipment (product listing). Accessed 25 Sep 2026.",Extrusion Textured Soy Protein Equipment,"Shandong Light M and E Co., Ltd.",2026,https://cnsunlit.en.made-in-china.com/product/EOUfZMYVYRbQ/China-Extrusion-Textured-Soy-Protein-Equipment-Extruded-Soya-Chunk-Mince-Machine.html,,company,2026-09-25,"USD 42,000 per set; ETT65, ETT78, ETT98 at 120 to 400 kg/h; mixing, extrusion, cutting, drying. Low."
TIC-05,"Jinan Dayi Extrusion Machinery Co., Ltd. Textured soy protein extruder nuggets chunks mince making machine (product listing). Accessed 25 Sep 2026.",Textured Soy Protein Extruder Nuggets Chunks Mince Making Machine,"Jinan Dayi Extrusion Machinery Co., Ltd.",2026,https://dayimachine.en.made-in-china.com/product/jSdQJqbDAMrz/China-Textured-Soy-Protein-Extruder-Nuggets-Chunks-Mince-Making-Machine.html,,company,2026-09-25,"USD 30,000 per set; SLG115, 600 to 800 kg/h, 160 kW; mixer, single-screw extruder, cooling vibrator, recycling dryer. Low."
TIC-06,"Jinan Sunpring Machinery and Equipment Co., Ltd. Automatic soya chunks TVP textured soy vegetable protein nuggets extruder line (product listing). Accessed 25 Sep 2026.",Automatic Soya Chunks Tvp Textured Soy Vegetable Protein Nuggets Extruder,"Jinan Sunpring Machinery and Equipment Co., Ltd.",2026,https://sunpring.en.made-in-china.com/product/jJsRHBtzXlWV/China-Automatic-Soya-Chunks-Tvp-Textured-Soy-Vegetable-Protein-Nuggets-High-Moisture-Meat-Analogue-Extruder-Production-Processing-Extrusion-Line-System-Making-Machine.html,,company,2026-09-25,"USD 8,000 to 26,000 per set; 240 kg/h to 2 t/h; defatted soy flour input; price negotiable. Low."
TIC-07,"Shandong Joyang Machinery Co., Ltd. TVP TSP textured vegetable soy protein soya chunks nuggets minces making machine (product listing). Accessed 25 Sep 2026.",Tvp Tsp Textured Vegetable Soy Protein Soya Chunks Nuggets Minces Making Machine,"Shandong Joyang Machinery Co., Ltd.",2026,https://joyangmachinery.en.made-in-china.com/product/afbpovuVHqUh/China-Tvp-Tsp-Textured-Vegetable-Soy-Protein-Soya-Chunks-Nuggets-Minces-Making-Machine.html,,company,2026-09-25,"USD 12,000 to 27,000 per piece; JY-65, JY-75, JY-95 at 200 to 1,000 kg/h and 115 to 193 kW; lines 15 to 29 m long; 1 to 2 engineers sent to install. Low."
TIC-08,"Jinan Chenyang Technology Co., Ltd. High configuration textured soybean protein machine (product listing). Accessed 25 Sep 2026.",High Configuration Textured Soybean Protein Machine,"Jinan Chenyang Technology Co., Ltd.",2026,https://chenyangtech.en.made-in-china.com/product/GEKpQtNrTWhx/China-High-Configuration-Textured-Soybean-Protein-Machine-Soy-Cheap-Making-Machine-Soybean-Vegetarian-Meat-Processing-Line.html,,company,2026-09-25,"USD 8,000 to 36,900 per set; SR65 and SR75 at 150 to 400 kg/h, 45 and 75 kW; dryer optional; 2 operators; installation 7 to 14 days. Low."
TIC-09,"Shandong Arrow Machinery Co., Ltd. High-efficiency soya meat analogue extruder machine (product listing). Accessed 25 Sep 2026.",High-Efficiency Soya Meat Analogue Extruder Machine for Plant-Based Protein Production,"Shandong Arrow Machinery Co., Ltd.",2026,https://arrowextrusion.en.made-in-china.com/product/ZOLAQkGHfjcC/China-High-Efficiency-Soya-Meat-Analogue-Extruder-Machine-for-Plant-Based-Protein-Production.html,,company,2026-09-25,"High-moisture meat analogue line: USD 90,000 (one set) or 88,000 (two or more); AHT36 to AHT72 at 10 to 600 kg/h. Low."
TIC-10,"Shandong Joyang Machinery Co., Ltd. Complete plant-based meat production line TVP TSP making machine (product listing). Accessed 25 Sep 2026.",Complete Plant-Based Meat Production Line Tvp Tsp Making Machine,"Shandong Joyang Machinery Co., Ltd.",2026,https://joyangmachinery.en.made-in-china.com/product/ROhfHrgEvUou/China-Complete-Plant-Based-Meat-Production-Line-Tvp-Tsp-Making-Machine-Meat-Substitute-Manufacturing-Equipment.html,,company,2026-09-25,"USD 32,000 to 85,000 per set; JY65-IV 200 to 260 kg/h (105 kW installed, 70 kW used) and JY85-III 500 to 600 kg/h (150 kW installed, 110 kW used); dryer included. Low."
