fact_id,topic,claim,value,unit,year_of_data,scope,source_ids,evidence,confidence,quote,notes
PA-01,Protein basics,Protein in food supplies nitrogen and the amino acids the body needs to build and maintain tissue; European regulators set the adult reference intake at 0.83 g of protein per kg of body weight a day.,0.83,g protein per kg body weight per day,2012,"adults, EU reference value",PRA-01,general,High,the PRI for adults of all ages was estimated to be 0.83 g protein/kg body weight per day,"Second quote: ""Dietary proteins are the source of nitrogen and indispensable amino acids which the body requires for tissue growth and maintenance."" The FAO/WHO/UNU 2007 report (WHO TRS 935) gives the same adult safe level but could not be fetched (403), so it is not cited."
PA-02,Protein basics,"Proteins are chains of amino acids; nine of them are essential (indispensable), meaning the body cannot make them and must get them from food.",9,indispensable amino acids,2013,human nutrition,PRA-02; glossary GL-003,general,High,An amino acid the body cannot make and must get from food.,"Quote is the package glossary definition GL-003. FAO 2013 Table 5 lists histidine, isoleucine, leucine, lysine, methionine plus cysteine, phenylalanine plus tyrosine, threonine, tryptophan and valine."
PA-03,Protein basics,"Protein quality is scored by how well a food supplies digestible essential amino acids: PDCAAS is the older score, capped at 1.0 (100%); DIAAS is the newer score FAO recommended in 2013, which is not capped and uses digestibility of each amino acid.",,,2013,definitions,PRA-02; glossary GL-005; glossary GL-006,general,High,A new protein quality measure (digestible indispensable amino acid score; DIAAS) is recommended to replace PDCAAS.,"Second FAO quote: ""Values above 100% should not be truncated as was done for the PDCAAS value."" PDCAAS-like scores flatter plant proteins against DIAAS [NQR-15]."
PA-04,Protein basics,"Measured in growing pigs, soy protein isolate scores a DIAAS of about 97, pea protein concentrate 70 and brown rice protein 42, against 113 to 137 for pork products; human data can be lower than pig data.",97; 70; 42; 113 to 137,"DIAAS, older child and adult pattern",2023 to 2024,pig ileal digestibility,SCI-40; NQR-07; SCI-42,general,High,Soy isolate is the reference: measured pig DIAAS of 97 on the older child and adult pattern,Quote from package app-j (J.2). Mung bean digestibility in Indian children was about 20% lower than pig estimates [SCI-42]. Values are per ingredient; blends score higher than their weakest part.
PA-05,Protein basics,"Labels and feed specifications often give ""crude protein"", which is nitrogen multiplied by 6.25 and so also counts non-protein nitrogen such as the nucleic acids that are abundant in microbial biomass.",6.25,conversion factor,n/a,definition,glossary GL-002,general,High,Nitrogen content multiplied by 6.25; includes non-protein nitrogen such as nucleic acids.,Package glossary GL-002. Matters when reading single-cell protein figures of 70 to 84% crude protein.
PA-06,Definitions,"In this study, alternative protein means protein for food or feed made from plants, microorganisms, fungi, algae, insects or cultivated cells rather than conventional livestock and fish.",,,2026,package definition,glossary GL-001,general,High,"Protein for food or feed made from plants, microorganisms, fungi, algae, insects or cultivated cells rather than conventional livestock and fish.",Package glossary GL-001. Note the definition explicitly includes feed.
PA-07,Regulation,In the European Union a novel food is one not eaten to a significant degree in the EU before 15 May 1997; it needs pre-market authorisation.,15 May 1997,cut-off date,1997,European Union,EXP-46,general,High,Food that had not been consumed to a significant degree by humans in the EU before 15 May 1997,Quote re-read on the European Commission page on 2026-09-25. Legal basis Regulation (EU) 2015/2283. Traditional foods from third countries have a notification route (package app-g).
PA-08,Regulation,"In Singapore a novel food is food without a history of use as food over the past 20 years, including cultivated meat and precision-fermented proteins; selling an unapproved novel food has been an offence since 28 November 2025.",20,years of history of use,2025,Singapore,EXP-34; REG-63,VN-adjacent,High,Novel food comprises food or food ingredients that do not have a history of use as food over the past 20 years.,Quote re-read on the SFA page on 2026-09-25 (same URL as EXP-34 and REG-63).
PA-09,Regulation,"In the United States many new ingredients reach market as GRAS (generally recognised as safe by qualified experts), which is not subject to FDA pre-market approval; notifying FDA is voluntary, and FDA proposed tighter oversight on 10 August 2026.",,,2026,United States,EXP-45; PRA-11; PRA-14,general,High,not subject to premarket review and approval by FDA,"Fragment quoted from the FDA GRAS page (fetched 2026-09-25). An FDA ""no questions"" letter is not a formal approval. Cultivated meat follows a separate FDA consultation plus USDA inspection (package APR-019 notes)."
PA-10,Regulation,"Vietnam has no novel-food category: no law or decree defines novel food, history of safe use or pre-market assessment for a new food source.",,,2026,Vietnam,REG-01; REG-02,VN-direct,High,"Vietnam has no novel-food category. No law or decree defines novel food, history of safe use or a pre-market safety assessment",Quote from package app-g. The July 2026 draft Food Safety Law summaries do not add one [REG2-05; REG2-06].
PA-11,Plant-based,"Plant protein ingredients are graded by purity: concentrates hold about 60 to 80% protein and isolates about 90% or more; textured vegetable protein is made by extrusion (cooking and shaping under heat and pressure), and high-moisture extrusion makes fibrous whole-cut analogues.",60 to 80; 90,% protein,n/a,definitions,glossary GL-007; glossary GL-008; glossary GL-011; glossary GL-044; glossary GL-045,general,High,A protein ingredient of about 60 to 80% protein.,"Package glossary GL-008 (concentrate); GL-007 (isolate): ""A protein ingredient of about 90% protein or more."""
PA-12,Plant-based,"Traditional plant proteins are modest in protein per 100 g: tofu has 10.9 g in the Vietnamese food composition table, against 19.0 g for lean pork and 20.3 g for chicken; shop labels for tofu often show less.",10.9; 19.0; 20.3,g protein per 100 g,2007 table; 2026 audit,Vietnam,DIE-12; APR-04; FORM-01,VN-direct,Medium,Label protein is below the FCT value of 10.9 g (DPP-016 disagreement in the package).,Quote from package data (protein_food_micronutrients.csv). Retail-audit tofu labels had a median of 4.98 g per 100 g (n = 5); the package gives both and does not average.
PA-13,Plant-based,"Tempeh, whole soybeans fermented with Rhizopus mould, holds about 17 to 25% protein.",16.65 to 25.19,% protein,2019,Indonesian samples,PRA-19,general,Medium,The protein content of tempeh ranges from 16.65-25.19%,Small regional journal; six soybean varieties and three fermentation times; basis probably as eaten (moisture about 60 to 67%).
PA-14,Plant-based,"On Vietnamese shelves, dried textured soy (TVP) is about 64 g protein per 100 g as sold, while gluten or TVP-based chay analogues hold 12 to 25 g per 100 g once hydrated; every locally made product with 10 g or more of protein uses imported textured soy, soy concentrate or wheat gluten.",64; 12 to 25,g protein per 100 g,2026,"Vietnam, 186-SKU retail audit",FORM-01,VN-direct,High,gluten- or TVP-based analogues at 12 to 25 g per 100 g hydrated (median 19 g),"Quote from package ch04. 64 g is the median of 5 dried chunks (protein_food_micronutrients.csv NQR-MN18). Convenience sample, not a market survey."
PA-15,Plant-based,"The best-known modern plant-based burgers both reached market in 2016: the Beyond Burger, sold in the meat case, and the Impossible Burger, first served on 27 July 2016 at Momofuku Nishi in New York.",2016,year of market entry,2016,United States,PRA-12; PRA-13,general,High,"It will introduce the Impossible Burger on Wednesday, July 27, at Momofuku Nishi in Manhattan.","Beyond quote: ""The company introduced the Beyond Burger in 2016 ... sold in the meat case."" Both are company statements. The 2016 Impossible recipe: water, wheat protein, coconut oil, potato protein and leghemoglobin."
PA-16,Plant-based,"Modern plant-based meat is mature technology but its market has shrunk from the 2021 peak: in the US its share of meat dollar sales fell from 1.4% (2021) to 0.7% (2025), and Beyond Meat revenue from USD 465 million to USD 276 million; global retail sales were about USD 6.6 billion in 2025.",0.7; 6.6,% of US meat sales; USD billion,2025,United States; world,GLB-01; GLB-02; GLB-46; GLB-05,general,High,"USD 88 million (2018), USD 465 million (2021 peak), USD 276 million (2025)","Beyond Meat quote from package working paper wave6/global. US and global sales data are licensed Circana, SPINS and Euromonitor figures published by GFI (advocacy). Global figure confidence Medium."
PA-17,Plant-based: cost and scale,"Textured plant protein is cheap to make: our package estimates dry TVP at about USD 790 to 2,070 per tonne ex-factory in Vietnam, and Chinese textured protein arrives at about USD 1.6 to 1.7 per kg; no verified capital-cost benchmark for extrusion was found.","790 to 2,070",USD per tonne ex-factory,2026,"Vietnam, indicative",COST-01; COST-21; COST-28; FORM-05; FORM-06; FORM-07,VN-direct,Low,"puts dry TVP from soy flour or concentrate at USD 790 to 2,070 per tonne ex-factory","Quote from package app-j (J.2); a package calculation, not a market price. Chinese export prices from package ch04 (2023 data, High)."
PA-18,Fermentation: traditional,"Traditional fermentation uses moulds and bacteria to transform food: koji mould (Aspergillus oryzae) makes soy sauce, miso and Vietnamese tuong; it cannot make aflatoxin, although wild starters still need safety checks.",,,2018,general,glossary GL-025; glossary GL-031; glossary GL-032; SCI-19,general,High,"A. oryzae cannot make aflatoxin, because its aflatoxin gene cluster carries disabling mutations.","Quote from package app-j (J.4). A. oryzae can make cyclopiazonic acid and 3-nitropropionic acid, so strains need characterising [SCI-19]."
PA-19,Fermentation: biomass,"Mycoprotein, sold as Quorn, is a fungus (Fusarium venenatum) grown in fermenters fed with glucose, ammonia and salts; it went on sale in the UK in 1985 and is now sold in about 17 to 20 countries.",1985,year of launch,2023,United Kingdom,PRA-03; PRA-04; PRA-06,general,High,the main component of Quorn foods which was launched in 1985 ( 4 ) and is now sold in twenty different countries,"Disagreement: UK approval year given as 1984 [PRA-03] or 1981 [PRA-04]; launch year 1985 agreed. Country count 17 [PRA-06, 2019] or 20 [PRA-03, 2023]. PRA-03 quote trimmed of a trademark symbol."
PA-20,Fermentation: biomass,"Mycoprotein is about 12% protein as harvested (wet) and 30 to 45% on a dry basis, scores a PDCAAS of about 1.0, and needs a heat step that cuts its RNA from about 10% to 2% of dry weight.",12; 30 to 45; 0.996,% wet; % dry; PDCAAS,2020 to 2025,general,PRA-05; SCI-21; NQR-14; SCI-20,general,Medium,"Freshly harvested mycoprotein has a protein content of 12% ( w / w , wet weight)","Wet and dry figures describe the same product on different bases; they do not disagree. RNA quote from package app-j: ""falls from about 10% to about 2% of dry weight after a 68 C, 20-minute heat step""."
PA-21,Fermentation: biomass (cost and scale),"A peer-reviewed cost model puts mycoprotein at USD 29.56 per kg of protein, able to match beef but not chicken; the largest biomass-protein capacity is in China (Angel Yeast 11,000 t a year; Cabio with Nourish about 170,000 t of finished product).","29.56; 11,000; 170,000",USD per kg protein; t per year,2022 to 2026,US model; China,COST-43; HSC-14; HSC-13,general,Medium,will not be an economic alternative for inexpensive products such as chicken,"Cost quote from package app-j (Risner et al. 2023, High). Chinese capacity figures from press and GFI APAC (advocacy), Medium. A plant costing USD 100 million in the US costs about USD 15 million in China [HSC-13]."
PA-22,Fermentation: biomass (history),"Single-cell protein for feed is not new: ICI ran a 1,500 m3 Pruteen reactor from 1979 to 1987, and its product sold at about twice the price of soy protein.","1,500",m3 reactor,1979 to 1987,United Kingdom,COST-43,general,Medium,"ICI's 1,500 m3 Pruteen feed-SCP reactor ran from 1979 to 1987 and sold at about twice the price of soy protein","Quote from package app-j (J.5). A useful precedent: technical success, commercial failure against soy."
PA-23,Fermentation: gas,"Gas fermentation grows bacteria on gases instead of sugar: Solar Foods makes Solein from hydrogen and CO2 (approved in Singapore in 2022) in a plant of at most 160 to 230 t a year, with a 3,200 t plant planned for late 2028 but not yet financed.",160 to 230,t per year,2026,Finland,COST-53; FTG-04; FTG-05; RGN-04; glossary GL-027,general,Medium,"Largest plant 160 to 230 t a year (Finland); first commercial plant (3,200 t a year) planned for late 2028","Quote from package ch16. Company says 160, press 230; the package gives both. Singapore date 29 Sep 2022 (package approvals.csv APR-004). Modelled cost EUR 4.0 to 4.5 per kg protein in 2030 at best sites [FTG-01]."
PA-24,Fermentation: feed SCP,"Bacterial protein for feed is sold at scale in China: Clostridium protein from steel-mill off-gas (about 84% crude protein) was certified in 2021 and made 10,200 t in 2023, while Calysseo's 20,000 t a year methane-protein (FeedKind) plant halted in 2026.","10,200; 20,000",t in 2023; t per year capacity,2021 to 2026,China,FTG-22; FTG-08; FTG-06; FM-13; SCI-23,VN-adjacent,Medium,"Shougang LanzaTech made 10,200 t of protein in 2023, at 0.1 to 0.15 t per t of ethanol","Quote from package app-v. Unibio plans 50,000 t a year in Saudi Arabia from 2028 [FTG-07], a plan not a plant. Clostridium protein replaces about 30% of fishmeal in shrimp without growth loss [SCI-23]."
PA-25,Fermentation: precision (precedent),"Precision fermentation, engineered microbes making one specific protein, is decades old in medicine and cheese: recombinant human insulin was approved in the US in 1982 and fermentation-made chymosin (rennet) was affirmed safe for food in 1990.",1982; 1990,year,1982; 1990,United States,PRA-10; PRA-07; PRA-08; PRA-09; glossary GL-023,general,High,"Humulin, a recombinant human insulin fabricated in the bacterium E. coli [ 35 ], was the first approved biopharmaceutical (by the FDA) in 1982","Chymosin: eCFR source note ""55 FR 10935, Mar. 23, 1990"". The share of cheese or rennet now made with fermentation-produced chymosin is given as over 90% of rennet [PRA-09] or about 70% (US) and 90% (UK) of cheese [PRA-08]; years not stated; do not average."
PA-26,Fermentation: precision (food examples),"Precision-fermented proteins reached food mainly as small, high-value ingredients: FDA raised no questions on Impossible Foods' yeast-made heme protein in 2018 (up to 0.8% of a burger) and on Perfect Day's whey protein in 2020, and Singapore approved Remilk's whey protein in 2023.",2018; 2020; 2023,year,2018 to 2023,United States; Singapore,PRA-11; PRA-14; RGN-04; SCI-09,general,High,use at a level up to 0.8% soybean leghemoglobin protein to optimize flavor in ground beef analogue products,"Perfect Day letter quote: ""We have no questions at this time regarding Perfect Day's conclusion that beta-lactoglobulin is GRAS"". EFSA also issued an opinion on soy leghemoglobin in 2024 [SCI-09]."
PA-27,Fermentation: precision (cost and scale),"Precision fermentation is not yet cheap enough for bulk protein: experts say yields above 50 g per litre are needed, the best published heme yield is 10.1 g per litre, and no peer-reviewed cost model for a food protein was found.",50; 10.1,g per litre,2023 to 2026,general,SCI-01; SCI-02; SCI-05,general,Medium,The cost-efficiency requirements involve production titers above 50 g/L,"Quote from package app-j (Nielsen et al.). The 50 g/L figure is an expert assertion, not a modelled threshold. Scale reference: a 600 m3 US plant starting 2026 [COST-54]; funding share of precision fermentation within fermentation rose from 33% (2023) to 66% (2025) [FTB-17, advocacy]."
PA-28,Cultivated meat and seafood,"Cultivated meat is grown from animal cells: a small starter population is multiplied in growth medium (nutrients plus signalling proteins called growth factors) in bioreactors, and may be grown on edible scaffolds to form tissue.",10^4 to 10^13,cells per batch for about 1 t of meat,2020,general,PRA-16; glossary GL-038; glossary GL-041,general,High,"as cell number grows, the culture is gradually moved to bioreactors with controlled conditions such as temperature, pH and dissolved oxygen","Post et al. 2020: seed train from ""typically in the order of 10^4 cells"" to ""10^13 cells, to create 1 ton"". Growth factors can be up to 95% of serum-free medium cost at current prices [SCI-15]."
PA-29,Cultivated meat and seafood,The first cultivated beef burger was cooked and tasted in public in London on 5 August 2013.,2013,year,2013,United Kingdom,PRA-15; PRA-22,general,High,Cultured meat has evolved from an idea and concept into a reality with the August 2013 cultured hamburger tasting in London.,"Exact day (5 August) from PRA-22, which cites press sources."
PA-30,Cultivated meat and seafood,"Singapore was the first country to approve cultivated meat (Eat Just chicken, 26 November 2020), with first sales in December 2020; by August 2026 Singapore listed six cultivated products and the US FDA had completed five consultations, including salmon in May 2025.",2020,year of first approval and sale,2020 to 2026,Singapore; United States,RGN-04; NOV-10; RGN-03,VN-adjacent,High,"Singapore lists six cultivated products, including the world's first cultivated duck (April 2026) and beef (July 2026)","Quote from package app-j (J.11). Approval date from package approvals.csv APR-002. GOOD Meat reported more than 2,000 servings sold from December 2020 to May 2024 [NOV-10], a company claim (Low)."
PA-31,Cultivated meat and seafood (cost),"Cultivated-meat cost estimates differ by an order of magnitude: Humbird's 2021 model gives USD 37 to 51 per kg of wet cells and judges food prices unlikely, while a GFI-commissioned CE Delft model gives USD 5.66 per kg by 2030 under optimistic assumptions.",37 to 51; 5.66,USD per kg,2021,US and generic plant models,COST-47; SCI-14; PRA-17,general,Medium,"USD 37/kg of wet cell mass in fed-batch (24 x 20 m3 reactors, 6.8 kt/yr) and USD 51/kg in perfusion","Quote from package app-j. CE Delft quote: ""$5.66 per kg ($2.57 per pound)"" (advocacy summary, report not read). They differ mainly on growth-factor prices, achievable cell density and reactor cost [SCI-14; SCI-15]. A 50:50 cell and plant hybrid was modelled at USD 13.67 per kg [SCI-16; SCI-17]. Give all; do not average."
PA-32,Cultivated meat and seafood (scale),"Cultivated meat remains tiny in 2026: the largest production run is 20,000 litres, specialised firms fell from 155 to 142, investment fell to about USD 74 million in 2025 from about USD 1 billion in 2021, and an expert panel gave a 54% chance world output stays below 100,000 t a year through 2051.","20,000; 74; 54",litres; USD million; % probability,2025 to 2026,world,FTB-24; FTB-45; CAP-51; HSC-18,general,Medium,"Largest run 20,000 L; Believer Meats shut in December 2025 after FDA clearance; firms fell from 155 to 142","Quote from package ch16. FTB-24 and CAP-51 are GFI (advocacy) data. Believer Meats shut after regulatory clearance, so approval is not the binding constraint [FTB-24]."
PA-33,Microalgae,Microalgae such as spirulina and chlorella are 50 to 70% protein by dry weight and are sold mainly as supplements; no DIAAS for microalgal biomass had been published as of a 2021 review.,50 to 70,"% protein, dry weight",2025,general,PRA-18; SCI-39; RGN-04; ECO-52,general,Medium,Species such as Arthrospira platensis and Chlorella vulgaris contain protein levels ranging from 50% to 70% of their dry weight,"Singapore approved Chlamydomonas algae biomass in 2019 [RGN-04]. Vietnam has grown spirulina at Vinh Hao since about 1976 (company claim, Low) [ECO-52]."
PA-34,Duckweed,Duckweed (tiny floating plants) holds roughly 20 to 44% protein depending on species and growing conditions; the EU judged a Lemna protein concentrate safe in 2023 but could not confirm the safety of whole Wolffia powder because of manganese.,20 to 30; 44.3,% protein,2018 to 2024,general; Thailand,SCI-34; SCI-35; SCI-28; SCI-30,general,High,Wolffia protein is 20 to 30% of freeze-dried weight across 11 laboratory-grown species,"Quote from package app-j. Thai Wolffia held 44.3% crude protein [SCI-35, VN-adjacent, Medium]; give both."
PA-35,Insects (benchmark only),"Insect meal, mainly black soldier fly larvae, is already sold as feed, including from a 10,000 t a year plant in Vietnam opened in 2023; in shrimp it replaced 20% of fishmeal without loss but 30% reduced growth. This study treats insects as a benchmark only.","10,000; 20",t per year; % of fishmeal replaced,2023,Vietnam; general,ECO-01; ECO-03; SCI-27,VN-direct,High,"10,000 t/yr in Ho Chi Minh City (former Ba Ria-Vung Tau), opened 23 November 2023",Quote from package ch04. Entobel H-Meal is at least 53% crude protein. Output not disclosed. Package framing: insects are never recommended.
PA-36,Hybrids and blends,"Hybrid products mix animal and alternative protein: the only cultivated chicken sold in Asian retail (Singapore, 2024) contained 3% cultivated cells, and soy is already the standard extender in processed meat.",3,% cultivated cells,2024,Singapore,NOV-10; NOV-11; glossary GL-019; glossary GL-203,VN-adjacent,Medium,3 percent cultivated cells,"Quote from package source note for NOV-10. In a blended minced-pork dish with 20 to 30% of protein from textured soy, DIAAS stays at or above about 97 (package app-j calculation). Consumer evidence mixed: about half would rather not buy 70/30 hybrids [HXE-09]."
PA-37,Food and feed,"Most of the world's soy is eaten by animals, not people: about 77% of global soy is fed to livestock, 87% of soybeans are crushed into oil and meal, 99% of that meal goes to feed, and only about 6% of soy is eaten directly as food.",77; 87; 99; 6,%,2018 to 2019,world,PRA-21; PRA-20,general,High,More than three-quarters (77%) of global soy is fed to livestock for meat and dairy production.,"Second quote (PRA-20): ""87% of the global soy output is processed into soy oil and soy cake"". Underlying data USDA PSD. 7% of soy is fed whole to animals (OWID footnote)."
PA-38,Food and feed,"Fishmeal, the high-quality protein in shrimp and fish feed, is limited to about 4 to 4.5 million tonnes a year, and aquaculture uses most of it.",4 to 4.5; 69; 87,Mt per year; % used in aquaculture,2016; 2024,world,FM-06; FM-35,general,Medium,"About 4.5 Mt of fishmeal was made in 2016, 69% of it used in aquafeed","Quote from package app-h. A 2026 paper gives about 87% used by aquaculture, citing FAO 2024 [FM-35]. Different years; give both."
PA-39,Food and feed,"Feed ingredients set the price to beat: in August 2026 a tonne of protein cost about USD 880 in soybean meal against USD 3,846 in fishmeal (USD 2,625 in 2025).","880; 3,846; 2,625",USD per tonne of protein,2025 to 2026,world prices,FM-01,general,High,"soybean meal protein cost about USD 880 per tonne in August 2026 against USD 3,846 for fishmeal protein","Quote from package app-j (J.5), derived from World Bank Pink Sheet prices and protein contents."
PA-40,Food and feed,"In Vietnam, feed is the most advanced alternative-protein market (insect meal and imported Chinese microbial protein are already sold), and almost all soybeans are imported: 2.61 Mt in 2025, 98.4% of supply.",2.61; 98.4,Mt; % of supply,2025,Vietnam,ECO-01; FM-12; MAC-04; MAC-09,VN-direct,High,"Vietnam imported 2.61 Mt of soybeans in 2025, 98.4% of supply","Quote from package app-j (J.2). Feed-market statement from package ch04: ""The most advanced alternative-protein market in Vietnam is animal feed""."
