record_id,brand,owner_country,product,category,channel,entry_year,current_status,status_as_of,evidence,source_ids,evidence_label,confidence,demand_evidence_type,notes
LE-01,Beyond Meat,USA,"Beyond Burger, sausages, mince",plant-based meat (imported),"Restaurants first (BiaCraft, 3 Ho Chi Minh City venues), then gourmet retail and e-commerce",2019,Not seen on shelf in September 2026; no current distributor found,2026-09,"First served at BiaCraft in August 2019; gourmet retail at VND 1.2 to 1.8 million per kg in 2022; absent from all 11 audited stores in Sept 2026, including Annam Gourmet and Nam An that stocked it in 2022",ECO-16; ECO-15; ECO-19; FORM-01,VN-direct,Medium,revealed,Absence in a convenience audit is not proof of exit; e-commerce not checked
LE-02,"OmniFoods (OmniPork, Omni Luncheon)",Hong Kong,"Mince, luncheon; Starbucks meatball sandwich and luncheon bake",plant-based meat (imported),Gourmet retail (2022); Starbucks Vietnam limited menu (summer 2023),2022,Starbucks promotion appears to have been limited-time; not seen on shelf in September 2026,2026-09,Starbucks Vietnam partnership reported for summer 2023; brand site did not resolve on 23 Sep 2026; absent from 2026 audit,ECO-20; ECO-15; FORM-01,VN-direct,Medium,revealed,Current Starbucks Vietnam food menu could not be verified (site static)
LE-03,Next Meats,Japan,"Yakiniku, gyudon-style slices",plant-based meat (imported),Classic Fine Foods deli,2022,Not seen in September 2026,2026-09,"VND 52,000 per 80 g in 2022; absent from 2026 audit",ECO-15; FORM-01,VN-direct,Low,revealed,Single blog source for 2022 presence
LE-04,Heura,Spain,"Chicken strips, burgers, sausages",plant-based meat (imported),Gourmet retail and e-commerce,2022,Not seen in September 2026,2026-09,Listed by a 2022 blog; absent from 2026 audit,ECO-15; FORM-01,VN-direct,Low,revealed,
LE-05,Impossible Foods,USA,Impossible Burger,plant-based meat,None found,none found,No evidence of a Vietnam launch,2026-09,"No listing, menu or press found by wave 1 or this stream",ECO-15,VN-direct,Low,revealed,Absence of evidence only
LE-06,Meatless Farm,UK,Plant-based mince and burgers,plant-based meat,None found,none found,No evidence retrieved,2026-09,Not checked in depth (web search quota exhausted),none (no evidence retrieved),VN-direct,Low,revealed,Open question
LE-07,Zhenmeat,China,Plant-based meat,plant-based meat,None found,none found,No evidence retrieved,2026-09,Not found by wave 1 or this stream,none (no evidence retrieved),VN-direct,Low,revealed,Open question
LE-08,Starfield,China,Plant-based meat,plant-based meat,None found,none found,No evidence retrieved,2026-09,Not checked in depth (web search quota exhausted),none (no evidence retrieved),VN-direct,Low,revealed,Open question
LE-09,CP Meat Zero,Thailand (CP Foods),"Plant-based minced pork, roast pork and chay bologna (8 SKUs, 90 g to 1 kg), imported from Thailand",plant-based meat (imported),"Kamereo, a B2B supplier to restaurants, cafes and hotels (Ho Chi Minh City and nearby provinces)",unknown (listing date not shown),Listed but out of stock and not orderable on all 8 SKUs; probable pause or exit from B2B,2026-09-25,"VND 175,000 to 378,000 per kg against CP's own minced pork at VND 114,450 per kg on the same platform; 386 units on the sold counter across 8 SKUs against 24,769 for CP minced pork; no retail listing in the 2026 audit",AIS-25; CPC-12; CPC-13; FORM-01,VN-direct,Medium,revealed,Replaces 'None found; no evidence retrieved'. Closes the CP part of OQ-192 for B2B; retail and CP's own shops not checked. Version 0.4: replaced from the wave 7 competitor line.
LE-10,Unconventional,Italy,Frozen plant-based burger and sausages (soy concentrate and isolate),plant-based meat (imported),"Gourmet retail (Annam Gourmet, An Phu)",unknown,On shelf in one gourmet store,2026-09-20,"VND 542,000 to 622,000 per 100 g of protein, against VND 34,000 to 46,000 for eggs and chicken breast",FORM-01,VN-direct,High,revealed,Only extruded modern analogue seen in 186 SKUs
LE-11,Ông Chà Và / NOSA,China-made (brand owner unverified),Canned soy luncheon and vegetarian beef,"plant-based meat (canned, imported)","Mass modern retail (Co.opmart, Emart)",unknown,On shelf,2026-09,"VND 57,000 to 70,000 per can; declared soy protein as low as 2.5%",ECO-40; FORM-01,VN-direct,Medium,revealed,Shows an older canned mock-meat format reaching mass retail
LE-12,VMEAT (Cay De Food),Vietnam,"Burger patties, ground meat, cha lua, ham",plant-based meat (local startup),Direct and small retail,2022,Dormant: no evidence of activity after 2022,2026-09-25,"2022 prices VND 164,000 to 445,000 per kg; F&B customers gave 70% of 2021 revenue and over 90% of raw materials were imported; no later evidence: news-site search returned no result and the company site did not respond (25 Sep 2026)",ECO-19; ECO-17; AIS-41; BRD-18; BRD-19,VN-direct,Low,revealed,"Version 0.4: moved from unknown to dormant; dormant means no evidence found, not proof of closure. First channel class: foodservice."
LE-13,Is It Meat?; Yukino Foods; SaladStop!,Vietnam (expat-founded); Japan-linked; Singapore,"Nuggets, sausages, gyoza, burgers, salad patties",plant-based meat (foodservice),Ho Chi Minh City restaurants and one shop,2016 to 2020,Unknown,2026-09,Single 2022 blog source,ECO-15,VN-direct,Low,revealed,Foodservice-only micro players
LE-14,INNOHAS,South Korea,OEM and ODM plant-based meat and dumplings; planned Vietnamese products,plant-based meat (regional OEM),Planned local production and distribution (2024),2024 (investment),No Vietnam launch found; 2026 website names only Korean facilities,2026-09-25,Home page lists OEM and ODM services and Korean plants; no Vietnam or Southeast Asia mention,VCO-31; AIS-16,VN-direct,Medium,revealed,Status as of date moved to 2026-09-25; evidence strengthened from 'no evidence' to a checked absence on the company site. Version 0.4: updated from the wave 7 competitor line.
LE-15,"KFC, Burger King, Pizza 4P's, Highlands Coffee, The Coffee House, Phuc Long, Katinat",Various,Plant-based menu items or plant-milk options,foodservice menus,Chains,unknown,Not verified in this wave,2026-09,Chain websites were blocked (403) or rendered by script; press not searchable after the web search quota was used,none (no evidence retrieved),VN-direct,Low,revealed,Open question: field check of menus and plant-milk upcharges
LE-16,Oatside,"Singapore brand, made in Indonesia","Oat milk (barista, chocolate)",plant milk (imported),"Speciality cafes first, then modern and premium retail and e-commerce",2022,Active: about 100 cafes by August 2023; on premium shelves in 2026; Vietnam campaign in April 2026,2026-09,"Oat-milk drinks VND 10,000 to 15,000 dearer per cup (2023); VND 59,900 per litre at Nam An (2026); search interest in the brand rose from 0 (2022) to 51 (2025 index)",ECO-47; ECO-48; CON-35; CON-36; CON-37; FORM-01,VN-direct,Medium,revealed,"Company revenue USD 74 m in 2024 is regional, not Vietnam"
LE-17,Oatly,Sweden,"Oat drink (Original, Barista)",plant milk (imported),Premium modern retail,unknown,On shelf,2026-09,"VND 98,000 to 139,900 per litre",FORM-01,VN-direct,High,revealed,
