platform,group,skus,skus_without_pack_volume,units_sold_sum,volume_sold_sum,volume_unit,best_seller,best_seller_units,share_of_units_from_official_mall_or_first_party_sellers_pct,source_ids,evidence_label,confidence,demand_evidence_type,notes
Lazada,"nut and seed milk, standard",6,2,122108,577860,litres,"Vinamilk 9-nut milk, reduced sugar, 24 x 180 ml",88800,93.4,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share. Litres exclude two Sahmyook listings with no box size.
Lazada,"nut and seed milk, high protein (Vinamilk Cao Dam)",3,0,16129,70295,litres,"Vinamilk high-protein nut milk, reduced sugar, 24 x 180 ml",12300,100.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,"soy milk, standard and flavoured",9,0,38361,402228,litres,"Vinamilk walnut soy milk, 48 x 180 ml",14800,100.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,"soy milk, high protein (GoldSoy unsweetened)",1,0,3100,37200,litres,"Vinamilk GoldSoy unsweetened soy milk, 12 x 1 L",3100,100.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,oat milk,5,0,4938,20886,litres,"Oatside Barista Blend oat milk, 6 x 1 L",2600,94.9,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,dairy UHT milk (comparator),5,0,171000,1555056,litres,"Vinamilk Green Farm organic UHT milk, 48 x 180 ml",71000,100.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,chay: dry textured soy and gluten pieces,9,0,34426,40746,kg dry,"Tam Phat dry vegetarian ribs (soy protein and wheat gluten), thick, 1 kg",19200,0.6,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,"chay: frozen, chilled and ready-to-eat, plus Au Lac chay gio and mince (2 SKUs, 24 units)",8,0,6958,3573,kg,"Anh Duong vegetarian braised pork with pepper, 200 g",2900,18.7,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,modern plant-based meat analogue,1,1,90,0,kg,shreddable high-protein plant meat (origin not stated),90,0.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share. One listing; pack weight not stated.
Lazada,tofu (dried tofu skin only; no fresh soy tofu with sales found),1,0,111,111,kg,"dried tofu skin, 1 kg",111,0.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Lazada,"processed meat: sausages, gio lua, cha lua (comparator)",6,2,40580,4808,kg,Masan Ponnie sterilised pork sausage (variants),30700,99.1,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share. Litres or kg exclude Ponnie and Bibizan (pack weight unknown).
Lazada,protein powder: whey,6,3,5455,6406,kg,"Optimum Nutrition Gold Standard 100% Whey, 5 lb",2500,0.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share. Kg only where pack weight is in the name.
Lazada,protein powder: plant,7,2,7294,4794,kg,"AFIT vegan protein (pea and nuts, made in Vietnam) 1 kg",2000,0.0,MKT-03,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share. Kg only where pack weight is in the name.
Tiki,"soy milk, standard and flavoured",10,0,98095,735861,litres,"Vinasoy Fami original soy milk, 36 x 200 ml",27855,100.0,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Tiki,"soy milk, high protein (GoldSoy unsweetened)",1,0,542,6504,litres,"Vinamilk GoldSoy unsweetened soy milk, 12 x 1 L",542,100.0,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Tiki,"nut and seed milk, standard",3,0,5124,11653,litres,Almond Breeze unsweetened almond milk 946 ml,2195,39.4,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Tiki,"nut and seed milk, high protein (Vinamilk Cao Dam)",3,0,97,434,litres,"Vinamilk high-protein nut milk, reduced sugar, 24 x 180 ml",79,100.0,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Tiki,oat milk,2,0,155,886,litres,"Oatside Barista Blend oat milk, 6 x 1 L",82,100.0,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
Tiki,dairy UHT milk (comparator),5,0,32996,284179,litres,"Dutch Lady sweetened UHT milk, 48 x 180 ml",29221,100.0,MKT-05,VN-direct,Low,revealed,Sum of cumulative counters of the SKUs read on page 1 of the searches; not a market share.
