where,current,proposed,evidence_source_ids,strength,type
ch21.2 second paragraph (Stunting ... too little high-quality protein at very low cost in poor upland districts),"""Vietnam has two protein problems ... too much meat in cities, and too little high-quality protein at very low cost in poor upland districts.""","Keep the under-five statement and add: ""In upland boarding schools the plate is not the gap. In 13 ethnic-minority boarding schools in five provinces that publish menus (22 school-weeks, 2026), 240 of 242 lunches and dinners carried a meat, fish or egg dish and pork led 74% of them; four kitchens that publish cost sheets bought 107 to 215 g of raw pork per pupil a day. Kitchen-weighed boarding diets in Yen Bai (2019) met protein and zinc needs (zinc 131 to 157%) but supplied 36.5% of calcium and 41 to 45% of vitamin A. The low-cost protein problem sits before school age, at breakfast (86% of boarding breakfasts carry little or no animal food) and in home diets, which this evidence does not measure.""",UPL-01 to UPL-17; UPL-18; UPL-19; APR-27,moderate,corrects
"Wave 8 L4 proposed text for ch21.2 and ch21.8 (""For school-age children the gap is zinc and iron more than protein""; ""the need is cheap zinc and iron in familiar dishes"")","Proposed by W8-L4, not yet in the package","Replace the upland part with: ""For school-age boarders in upland provinces, published menus and weighed kitchen diets show protein and zinc met at lunch and dinner; the documented shortfalls are breakfast, calcium, vitamin A and vitamin B2. Extra zinc matters only for a dish that removes all meat or fish, which none of 124 upland lunches did."" Keep W8-L4's under-two and complementary-food text.",UPL-01 to UPL-17; UPL-18; UPL-19; APR-04,moderate,corrects
target_product_profiles.csv new TPP-11 (W8-L4: zinc-fortified soy protein dish base for public meals); ch29.2 table,"Proposed by W8-L4: first buyers multi-school caterers, Decree 339 border-commune kitchens, NIN or UNICEF pilots","Do not add as specified. The buyer case is not observed: Decree 339 lunches at Muong Nhe spent 91 to 97% of the non-rice budget on pork (107 to 179 g raw a pupil) and carried about 7.8 to 8.2 mg of zinc with rice (our calculation); no upland lunch in the sample was animal-free. Keep, at most, as a research option for fortified breakfast items or charity-funded lunches (VND 8,000 a lunch), with calcium and vitamin A rather than zinc as the case to test. Resolve the ID clash: W8-L2 also proposes a TPP-11 (microbial feed ingredient).",UPL-04; UPL-01; UPL-08; UPL-18; data_upland_lunch_zinc.csv,moderate,corrects
"ch25.3 new paragraph after ""Schools"": ""Upland boarding and border-commune meals""","None: ch25.3 covers factory canteens, Hanoi schools, the school-milk precedent, hospitals and the military","Add: ""Public money now buys three meals a day for ethnic-minority boarders and lunch for border-commune pupils: VND 936,000 a month and 15 kg of rice per semi-boarder (Decree 66/2025), VND 1,170,000 and 15 kg per full boarder in the new boarding schools (Decree 188/2026, from July 2026), and VND 450,000 and 8 kg for about 418,000 border-commune pupils (Decree 339/2025; more than VND 2,000 billion and 30,000 t of rice a year). School kitchens, not caterers, cook, and they spend it on pork: pork led 74% of 242 lunches and dinners in 13 schools, and at one border school 91 to 97% of Decree 339 lunch money bought pork. Kitchens already stretch pork with tofu: tofu days at Muong Nhe used 35% less pork and cost 27% less for about 8% less protein. No textured soy or mock meat appears in 353 meals. Suppliers need a business registration and a food-safety certificate; governance failures (rations cut at Hoang Thu Pho 1, Lao Cai) show the plan is not always the plate.""",UPL-01 to UPL-17; UPL-20; UPL-21; UPL-22; APR-09; UPL-26; UPL-24,moderate,adds
data/meal_programmes.csv (new rows),"No rows for Decree 66/2025, Decree 188/2026, Decree 339 pupil numbers, charity or company meal top-ups","Add rows from data_meal_money_and_prices.csv: Decree 66/2025 (VND 936,000 a month and 15 kg rice), Decree 188/2026 (VND 1,170,000 or 450,000 and 15 or 8 kg), Decree 339/2025 (417,708 pupils; more than VND 2,000 billion and 30,000 t rice a year), Nuoi Em (VND 8,000 a lunch), Hope Foundation with De Heus (about VND 10,000 more a meal at three schools)",UPL-20; UPL-21; UPL-22; APR-09; UPL-08; UPL-25,moderate,adds
"ch25.3 ""Factory canteens"" paragraph; channel_ranking.csv CRK-002 notes","Prices only (VND 25,000 to 35,000 in Hai Phong; union floor VND 20,000); no dish composition","Add: ""Caterers' published menus (five caterers, 172 protein dishes, 2023 to 2025) lead with pork 33%, fish 26%, chicken 13%, egg 10%, tofu 9% (plant-only 3%) and beef 6%; minced or processed meat is 17% of protein dishes; one caterer serves chay dishes two days a month; none names textured soy or mock meat. Price tiers run from VND 17,000 to 50,000, with one protein dish at VND 20,000 and two at 25,000. In Hai Phong the 2026 average is about VND 27,000 (west) to 31,000 (east), with some firms at VND 17,000.""",UPL-27; UPL-28; UPL-29; UPL-30; UPL-32; UPL-33; UPL-34,moderate,updates
ch28.4 funder-units table proposed by W7-L3; W7-L3 data_impact_per_tonne.csv (R4 national dish mix) and data_funder_units.csv (R4 rows),"R4 canteens at the 2035 national dish mix: about 1,090 animals per tonne of protein; about 0.020 animals per meal; D-BENCH 2035 R4 885,933 animals; displacing routes about 2.7 million","State ranges: about 745 (observed caterer meat mix: pork 63%, poultry 26%, beef 11% of meat-led dishes) to 1,090 (national mix) animals per tonne; 0.015 (0.010 to 0.029 across five caterers) to 0.020 animals per meal; D-BENCH 2035 R4 about 0.60 to 0.89 million animals and all displacing routes about 2.4 to 2.7 million (93 to 94% birds). Add that fish leads 26% of canteen protein dishes and is not counted. The comparison with ACE's 0.134 animals per meal does not change.",UPL-27; UPL-28; UPL-29; UPL-30; UPL-32; FUF-03; data_animals_per_meal.csv,weak,updates
"ch28.6 and ch29.4 funder advice as revised by W7-L3 (""welfare funders: a canteen trial with a chicken-dish focus""); DMV-05","Replace chicken dishes first (about 2,760 birds per tonne against 81 pigs for a pork dish)","Add the scale: chicken leads 13% of canteen protein dishes (22% at the one northern caterer) and 13% of upland school lunches and dinners, so a chicken-first programme works on about one protein dish in eight; log dish species in DMV-05 because the per-meal result depends on it.",UPL-27 to UPL-32; UPL-01 to UPL-17,moderate,updates
"ch29.2 TPP-04 row; target_product_profiles.csv TPP-04 (format_and_function, first_buyers, demand_evidence)","20 g of protein per dish; first buyers contract caterers and factory kitchens (with W7-L1, W7-L4 and W8-L4 revisions)","Add the observed slots: minced or processed meat dishes 17% of canteen protein dishes (the extender slot) and tofu-led dishes 9% (3% plant-only); main-dish portion 90 to 120 g (Haseca), consistent with 20 g of protein. Add a later buyer: upland boarding school kitchens on Decree 66, 188 and 339 budgets, which already replace about a third of the pork with tofu on two lunches in five; they buy through commune supplier notices that require a business registration, a food-safety certificate and school supply experience.",UPL-32; UPL-01; UPL-09; UPL-26; data_canteen_summary.csv,moderate,adds
"ch29.5 ""What not to do"" (W8-L4 proposed: ""pitch zinc per VND in familiar dishes and low sodium"")",Proposed by W8-L4,"Change to: ""Do not pitch a fortified soy dish to upland boarding or border-commune kitchens as filling a meatless lunch; their published lunches carry meat almost every day. Pitch cost per gram of protein against pork, which kitchens already stretch with tofu.""",UPL-01; UPL-04; UPL-09; UPL-01 to UPL-17,moderate,corrects
"data/open_questions.csv OQ-160 (W8-L4 update: ""what upland kitchens actually serve stays open"")",Open,"Partly closed: 13 upland boarding schools' menus (22 school-weeks) and four schools' cost sheets coded; open parts are served versus planned meals, breakfasts and schools that do not publish",UPL-01 to UPL-17,moderate,updates
