record_id,platform,channel_type,category,subcategory,plant_or_animal,product_name_vi,product_name_en,origin,sold_unit,quantity_per_sold_unit,quantity_unit,listed_price_vnd,vnd_per_l_or_kg,in_stock,orderable,units_sold_counter,counter_basis,volume_sold_l_or_kg,protein_claim_in_name,protein_g_per_100,protein_basis,vnd_per_100g_protein,protein_sold_kg,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
ECR-K001,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,domestic dry chay pieces (soy and gluten),plant,Sườn Miếng Chay Panko 1kg,Panko Vegan Pork Ribs 1kg,Vietnam,pack,1.0,kg,135000,135000,yes,yes,170,cumulative platform counter (totalSold field in page data); period and start date not stated,170.0,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01), as in CPC-12",20240 to 25328,90.6 to 113.4,https://kamereo.vn/products/suon-mieng-chay-panko-1kg-GRO190,ECR-06; CPC-12; FORM-01,VN-direct,Low,revealed,
ECR-K002,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,domestic dry chay pieces (soy and gluten),plant,[Thùng] Sườn Miếng Chay Panko 1kg x 10 Gói,[Carton] Panko Vegan Pork Ribs 1kg x 10 Packs,Vietnam,carton,10.0,kg,1186920,118692,yes,yes,7,cumulative platform counter (totalSold field in page data); period and start date not stated,70.0,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01), as in CPC-12",17795 to 22269,37.3 to 46.7,https://kamereo.vn/products/thung-suon-mieng-chay-panko-1kg-x-10-goi-GRO191,ECR-06; CPC-12; FORM-01,VN-direct,Low,revealed,
ECR-K003,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,domestic frozen chay spring roll,plant,Chả giò VISSAN chay 500g,Chả giò VISSAN chay 500g,Vietnam,pack,0.5,kg,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,,,,,https://kamereo.vn/products/cha-gio-vissan-chay-500g-M118,ECR-06; CPC-12,VN-direct,Medium,revealed,no price shown
ECR-K004,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Chả Lụa Chay Bologna Vị Ớt Cay Meat Zero 90g,Meat Zero Bologna Chilli 90g,Thailand,pack,0.09,kg,34000,377778,no,no,131,cumulative platform counter (totalSold field in page data); period and start date not stated,11.8,no,,,,,https://kamereo.vn/products/cha-lua-chay-bologna-vi-ot-cay-meat-zero-90g-S419,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K005,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Chả Lụa Chay Bologna Meat Zero 90g,Meat Zero Bologna Original 90g,Thailand,pack,0.09,kg,34000,377778,no,no,104,cumulative platform counter (totalSold field in page data); period and start date not stated,9.4,no,,,,,https://kamereo.vn/products/cha-lua-chay-bologna-meat-zero-90g-S420,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K006,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Heo Quay Chay Meat Zero 200g,Meat Zero Crispy Pork 200g,Thailand,pack,0.2,kg,35000,175000,no,no,51,cumulative platform counter (totalSold field in page data); period and start date not stated,10.2,no,,,,,https://kamereo.vn/products/heo-quay-chay-meat-zero-200g-S422,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K007,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Heo Xay Chay Meat Zero 220g,Meat Zero Ground Meat 220g,Thailand,pack,0.22,kg,39001,177277,no,no,44,cumulative platform counter (totalSold field in page data); period and start date not stated,9.7,no,,,,,https://kamereo.vn/products/heo-xay-chay-meat-zero-220g-S421,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K008,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Chả Lụa Chay Bologna Vị Ớt Cay Meat Zero 500g,Meat Zero Bologna Chilli 500g,Thailand,pack,0.5,kg,189000,378000,no,no,20,cumulative platform counter (totalSold field in page data); period and start date not stated,10.0,no,,,,,https://kamereo.vn/products/cha-lua-chay-bologna-vi-ot-cay-meat-zero-500g-S423,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K009,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Heo Xay Chay Meat Zero 1kg,Meat Zero Ground Meat 1kg,Thailand,pack,1.0,kg,244000,244000,no,no,16,cumulative platform counter (totalSold field in page data); period and start date not stated,16.0,no,,,,,https://kamereo.vn/products/heo-xay-chay-meat-zero-1kg-S425,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K010,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Chả Lụa Chay Bologna Meat Zero 500g,Meat Zero Bologna Original 500g,Thailand,pack,0.5,kg,189000,378000,no,no,14,cumulative platform counter (totalSold field in page data); period and start date not stated,7.0,no,,,,,https://kamereo.vn/products/cha-lua-chay-bologna-meat-zero-500g-S424,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K011,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),meat-like plant foods,"imported plant-based analogue (Meat Zero, Thailand)",plant,Heo Quay Chay Meat Zero 1kg,Meat Zero Crispy Pork 1kg,Thailand,pack,1.0,kg,209001,209001,no,no,6,cumulative platform counter (totalSold field in page data); period and start date not stated,6.0,no,,,,,https://kamereo.vn/products/heo-quay-chay-meat-zero-1kg-S426,ECR-06; CPC-12,VN-direct,Medium,revealed,
ECR-K012,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Dalat Milk 950ml,Dalat Milk Pasteurized Fresh Milk 950ml,Vietnam,box,0.95,L,42120,44337,yes,yes,451038,cumulative platform counter (totalSold field in page data); period and start date not stated,428486.1,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",113684,16711.0,https://kamereo.vn/products/sua-tuoi-thanh-trung-dalat-milk-950ml-D043,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K013,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Vinamilk 100% Không Đường 1L,Vinamilk 100% Milk - No Sugar 1L,Vietnam,box,1.0,L,44280,44280,yes,yes,75523,cumulative platform counter (totalSold field in page data); period and start date not stated,75523.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",113538,2945.4,https://kamereo.vn/products/sua-tuoi-tiet-trung-vinamilk-100-khong-duong-1l-D018,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K014,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Barista Milk 1.8L,Barista Milk Pasteurized Fresh Milk 1.8L,Vietnam,bottle,1.8,L,87480,48600,yes,yes,56325,cumulative platform counter (totalSold field in page data); period and start date not stated,101385.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",124615,3954.0,https://kamereo.vn/products/sua-tuoi-thanh-trung-barista-milk-18l-D481,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K015,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Nguyên Chất TH True Milk (Không Đường) 1L,TH True Milk Pasteurized - No Sugar 1L,Vietnam,box,1.0,L,42660,42660,yes,yes,23361,cumulative platform counter (totalSold field in page data); period and start date not stated,23361.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",109385,911.1,https://kamereo.vn/products/sua-tuoi-tiet-trung-nguyen-chat-th-true-milk-khong-duong-1l-D482,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K016,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Dalat Milk 950ml x 10 Hộp,Dalat Milk Pasteurized Fresh Milk 950ml x 10 Boxes,Vietnam,case,9.5,L,445500,46895,no,no,21895,cumulative platform counter (totalSold field in page data); period and start date not stated,208002.5,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",120243,8112.1,https://kamereo.vn/products/sua-tuoi-thanh-trung-dalat-milk-950ml-x-10-hop-D500,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K017,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Anchor 1L,Anchor UHT Fresh Milk 1L,New Zealand,box,1.0,L,50220,50220,yes,yes,8463,cumulative platform counter (totalSold field in page data); period and start date not stated,8463.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",128769,330.1,https://kamereo.vn/products/sua-tuoi-tiet-trung-anchor-1l-D471,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K018,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Không Đường VPMilk Đà Lạt True Milk 1L,Da Lat True Milk VPMilk Pasteurized No Sugar Fresh Milk 1L,Vietnam,box,1.0,L,40500,40500,yes,yes,7926,cumulative platform counter (totalSold field in page data); period and start date not stated,7926.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",103846,309.1,https://kamereo.vn/products/sua-tuoi-thanh-trung-khong-duong-vpmilk-da-lat-true-milk-1l-GRO131,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K019,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Vinamilk Không Đường 220ml,Pasteurized Vinamilk - No Sugar 200ml,Vietnam,pack,0.22,L,7500,34091,no,no,2256,cumulative platform counter (totalSold field in page data); period and start date not stated,496.3,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",87413,19.4,https://kamereo.vn/products/sua-tuoi-tiet-trung-vinamilk-khong-duong-220ml-LEX30,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K020,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Mộc Châu Không Đường 1L,Moc Chau Milk - Fresh Milk No Sugar 1L,Vietnam,box,1.0,L,,,no,no,2176,cumulative platform counter (totalSold field in page data); period and start date not stated,2176.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",,84.9,https://kamereo.vn/products/sua-tuoi-tiet-trung-moc-chau-khong-duong-1l-DAI007,ECR-06; DIE-12,VN-direct,Low,revealed,no price shown
ECR-K021,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Nguyên Chất Không Đường Reta Milk 1L,Reta No Sugar Pasteurized Milk 1L,Australia,box,1.0,L,39420,39420,no,no,1796,cumulative platform counter (totalSold field in page data); period and start date not stated,1796.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",101077,70.0,https://kamereo.vn/products/sua-tuoi-tiet-trung-nguyen-chat-khong-duong-reta-milk-1l-NON081,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K022,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Vinamilk Có Đường 220ml,Pasteurized Vinamilk - Sweetened 200ml,Vietnam,pack,0.22,L,7500,34091,no,no,1344,cumulative platform counter (totalSold field in page data); period and start date not stated,295.7,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",87413,11.5,https://kamereo.vn/products/sua-tuoi-tiet-trung-vinamilk-co-duong-220ml-LEX31,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K023,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Nguyên Chất 4.3% Béo Meiji 946ml,Meiji Pasteurized Full Cream Milk 4.3% Fat 946ml,Thailand,box,0.946,L,60480,63932,yes,yes,1326,cumulative platform counter (totalSold field in page data); period and start date not stated,1254.4,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",163929,48.9,https://kamereo.vn/products/sua-tuoi-thanh-trung-nguyen-chat-43-beo-meiji-946ml-DAI092,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K024,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi UHT Nguyên Chất VPMilk Đà Lạt True Milk 1L,Dalat True Milk VPMilk UHT Full Cream Milk 1L,Vietnam,box,1.0,L,37800,37800,yes,yes,1221,cumulative platform counter (totalSold field in page data); period and start date not stated,1221.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",96923,47.6,https://kamereo.vn/products/sua-tuoi-uht-nguyen-chat-vpmilk-da-lat-true-milk-1l-DAI063,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K025,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Nguyên Kem Tiệt Trùng PUILAY 1L,PUILAY Whole Milk Full Cream 1L,France,box,1.0,L,38000,38000,no,no,794,cumulative platform counter (totalSold field in page data); period and start date not stated,794.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",97436,31.0,https://kamereo.vn/products/sua-tuoi-nguyen-kem-tiet-trung-puilay-1l-D539,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K026,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Nguyên Kem 3.5% Chất Béo Milklab 1L,Milklab Full Cream Milk 3.5% Fat 1L,Australia,box,1.0,L,38880,38880,yes,yes,671,cumulative platform counter (totalSold field in page data); period and start date not stated,671.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",99692,26.2,https://kamereo.vn/products/sua-tuoi-nguyen-kem-35-chat-beo-milklab-1l-DAI090,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K027,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Không đường Vinamilk 220ml,Vinamilk Milk - No Sugar 220ml,Vietnam,pack,0.22,L,7200,32727,no,no,480,cumulative platform counter (totalSold field in page data); period and start date not stated,105.6,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",83916,4.1,https://kamereo.vn/products/sua-tuoi-tiet-trung-khong-duong-vinamilk-220ml-D526,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K028,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Nguyên Chất 3.9% Chất Béo Meiji 946ml,Meiji Pasteurized Full Cream Milk 3.9% Fat 946ml,Thailand,box,0.946,L,56160,59366,yes,yes,321,cumulative platform counter (totalSold field in page data); period and start date not stated,303.7,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",152220,11.8,https://kamereo.vn/products/sua-tuoi-thanh-trung-nguyen-chat-39-chat-beo-meiji-946ml-DAI094,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K029,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Có Đường Vinamilk 220ml,Vinamilk Milk - Sugar 220ml,Vietnam,pack,0.22,L,7200,32727,no,no,240,cumulative platform counter (totalSold field in page data); period and start date not stated,52.8,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",83916,2.1,https://kamereo.vn/products/sua-tuoi-tiet-trung-co-duong-vinamilk-220ml-D527,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K030,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Mộc Châu Không Đường 900ml,Moc Chau Milk - Pasteurized Fresh Milk No Sugar 900ml,Vietnam,box,0.9,L,,,no,no,37,cumulative platform counter (totalSold field in page data); period and start date not stated,33.3,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",,1.3,https://kamereo.vn/products/sua-tuoi-thanh-trung-moc-chau-khong-duong-900ml-DAI005,ECR-06; DIE-12,VN-direct,Low,revealed,no price shown
ECR-K031,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Lothamilk - Không Đường 1L,Lothamilk Pasteurized Fresh Milk - No Sugar 1L,Vietnam,box,1.0,L,39000,39000,no,no,36,cumulative platform counter (totalSold field in page data); period and start date not stated,36.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",100000,1.4,https://kamereo.vn/products/sua-tuoi-thanh-trung-lothamilk---khong-duong-1l-D583,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K032,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Mộc Châu Không Đường 880ml,Moc Chau Milk - Pasteurized Fresh Milk No Sugar 880ml,Vietnam,bottle,0.88,L,,,no,no,12,cumulative platform counter (totalSold field in page data); period and start date not stated,10.6,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",,0.4,https://kamereo.vn/products/sua-tuoi-thanh-trung-moc-chau-khong-duong-880ml-DAI006,ECR-06; DIE-12,VN-direct,Low,revealed,no price shown
ECR-K033,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng TH True Milk Không Đường (48*110ml),TH True Milk No Sugar (48*110ml),Vietnam,case,5.28,L,,,no,no,8,cumulative platform counter (totalSold field in page data); period and start date not stated,42.2,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",,1.6,https://kamereo.vn/products/sua-tuoi-tiet-trung-th-true-milk-khong-duong-48110ml-D261,ECR-06; DIE-12,VN-direct,Low,revealed,no price shown
