platform,group,n_skus,n_skus_with_counter_above_zero,n_skus_in_stock,units_sold_total,volume_sold,volume_unit,top_sku,top_sku_units,top_sku_share_of_group_volume_pct,protein_sold_kg,protein_rows_converted,source_ids,evidence_label,confidence,demand_evidence_type,notes
Kamereo,dairy fresh milk,25,23,10,657254,862440.0,L,Sữa Tươi Thanh Trùng Dalat Milk 950ml,451038,49.7,33635,25,ECR-06; FORM-01; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,plant milk: soy,9,7,3,21912,21907.6,L,Sữa Đậu Nành SuperSoy Không Đường 1L,5828,26.6,416 to 548,9,ECR-06; FORM-01; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,plant milk: oat,7,6,3,14017,14017.0,L,Sữa Yến Mạch Oatside 1L,13230,94.4,98 to 154,7,ECR-06; FORM-01; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,plant milk: nut or seed,13,6,2,684,775.6,L,Sữa Hạnh Nhân Milklab 1L,390,50.3,8,13,ECR-06; FORM-01; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,soy tofu,32,29,11,395624,80814.7,kg,Đậu Hũ Non Vị Nguyên 280g,189347,65.6,5285,22,ECR-06; FORM-01; DIE-12,VN-direct,Low,revealed,"protein converted only for rows with a label or FCT basis; fried tofu, skin and unspecified rows not convertedCumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time"
Kamereo,egg tofu (animal),4,4,2,425,79.4,kg,Đậu Hũ Trứng Ichi Sakura 160g,277,55.8,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,fish tofu (animal),2,2,1,536,268.0,kg,Đậu Hũ Cá Phô Mai Đông Lạnh Việt Sin 500g,293,54.7,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,imported plant-based analogue (Meat Zero),8,8,0,386,80.1,kg,Chả Lụa Chay Bologna Vị Ớt Cay Meat Zero 90g,131,14.7,,0,ECR-06; CPC-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,domestic dry chay pieces (Panko),2,2,2,177,240.0,kg,Sườn Miếng Chay Panko 1kg,170,70.8,128 to 160,2,ECR-06; CPC-12; FORM-01; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,domestic frozen chay spring roll (Vissan),1,0,0,0,,kg,Chả giò VISSAN chay 500g,0,,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,"sausages (pork, beef, chicken)",24,22,10,19161,9394.7,kg,Xúc Xích Standard Xông Khói Đông Lạnh NH Foods 500g,6029,32.1,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,gio and cha (meat loaf),5,3,0,7,2.8,kg,Chả Lụa Le Gourmet Gói 500g,3,53.6,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,meat or shrimp spring roll (Vissan),6,5,0,31,12.2,kg,Chả giò rế VISSAN con tôm 300g,9,22.1,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo,pate (Vissan),2,0,0,0,,kg,Pate Gan Heo Vissan 170g,0,,,0,ECR-06,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo (wave 7 read),Frozen minced pork CP 1 kg,1,1,1,24769,24769.0,kg,Frozen minced pork CP 1 kg,24769,100.0,4087,1,CPC-12; DIE-12; FORM-01,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo (wave 7 read),Frozen minced pork JAPFA 1 kg,1,1,1,1790,1790.0,kg,Frozen minced pork JAPFA 1 kg,1790,100.0,295,1,CPC-12; DIE-12; FORM-01,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo (wave 7 read),Fresh chicken breast CP 1 kg,1,1,1,70297,70297.0,kg,Fresh chicken breast CP 1 kg,70297,100.0,14270,1,CPC-12; DIE-12; FORM-01,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo (wave 7 read),"CP eggs 61 g, box of 10",1,1,1,284699,149353.1,kg edible,"CP eggs 61 g, box of 10",284699,100.0,22104,1,CPC-12; DIE-12; FORM-01,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
Kamereo (wave 7 read),Frozen pork shoulder CP 1 kg,1,1,1,5210,5210.0,kg,Frozen pork shoulder CP 1 kg,5210,100.0,,0,CPC-12; DIE-12,VN-direct,Low,revealed,Cumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
AVAKids,dairy fresh milk and milk drinks (page 1 of 2),13,12,0,28413,,,Sua tuoi tiet trung TH true MILK khong duong 110 ml (loc 4),10900,,,0,ECR-07,VN-direct,Low,revealed,product-group counters; the unit is not defined; page 2 not readCumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
AVAKids,plant milk: nut or seed (whole category),2,2,0,10193,,,Sua hat Vinamilk 9 loai hat it duong 180 ml (loc 4; thung 24),9500,,,0,ECR-07,VN-direct,Low,revealed,product-group counters; the unit is not definedCumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
WheyShop,whey protein powder,23,23,0,25826,,,Rule 1 Proteins 5Lbs (2.27kg),5885,,,0,ECR-08,VN-direct,Low,revealed,shop-set counters; 55 of 144 products share a counter value with another productCumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
WheyShop,plant protein powder,2,2,0,448,,,Nugo Nutrition Plant Protein 2lbs (907g),233,,,0,ECR-08,VN-direct,Low,revealed,shop-set countersCumulative counters with unstated start dates; sums are our calculation and compare SKUs listed for different lengths of time
