product_archetype,rank,channel,why,price_or_spec_to_meet,main_barrier,evidence_strength,source_ids,evidence_label,confidence,demand_evidence_type,notes
a_textured_plant_protein_ingredient,1,Do chay and processed-meat manufacturers (B2B),"All local products with 10 g or more protein already use imported textured soy, soy protein or gluten",Near the Chinese import unit value (about USD 1.6 per kg); consistent specification; traceable,Switching cost from cheap Chinese supply,M,FORM-01; supply study,VN-direct,Medium,revealed,Supply-side fact from the supply study
a_textured_plant_protein_ingredient,2,Contract caterers for factory canteens,"Up to about 1.2 billion meals a year; protein budget VND 7,500 to 14,000 per meal","About VND 740 to 2,140 per 20 g protein at supply-study cost; bulk-cook tolerant",Commissions to purchasing staff; post-2026 traceability demands,L,CHN-37; CHN-39; CHN-41,VN-direct,Low,inferred,No caterer interviewed
a_textured_plant_protein_ingredient,3,Traditional distribution of dry chay ingredients to wet-market stalls and street food,"Only no-cold-chain route into 650,000 traditional outlets and 152,000 street stalls","Dry, shelf-stable, small packs",No data on volumes; price competition,VL,CHN-02; CHN-03,VN-direct,Low,inferred,
b_higher_protein_chay_product,1,"Modern frozen chay sections (Bach Hoa Xanh, WinCommerce, Co.op, Lotte, GO!)","Frozen chay already shelved; two chains reach about 8,700 stores",At or below meat equivalent price; 10 g or more protein per 100 g,Listing fees and margins unknown,M,FORM-01; CHN-12; CHN-15,VN-direct,Medium,revealed,
b_higher_protein_chay_product,2,"Lunar-calendar foodservice (QSR limited-time items, chay restaurants, canteen chay days)","KFC 2018 timed to lunar July; Lotteria 2025 at VND 39,000","Price parity with core items (VND 39,000 at QSR)",No disclosed outcomes; limited-time pattern,L,CHN-22; CHN-24,VN-direct,Low,revealed,
b_higher_protein_chay_product,3,"Convenience ready meals (7-Eleven, GS25, Circle K, FamilyMart)",Chains growing 14% to 35%; SG Food already supplies 7-Eleven fresh food,Ready-to-eat formats at convenience prices,"Small store base (about 1,300 chain stores, our calculation)",L,CHN-07; FORM-01,VN-direct,Low,inferred,
c_premium_modern_analogue,1,Premium HoReCa and cafe chains in Ho Chi Minh City and Hanoi,"Only channel where imported analogues have appeared (2019, 2023)",Chef-grade performance in named dishes,"Trials ended; imported cost VND 542,000 to 622,000 per 100 g protein",L,"CHN-03; supply study ECO-16, ECO-20",VN-direct,Low,revealed,
c_premium_modern_analogue,2,"Premium import-led retail (AEON, Lotte, Annam, Tops) and e-commerce",Under 150 foreign-owned hyper and supermarkets; e-commerce about 1% of food retail,Premium price acceptable,Small base; cold chain for delivery,L,CHN-01; CHN-06,VN-direct,Low,inferred,
c_premium_modern_analogue,3,"Four and five star hotels in tourist cities, Nha Trang included","70,500 rooms in Khanh Hoa, over 40% four and five star",Buffet and menu formats,"Visitor mix Korea, China, Russia; small volume",VL,CHN-47; CHN-48,VN-direct,Low,inferred,"Showcase, not volume"
d_hybrid_meat_and_plant,1,Integrated meat-and-retail groups (Masan MEATDeli in WinCommerce; C.P. Vietnam shops; Vissan),"Own brand trust, cold chain and stores","Cheaper per serving than all-meat, same taste, honest label",Incumbent interest unknown,L,CHN-15; CHN-17,VN-direct,Low,inferred,
d_hybrid_meat_and_plant,2,Factory canteens,"Meal floors rising to VND 20,000 to 35,000 squeeze protein cost",Lower cost per protein portion,Trust and commissions,L,CHN-39; CHN-41,VN-direct,Low,inferred,
d_hybrid_meat_and_plant,3,"QSR and convenience formats (nuggets, sausages, meatballs)",Central buying; national listing,"VND 39,000 price point",No outcomes from meat-free trials,VL,CHN-06; CHN-24,VN-direct,Low,inferred,
e_cultivated_or_fermentation_derived,1,B2B functional ingredient into hybrid products via large manufacturers,Smallest regulatory exposure per unit sold,Function per VND,No novel-food route; precision-fermented proteins probably treated as GMO,VL,supply study,VN-direct,Low,inferred,Later horizon
e_cultivated_or_fermentation_derived,2,Premium HoReCa showcase in Ho Chi Minh City and Hanoi,Michelin Guide Vietnam in third year; chefs seek novelty,Showcase dishes,Regulation first,VL,CHN-03,VN-direct,Low,inferred,Later horizon
