record_id,food,product,retailer,channel_city,date_observed,pack_price_vnd,pack_size,price_vnd_per_kg,protein_g_per_100g,protein_basis,edible_share,vnd_per_100g_protein,usd_per_100g_protein,sources,source_ids,evidence_label,confidence,demand_evidence_type,notes
DPP-001,"Pork, lean","Thit nac heo C.P, tray 400 g",Bach Hoa Xanh online,online; default store (HCMC assumed as in COST-39),2026-09-24,52800,400 g,132000,19.0,FCT 7017 thit lon nac (lean pork),0.98,70892,2.73,COST-39; DIE-12,COST-39; DIE-12,VN-direct,Medium,revealed,Same price as COST-39 on 23 Sep 2026. Edible share from FCT waste 2%.
DPP-002,"Pork, leg","Thit dui heo C.P, tray 400 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,46000,400 g,115000,16.5,FCT 7018 thit lon nua nac nua mo (medium-fat pork),0.98,71119,2.74,COST-39; DIE-12,COST-39; DIE-12,VN-direct,Medium,revealed,"Range 61,761 to 71,119 VND if protein 19.0 (lean) or 16.5 (medium fat). Central uses 16.5 because leg is sold with skin and fat."
DPP-003,"Pork, belly","Ba roi heo C.P, tray 400 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,59600,400 g,149000,14.5,FCT 7016 thit lon mo (fatty pork),0.98,104856,4.03,COST-39; DIE-12,COST-39; DIE-12,VN-direct,Medium,revealed,"High-fat cut; a flavour and fat benchmark rather than a protein benchmark. With 16.5 g protein: 92,146 VND."
DPP-004,"Chicken, breast fillet with skin","Uc ga phi le co da, 300 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,27270,300 g,90900,20.3,"FCT 7013 thit ga ta (chicken meat, average)",1.0,44778,1.72,COST-40; DIE-12,COST-40; DIE-12,VN-direct,Medium,revealed,"Promotional price (-10%). FCT value is for average chicken meat, not breast; breast is usually higher in protein, so this is a conservative (high) cost per protein."
DPP-005,"Chicken, thigh meat","Ma dui ga cat san, 400 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,31684,400 g,79210,20.3,"FCT 7013 thit ga ta (chicken meat, average)",1.0,39020,1.50,COST-40; DIE-12,COST-40; DIE-12,VN-direct,Medium,revealed,"Promotional price (-11%). Thigh meat is lower in protein than average chicken meat, so true cost per protein is probably higher (about 44,000 VND at 18 g)."
DPP-006,"Eggs, hen","Trung ga tuoi T.Food, box of 10",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,24000,10 eggs,,14.8,"FCT 9001 trung ga (hen egg, whole); egg weight 55 g assumed",0.86,34284,1.32,COST-41; DIE-12,COST-41; DIE-12,VN-direct,Medium,revealed,"Price 2,400 VND per egg (promotion; regular 28,000 per box gives 40,000 VND per 100 g protein). Egg weight 55 g is our assumption (not sourced); 50 to 60 g gives 31,400 to 37,700 VND. FCT waste 14%."
DPP-007,"Eggs, duck","Trung vit, box of 10",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,33000,10 eggs,,13.0,"FCT 9004 trung vit (duck egg, whole); egg weight 70 g assumed",0.88,41209,1.58,COST-41; DIE-12,COST-41; DIE-12,VN-direct,Low,revealed,Promotional price. Egg weight 70 g is our assumption (not sourced). FCT waste 12%.
DPP-008,"Pangasius (basa), fillet","Ca basa phi le, 300 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,30000,300 g,100000,15.0,"Literature: commercial frozen fillets 12.5 to 15.7 g, untreated fillets 18 g or more (DIE-13, DIE-14); pangasius is not in FCT 2007",1.0,66667,2.56,DIE-15; DIE-13; DIE-14,DIE-15; DIE-13; DIE-14,VN-direct,Medium,revealed,"Range 55,556 to 80,000 VND for protein 18 to 12.5 g. Retail fillets can carry added water and phosphates, which lower protein."
DPP-009,"Pangasius (basa), fresh fillet","File basa tuoi kg, Thoai An",Co.op Online,online; default store not stated,2026-09-24,116800,1 kg,116800,15.0,Literature (as above),1.0,77867,2.99,DIE-19; DIE-13; DIE-14,DIE-19; DIE-13; DIE-14,VN-direct,Medium,revealed,"Range 64,889 to 93,440 VND for protein 18 to 12.5 g."
DPP-010,"Tilapia (red), cleaned whole",Ca dieu hong lam sach kg,Co.op Online,online; default store not stated,2026-09-24,79900,1 kg,79900,19.7,FCT 8024 ca ro phi (tilapia); FCT waste 43% applied,0.57,71155,2.74,DIE-19; DIE-12,DIE-19; DIE-12,VN-direct,Medium,revealed,"Cleaned (gutted, scaled) fish still has head and bones; FCT waste of 43% refers to whole fish, so this may overstate cost slightly. At 35% waste: 62,400 VND."
