line_id,question_ids,line,kind,method,closable_by_desk_now,result_that_would_change_a_conclusion,conclusion_or_recommendation_affected,priority,notes
AIB-L01,AIB-Q26; AIB-Q27; AIB-Q05,"Read the procurement documents, not the consumer: code 2026 to 2027 school-meal supplier selection documents issued under Dispatch 64 (provincial guidance, commune tenders on the national procurement portal) and 10 public hospital patient-meal tenders for price weight, food-safety weight, required documents, price per meal and permitted protein substitutions",different-kind,Document collection and coding from public portals and provincial sites; browser access may be needed for the procurement portal,partly (public notices exist; portal may block scripts),Tenders that already allow plant-protein days or tofu substitution and score traceability above price would reverse 'do not start in schools' and show a certified ingredient has a price-set outlet; tenders that score on price alone would confirm it,ch25.3 school verdict; ch29.5 'do not start in schools'; ch25.6 channel table; ch28 route R4 (school displacement should exclude existing plant-protein days); DMV-17,High,Decision 3958 already shows plant protein at least twice a week (AIB-39); hospital tender accepts tofu 120 g for 60 g of meat (AIB-44).
AIB-L02,AIB-Q09; AIB-Q11,"Retailer private label as the route to shelf: interview Saigon Co.op's private-label team, WinCommerce house brands and one co-packer that already makes Co.op Select chay on listing a 10 g per 100 g chay line or a 20 to 30% blend at today's chay shelf price",different-kind,Three structured interviews with a one-page specification and price sheet,no,"A yes at current shelf price, with a stated margin and minimum volume, would make retailer private label the first buyer for TPP-02 and a test route for TPP-03, ahead of incumbent brands",TPP-02 and TPP-03 first buyers; ch25.6 and AD.6 channel ranking; ch25.7 advice to startups,High,AIB-28; AIB-29; AIB-30; AIB-12. Co-packer named in supply study app-e.
AIB-L03,AIB-Q20; AIB-Q24; AIB-Q26,"Who writes the menus: map menu authority in schools (Ajinomoto School Meal Project software, National Institute of Nutrition tools, education departments), factories (caterer, client HR, union) and hospitals (nutrition departments); obtain the menu banks and count plant-protein dishes and their cost",different-kind,"Document requests plus 6 to 8 calls (Ajinomoto Vietnam, NIN, two provincial education departments, two caterers, one hospital)",partly (Decision 3958 and Ajinomoto project pages are public; menu banks are not),"If one menu tool covers thousands of schools and already includes tofu and bean dishes, one partnership would move more protein than any caterer trial; if menus are set school by school, the canteen trial remains the right first test",TPP-04 first test; DMV-05 design (one caterer trial); ch25.7 advice to research bodies and policy makers,High,"AIB-24 (4,262 schools by Nov 2022)."
AIB-L04,AIB-Q25; AIB-Q23,"The FDI client as canteen decision-maker: read supplier codes and climate targets of the 15 largest FDI employers (electronics, footwear, apparel) for catering and food requirements, then ask 5 caterer key-account managers what clients specify",different-kind,"Desk read of published supplier codes and sustainability reports, then 5 calls",partly (codes public; contract terms not),"If brand or client codes include canteen food (plant-forward menus, meal emissions, protein adequacy), canteens gain a non-price driver and a client can mandate a trial; if not, canteens stay price-only",TPP-04 adoption; ch28 R4 adoption assumptions; DMV-05 partner choice; ch25.3,High,Haseca cites RBA and ISO 22000 (AIB-36).
AIB-L05,AIB-Q02; AIB-Q04; AIB-Q07; AIB-Q30,"Make or buy at the integrators: map what protein Vinamilk, Vinasoy, Masan MEATLife, Vissan and C.P. make, import and plan to make, then ask 3 R&D heads whether they would buy a local isolate or extender or develop it in-house",different-kind,"Annual reports and AGM documents (desk), then 3 R&D interviews",partly,"If integrators prefer to make in-house, T10 and T9 routes become licensing or joint development rather than supply; if they prefer to buy, Part VI's first-customer lists hold",ch26.7 and ch26.8 first customers and advice; T10 and T9 market-pull scores (ch29.3),High,Vinasoy breeds its own soybeans (AIB-06); Vinamilk markets dairy protein over plant (AIB-03).
AIB-L06,AIB-Q14,"Export animal-health arbitrage for chay frozen foods: compare Japan, Korea, US, EU and Australia rules for Vietnamese heat-treated meat-containing dumplings and spring rolls against vegetable versions, and check which versions Cholimex, CJ and Vissan export",different-kind,Desk review of importing-country rules and exporter product lists,yes,"If meat versions face bans or costly certification where chay versions do not, incumbents have a revealed export reason to scale chay lines and buy textured protein",ch27 export routes; TPP-08 and TPP-09; ch26.7 segment 1 volumes,Medium,CJ's parent cited animal-disease limits on meat exports (AIB-17).
AIB-L07,AIB-Q24,"Caterer cost sheets: obtain menu and cost sheets from 3 factory caterers across price tiers and 2 school caterers; record protein grams and cost per protein dish and how often tofu, chay or textured soy are used",deeper,Document requests under confidentiality; 5 interviews,no,Measured protein cost per dish would set the TPP-04 price target; frequent tofu days would mean canteen plant days are already in the baseline,TPP-04 price target; ch25.3 canteen arithmetic; ch28 R4,High,Closes OQ-215.
AIB-L08,AIB-Q29; AIB-Q30,"Incumbent strategy tracker: an annual coded read of 15 listed food and retail firms' annual reports and AGM documents for protein, plant, chay, animal welfare, emissions and supplier-criteria terms, published as a signpost",different-kind,Desk text-mining of public filings each spring,yes,The first quantified target would raise T1 or T9 market pull and signal a buyer; continued absence confirms ch26.6,ch26.6; ch29.6 'what would change our view'; signposts,Medium,This paper is a first pass.
AIB-L09,AIB-Q07; AIB-Q08,Processor extender break-even: model the extender price that saves money against lean pork at 2019 to 2026 hog prices and test it with 2 processor R&D teams,deeper,Desk model with hog price series plus 2 calls,partly,A break-even above likely fungal or textured protein cost would support TPP-03; below it would weaken T9 for processors,TPP-03 price target; T9 kill test (ch29.3),Medium,Vissan hog prices Q1 2026 (AIB-15).
AIB-L10,AIB-Q03,"Plant-milk panel data by sub-category and protein level, with QNS and Vinamilk investor-relations questions",deeper,Purchased retail or household panel data plus IR calls,no,Fast growth in high-protein plant milk would enlarge the T10 isolate market; flat growth would confine it to one SKU,T10 market pull; TPP-05 volume,Medium,Closes OQ-184.
