record_id,comparison_set,term,gloss_en,year,mean_index,months_in_year,set_average_2019_to_2026,source_ids,evidence_label,confidence,demand_evidence_type,notes
GTR-001,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa hạt,nut or seed milk,2019,20.2,12,51,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-002,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thịt thực vật,plant meat,2019,1.4,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-003,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa yến mạch,oat milk,2019,4.2,12,6,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-004,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,đồ chay,vegetarian food (traditional),2019,6.9,12,8,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-005,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thuần chay,vegan,2019,0.7,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-006,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa hạt,nut or seed milk,2020,32.9,12,51,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-007,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thịt thực vật,plant meat,2020,2.2,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-008,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa yến mạch,oat milk,2020,6.8,12,6,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-009,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,đồ chay,vegetarian food (traditional),2020,8.2,12,8,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-010,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thuần chay,vegan,2020,1.0,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-011,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa hạt,nut or seed milk,2021,38.9,12,51,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-012,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thịt thực vật,plant meat,2021,4.2,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-013,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa yến mạch,oat milk,2021,6.6,12,6,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-014,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,đồ chay,vegetarian food (traditional),2021,7.3,12,8,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-015,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thuần chay,vegan,2021,1.4,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-016,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,sữa hạt,nut or seed milk,2022,44.1,12,51,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
GTR-017,sữa hạt | thịt thực vật | sữa yến mạch | đồ chay | thuần chay,thịt thực vật,plant meat,2022,5.0,12,3,CON-37,VN-direct,Medium,revealed,Relative index within this comparison set only (0 to 100 = peak month of any term in the set). 2026 covers January to September; September partial.
