record_id,product,origin,fob_usd_per_kg_2025,freight_insurance_share,duty_basis,duty_rate,port_inland_usd_per_kg,landed_usd_per_kg,landed_vnd_per_kg,protein_share_assumed,landed_usd_per_kg_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
TLC-001,textured protein and concentrates (HS 2106.10),China,1.237,0.03,MFN 5% (Part III),0.05,0.015,1.353,35200.0,0.65,2.08,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,low freight; freight 3 to 8% and port plus inland USD 15 to 40 per t are our assumptions; our calculation
TLC-002,textured protein and concentrates (HS 2106.10),China,1.237,0.08,MFN 5% (Part III),0.05,0.04,1.443,37500.0,0.65,2.22,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,high freight; freight 3 to 8% and port plus inland USD 15 to 40 per t are our assumptions; our calculation
TLC-003,textured protein and concentrates (HS 2106.10),China,1.237,0.03,"preferential 0% (ACFTA, to be confirmed by W7-L2)",0.0,0.015,1.289,33500.0,0.65,1.98,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,low freight; freight 3 to 8% and port plus inland USD 15 to 40 per t are our assumptions; our calculation
TLC-004,textured protein and concentrates (HS 2106.10),China,1.237,0.08,"preferential 0% (ACFTA, to be confirmed by W7-L2)",0.0,0.04,1.376,35800.0,0.65,2.12,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,high freight; freight 3 to 8% and port plus inland USD 15 to 40 per t are our assumptions; our calculation
TLC-005,wheat gluten,China,1.307,0.03,MFN 10% (Part III),0.1,0.015,1.496,38900.0,0.75,1.99,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,low freight; our calculation; a soy extruder does not replace gluten used to make mi can
TLC-006,wheat gluten,China,1.307,0.08,MFN 10% (Part III),0.1,0.04,1.593,41400.0,0.75,2.12,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,high freight; our calculation; a soy extruder does not replace gluten used to make mi can
TLC-007,wheat gluten,China,1.307,0.03,"preferential 0% (ACFTA, to be confirmed by W7-L2)",0.0,0.015,1.361,35400.0,0.75,1.81,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,low freight; our calculation; a soy extruder does not replace gluten used to make mi can
TLC-008,wheat gluten,China,1.307,0.08,"preferential 0% (ACFTA, to be confirmed by W7-L2)",0.0,0.04,1.451,37700.0,0.75,1.94,BUY-02; TIC-12; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,high freight; our calculation; a soy extruder does not replace gluten used to make mi can
TLC-009,textured protein and concentrates (HS 2106.10),India,0.98,0.03,MFN 5% (India preferential rate not checked),0.05,0.015,1.075,27900.0,0.65,1.65,BUY-02; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,"low freight; 2,372 t in 2025; product mix not verified; our calculation"
TLC-010,textured protein and concentrates (HS 2106.10),India,0.98,0.08,MFN 5% (India preferential rate not checked),0.05,0.04,1.151,29900.0,0.65,1.77,BUY-02; REG2-20; REG2-23,VN-direct,Low,revealed; inferred,"high freight; 2,372 t in 2025; product mix not verified; our calculation"
