country_iso3,year,fao_series,protein_supply_g_per_person_day,animal_protein_g_per_person_day,animal_share_pct,plant_share_pct,meat_supply_kg_per_person_year,fish_supply_kg_per_person_year,gdp_per_capita_ppp_const2021_usd,source_ids,evidence_label,confidence,demand_evidence_type,notes
VNM,1961,historic,45.5,8.9,19.6,80.4,11.1,13.9,,DIE-08,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,1970,historic,47.5,8.6,18.1,81.9,9.9,14.2,,DIE-08,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,1980,historic,44.6,6.9,15.4,84.6,9.0,10.2,,DIE-08,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,1990,historic,45.1,9.5,21.1,78.9,15.4,12.7,2468,DIE-08; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2000,historic,54.8,15.4,28.0,72.0,23.6,20.2,4349,DIE-08; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2005,historic,65.0,22.0,33.8,66.2,34.9,27.0,5776,DIE-08; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2010,2010 onward,79.7,30.5,38.3,61.7,41.0,33.8,7275,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2013,2010 onward,86.2,32.9,38.1,61.9,45.0,33.5,8324,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2015,2010 onward,86.0,31.9,37.1,62.9,39.8,35.8,9248,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2018,2010 onward,90.6,34.4,37.9,62.1,43.9,38.4,10937,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2020,2010 onward,93.4,36.8,39.3,60.7,47.5,41.0,11851,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
VNM,2023,2010 onward,102.2,43.2,42.3,57.7,60.5,40.1,13535,DIE-07; DIE-09,VN-direct,High,revealed,FAO supply basis (carcass weight for meat). 
CHN,1961,historic,39.0,3.2,8.2,91.8,3.3,4.3,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,1970,historic,45.6,5.1,11.1,88.9,8.4,3.8,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,1980,historic,53.4,6.9,12.9,87.1,13.6,4.4,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,1990,historic,64.5,13.2,20.4,79.6,23.7,10.5,1667,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
